Rank,University Name,Vacency,Application Fee,GRE ,GRE note,IELTS,Note,IELTS Requirement (Minimum for Graduate Programs)
74,Washington University in St. Louis,,,Optional,Recommended,6.5,,7.0 (most programs)
76,Brandeis University,,,Required,,7,,7.0 (most programs)
76,Harvard University,,,Not required,Do not accept,6.5,,7.0–7.5 (varies by program)
78,North Carolina State University,,,Required,,6.5,">=6.5, >=7 for TA",6.5–7.0 (varies by program)
79,College of William and Mary,,,Not required,Can be submitted,Could Not Find,,7.0 (most programs)
79,NJIT,,75,Required,,6.5,>= 6,6.5–7.0 (varies by program)
79,Univ. of California - Irvine,,,Not required,,7,">=6, S>=8 for TA",7.0 (most programs)
79,University of Memphis,,,Required,"V>=143, Q>=153, A>=3",6.5,,6.5–7.0 (varies by program)
83,Brigham Young University,,,Not found,,7,>= 6,6.5–7.0 (varies by program)
84,Auburn University,,,Required,"T>=300, V>=150, Q>=150, A>=3",6.5,S>=7,6.5–7.0 (varies by program)
84,University of Florida,,,Not required,,7.5,"R,L,S>=6.5, W>=5.5",6.5–7.0 (varies by program)
86,Lehigh University,,,Not required,,6.5,"R,S>=6.5, L,W>=6",6.5–7.0 (varies by program)
86,Tufts University,,,Required,,7.5,>=7,7.0 (most programs)
86,University of Connecticut,,,Optional,,6.5,,6.5–7.0 (varies by program)
86,University of Georgia,,,Optional,,6.5,>=6,6.5–7.0 (varies by program)
86,University of Massachusetts Boston,,,Recommended,Q>=155,6,,6.5–7.0 (varies by program)
91,Portland State University,,,Optional,,6,"R,W>=6",6.5–7.0 (varies by program)
91,Texas State University,,,Not required,,6.5,>=6,6.5–7.0 (varies by program)
91,University of Hawaii at Manoa,,,Not required,Suggested,6,"O>=7, L>=7, S>=7.5 for TA ",6.5–7.0 (varies by program)
94,Florida State University,,,Required,,6.5,,6.5–7.0 (varies by program)
94,Rensselaer Polytechnic Institute,,,Optional,Strongly Recommended,6.5,,6.5–7.0 (varies by program)
94,University of Cincinnati,,,Required,,6.5,,6.5–7.0 (varies by program)
94,University of New Hampshire,,,Required,,6.5,,6.5–7.0 (varies by program)
94,University of Oklahoma,,,Required,,6.5,,6.5–7.0 (varies by program)
99,Florida International University,,,Not required,,6.5,,6.5–7.0 (varies by program)
99,The University of Alabama,,,Not required,,7,,6.5–7.0 (varies by program)
,,,,,,,,
99,Tulane University,,,,,,,7.0 (most programs)
102,Boston College,,,,,,,7.0 (most programs)
102,Clemson University,,,,,,,6.5–7.0 (varies by program)
102,University of Vermont,,,,,,,6.5–7.0 (varies by program)
105,Binghamton University,,,,,,,6.5–7.0 (varies by program)
105,George Washington University,,,,,,,7.0 (most programs)
105,Georgia State University,,,,,,,6.5–7.0 (varies by program)
105,UCCS (University of Colorado Colorado Springs),,,,,,,6.5–7.0 (varies by program)
105,University of Massachusetts Dartmouth,,,,,,,6.5–7.0 (varies by program)
110,CUNY,,,,,,,6.5–7.0 (varies by program)
110,California Institute of Technology,,,,,,,7.0 (most programs)
110,Colorado State University,,,,,,,6.5–7.0 (varies by program)
110,New York Tech,,,,,,,6.5–7.0 (varies by program)
110,University of South Carolina,,,,,,,6.5–7.0 (varies by program)
110,Vanderbilt University,,,,,,,7.0 (most programs)
116,Kansas State University,,,,,,,6.5–7.0 (varies by program)
116,Michigan Technological University,,,,,,,6.5–7.0 (varies by program)
116,OHSU (Oregon Health & Science University),,,,,,,7.0 (most programs; limited data)
116,Temple University,,,,,,,6.5–7.0 (varies by program)
116,Univ. of California - Merced,,,,,,,7.0 (most programs)
116,University of Arkansas,,,,,,,6.5–7.0 (varies by program)
116,University of Kansas,,,,,,,6.5–7.0 (varies by program)
116,University of North Texas,,,,,,,6.5–7.0 (varies by program)
116,University of Texas at San Antonio,,,,,,,6.5–7.0 (varies by program)
116,University of Tulsa,,,,,,,6.5–7.0 (varies by program)
126,Colorado School of Mines,,,,,,,6.5–7.0 (varies by program)
126,UNC - Greensboro,,,,,,,6.5–7.0 (varies by program)
126,University of Houston,,,,,,,6.5–7.0 (varies by program)
126,University of Michigan-Dearborn,,,,,,,6.5–7.0 (varies by program)
130,Cleveland State University,,,,,,,6.5–7.0 (varies by program)
130,Kent State University,,,,,,,6.5–7.0 (varies by program)
130,Mississippi State University,,,,,,,6.5–7.0 (varies by program)
130,Nova Southeastern University,,,,,,,6.5–7.0 (varies by program)
130,Texas Tech University,,,,,,,6.5–7.0 (varies by program)
130,University of Missouri - Kansas City,,,,,,,6.5–7.0 (varies by program)
