word,ipa
ফলে,pʰɔle
শেষ,ʃeʃ
দিতে,d̪it̪e
করেছে।,koɾecʰe।
হোসেন,hosen
হতে,hot̪e
দেশের,d̪eʃeɾ
থানায়,t̪ʰɐnɐʲ
ওপর,upoɾ
আটক,ɐtok
থানার,t̪ʰɐnɐɾ
সেখানে,ʃekʰɐne
মামলা,mɐmlɐ
বড়,bɔɽo
নেয়া,neʲɐ
বাংলাদেশ,bɐŋlɐd̪eʃ
ছিল,cʰilo
শেষে,ʃeʃe
সভাপতি,ʃɔbʱɐpot̪i
ঘটনা,gʱɔtonɐ
সাধারণ,ʃɐd̪ʱɐɾon
উপস্থিত,upost̪ʰit̪
ইউনিয়নের,i͡u̯niʲoneɾ
আহত,ɐht̪o
হচ্ছে,hoccʰe
রোববার,ɾobbɐɾ
টাকা,tɐkɐ
বা,bɐ
তথ্য,t̪ot̪t̪ʰo
ঘটনায়,gʱɔtonɐʲ
দেন।,d̪ɛn।
ইসলাম,islɐm
ধরনের,d̪ʱɔɾoneɾ
দলের,d̪ɔleɾ
চেয়ারম্যান,ceʲɐɾmɛn
শনিবার,ʃonibɐɾ
পেয়ে,peʲe
ঢাকা,dʱɐkɐ
চেষ্টা,ceʃtɐ
করেছে,koɾecʰe
সকালে,ʃɔkɐle
দেখা,d̪ɛkʰɐ
ছেলে।,cʰele।
দাবি,d̪ɐbi
জাতীয়,ɟɐt̪iʲo
মঙ্গলবার,moŋgolbɐɾ
নিহত,nihɔt̪o
সোমবার,ʃombɐɾ
বাড়ি,bɐɽi
শুক্রবার,ʃukɾobɐɾ
প্রথম,pɾot̪ʰom
অনুষ্ঠানে,onuʃtʰɐne
করেছেন,koɾecʰen
হয়নি।,hɔʲni।
এছাড়া,ecʰɐɽɐ
পুলিশের,puliʃeɾ
দুটি,d̪uti
গিয়ে,giʲe
এরপর,eɾpɔɾ
রহমান,ɾɔhɔmɐn
পাওয়া,pɐ͡o̯ʷɐ
পর্যন্ত,poɾɟont̪o
বলা,bɔlɐ
একই,ɛko͡i̯
গেছে।,gecʰe।
ভর্তি,bʱɔɾt̪i
নাম,nɐm
দিন,d̪in
ছিল।,cʰilo।
অতিথি,ot̪it̪i
আবদুল,ɐbd̪ul
বিশেষ,biʃeʃ
মতো,mɔt̪o
নামে,nɐme
দেয়ার,d̪eʲɐɾ
একজন,ɛkɟon
বেশি,beʃi
বন্ধ,bond̪ʱo
তিন,t̪in
লীগের,ligeɾ
নিশ্চিত,niʃcit̪o
ঘোষণা,gʱoʃonɐ
ব্যবস্থা,bɛbost̪ʰɐ
অনুষ্ঠিত,onuʃtʰit̪o
ব্যাপারে,bɛpɐɾe
বাড়িতে,bɐɽit̪e
ছেলে,cʰele
সম্পাদক,ʃɔmpɐd̪ok
এমন,ɛmon
হওয়ার,hoʷɐɾ
ভালো,bʱɐlo
ছিলেন।,cʰilen।
কলেজ,kɔleɟ
করছে।,koɾcʰe।
দেন,d̪ɛn
বাংলাদেশের,bɐŋlɐd̪eʃeɾ
দেয়।,d̪eʲ।
তুলে,t̪ule
সদস্য,ʃɔd̪oʃʃo
বক্তব্য,bokt̪obbo
অংশ,ɔŋʃo
:,:
নিতে,nit̪e
মনে,mone
নয়।,nɔʲ।
কেউ,ke͡u̯
এসে,eʃe
পাশাপাশি,pɐʃɐpɐʃi
এটি,eti
আলী,ɐli
নির্বাচন,niɾbɐcɔn
অবস্থায়,ɔbost̪ʰɐʲ
সরকারি,ʃɔɾkɐɾi
প্রকাশ,pɾokɐʃ
ঘটনার,gʱɔtonɐɾ
চলে,cɔle
এদিকে,ed̪ike
লোকজন,lokɟɔn
দুপুরে,d̪upuɾe
ঘটে।,gʱɔte।
বছর,bɔcʰoɾ
পরিবারের,poɾibɐɾeɾ
সরকার,ʃɔɾkɐɾ
পারে।,pɐɾe।
কর্মকর্তা,kɔɾmokɔɾt̪ɐ
সদর,ʃɔd̪ɔɾ
যায়,ɟɐʲ
মৃত,mɾit̪o
মানুষের,mɐnuʃeɾ
মেডিকেল,medikel
পড়ে,pɔɽe
কমিটির,kɔmitiɾ
এগিয়ে,egiʲe
পাঠানো,pɐtʰɐno
হাতে,hɐt̪e
সাবেক,ʃɐbek
আদালতে,ɐd̪ɐlt̪e
রয়েছে,ɾɔʲecʰe
সরকারের,ʃɔɾkɐɾeɾ
শুধু,ʃud̪ʱu
শিক্ষক,ʃikkʰɔk
বিকালে,bikɐle
অন্য,ɔnno
সভায়,ʃɔbʱɐʲ
সামনে,ʃɐmne
প্রতি,pɾot̪i
তৈরি,t̪o͡i̯ɾi
এখনও,ɛkʰono
দল,d̪ɔl
কারণ,kɐɾon
বেশ,beʃ
বিভাগের,bibʱɐgeɾ
পুলিশ।,puliʃ।
এটা,etɐ
তদন্ত,t̪ɔd̪ont̪o
"জানায়,","ɟɐnɐʲ,"
যাওয়ার,ɟɐ͡o̯ʷɐɾ
মানুষ,mɐnuʃ
ব্যবহার,bɛbohɐɾ
দেশে,d̪eʃe
যেতে,ɟet̪e
রেখে,ɾekʰe
নিজের,niɟeɾ
দ্বিতীয়,d̪it̪iʲo
এবার,ebɐɾ
পালিয়ে,pɐliʲe
নানা,nɐnɐ
থাকা,t̪ʰɐkɐ
গেলে,gele
গত,gɔt̪o
হন।,hɔn।
ওসি,osi
আছে।,ɐcʰe।
হত্যা,hot̪t̪ɐ
সৃষ্টি,sɾiʃti
"যায়,","ɟɐʲ,"
মামলার,mɐmolɐɾ
থেকেই,t̪ʰeke͡i̯
আলোচনা,ɐlocɔnɐ
হক,hɔk
হলেও,hole͡o̯
সংবাদ,ʃɔŋbɐd̪
দ্রুত,d̪ɾut̪o
থাকতে,t̪ʰɐkt̪e
বিএনপির,bi͡e̯npiɾ
দায়িত্ব,d̪ɐʲit̪t̪o
বিশ্ববিদ্যালয়ের,biʃʃobid̪d̪ɐlɔʲeɾ
পারে,pɐɾe
নেয়ার,neʲɐɾ
থানা,t̪ʰɐnɐ
যা,ɟɐ
পালন,pɐlon
সুযোগ,ʃuɟog
ছাড়া,cʰɐɽɐ
ক্ষেত্রে,kʰet̪ɾe
যারা,ɟɐɾɐ
স্বাস্থ্য,ʃɐst̪ʰo
বছরের,bɔcʰoɾeɾ
জানানো,ɟɐnɐno
করলে,koɾle
রাখা,ɾɐkʰɐ
থাকে।,t̪ʰɐke।
কমিটি,kɔmiti
আলম,ɐlom
"হয়,","hɔʲ,"
হাজার,hɐɟɐɾ
হল,hɔl
শেখ,ʃekʰo
নির্বাহী,niɾbɐhi
জানান।,ɟɐnɐn।
খান,kʰɐn
অভিযান,obʱiɟɐn
মাঠে,mɐtʰe
থাকায়,t̪ʰɐkɐʲ
আবার,ɐbɐɾ
আদালত,ɐd̪ɐlɔt̪o
বাড়ির,bɐɽiɾ
বাবা,bɐbɐ
তারা।,t̪ɐɾɐ।
আজ,ɐɟ
যান।,ɟɐn।
মোহাম্মদ,mohɐmmɔd̪
পানি,pɐni
পক্ষে,pɔkkʰe
উদ্দিন,ud̪d̪in
আয়োজন,ɐʲoɟon
হওয়ায়,hoʷɐʲ
যুগান্তরকে,ɟugɐnt̪ɔɾke
প্রায়,pɾɐʲ
আবেদন,ɐbed̪ɔn
সিদ্ধান্ত,ʃid̪d̪ʱɐnt̪o
বের,beɾ
করছে,koɾcʰe
হামলা,hɐmlɐ
শিক্ষা,ʃikkʰɐ
ভারতের,bʱɐɾt̪eɾ
ড.,d.
চলছে।,colcʰe।
গ্রহণ,gɾohon
সম্ভব,ʃɔmbʱɔb
যদি,ɟod̪i
প্রধানমন্ত্রী,pɾod̪ʱɐnmont̪ɾi
পক্ষ,pɔkkʰo
চালিয়ে,cɐliʲe
চার,cɐɾ
নির্দেশ,niɾd̪eʃ
তখন,t̪ɔkʰon
অধ্যাপক,od̪d̪ʱɐpok
স্ত্রী,st̪ɾi
লীগ,lig
যায়নি।,ɟɐʲni।
মিয়া,miʲɐ
মারা,mɐɾɐ
প্রার্থী,pɾɐɾt̪ʰi
দিকে,d̪ike
গ্রামে,gɾɐme
আসা,ɐʃɐ
সংশ্লিষ্ট,ʃɔŋsliʃto
যাবে।,ɟɐbe।
ভাই,bʱɐ͡i̯
নেতা,net̪ɐ
দেখে,d̪ekʰe
দাফন,d̪ɐpʰon
জানান,ɟɐnɐn
"গেছে,","gecʰe,"
পড়ে।,pɔɽe।
বর্তমানে,bɔɾt̪omɐne
জানতে,ɟɐnt̪e
ইউনিয়ন,i͡u̯niʲon
সম্প্রতি,ʃɔmpɾot̪i
দিলে,d̪ile
আসামি,ɐʃɐmi
শহরের,ʃɔhoɾeɾ
রাখতে,ɾɐkʰt̪e
বাইরে,bɐ͡i̯ɾe
দিয়েছেন।,d̪iʲecʰen।
কাজে,kɐɟe
উদ্বোধন,ud̪bod̪ʱon
সভাপতিত্ব,ʃɔbʱɐpot̪it̪t̪o
বাংলাদেশে,bɐŋlɐd̪eʃe
দীর্ঘদিন,d̪iɾgʱod̪in
ছোট,cʰoto
চিকিৎসা,cikit̪ʃɐ
আদালতের,ɐd̪ɐlɔt̪eɾ
আগামী,ɐgɐmi
স্থানে,st̪ʰɐne
সমস্যা,ʃɔmoʃʃɐ
সবাই,ʃɔbɐ͡i̯
মাদক,mɐd̪ok
পরিচালনা,poɾicɐlonɐ
জেলার,ɟelɐɾ
কাছ,kɐcʰ
নির্বাচনে,niɾbɐcɔne
নিজ,niɟ
অতিরিক্ত,ot̪iɾikt̪o
মাঝে,mɐɟʱe
ভেঙে,bʱeŋe
তো,t̪o
কয়েক,kɔʲek
করছেন।,koɾcʰen।
মিয়ার,miʲɐɾ
পাঁচ,pɐ̃c
পরিস্থিতি,poɾist̪ʰit̪i
একাধিক,ɛkɐd̪ʱik
আবুল,ɐbul
মেয়ে,meʲe
মৃত্যু,mɾit̪t̪u
কেন্দ্রীয়,kend̪ɾiʲo
আলীর,ɐliɾ
হওয়া,hoʷɐ
সম্পর্কে,ʃɔmpoɾke
যাবে,ɟɐbe
মা,mɐ
বলেন।,bɔlen।
পর্যায়ে,poɾɟɐʲe
গুলি,guli
গুরুতর,guɾut̪ɔɾ
এসআই,eʃɐ͡i̯
অবস্থান,ɔbost̪ʰɐn
লাখ,lɐkʰ
যেন,ɟeno
ব্যাপক,bɛpok
ব্যাংকের,bɛŋkeɾ
ফিরে,pʰiɾe
পাশে,pɐʃe
পরীক্ষা,poɾikkʰɐ
নারী,nɐɾi
দিয়েছে।,d̪iʲecʰe।
খুব,kʰub
একটা,ɛktɐ
আন্তর্জাতিক,ɐnt̪ɔɾɟɐt̪ik
বাসায়,bɐʃɐʲ
বর্তমান,bɔɾt̪omɐn
প্রেসিডেন্ট,pɾesident
নিরাপত্তা,niɾɐpɔt̪t̪ɐ
দেখতে,d̪ekʰt̪e
চেয়ে,ceʲe
ঘটনাস্থলে,gʱɔtonɐst̪ʰɔle
আছে,ɐcʰe
অভিনয়,obʱinɔʲ
স্থানীয়রা,st̪ʰɐniʲoɾɐ
সন্ধ্যায়,ʃond̪ʱɐʲ
শিশু,ʃiʃu
মামলায়,mɐmlɐʲ
পরিচালক,poɾicɐlok
পথে,pɔt̪ʰe
চৌধুরী,co͡u̯d̪ʱuɾi
চট্টগ্রাম,cɔttogɾɐm
উপলক্ষে,upolɔkkʰk
সম্মেলনে,ʃɔmmt̪olone
প্রাথমিক,pɾɐt̪ʰomik
পৌর,po͡u̯ɾ
কয়েকটি,kɔʲekti
এসময়,eʃɔmɔʲ
সদস্যরা,ʃɔd̪oʃʃoɾɐ
শিকার,ʃikɐɾ
বিএনপি,bi͡e̯npi
"নয়,","nɔʲ,"
ঠিক,tʰik
গড়ে,goɽe
কুমার,kumɐɾ
আবদুর,ɐbd̪uɾ
হাসান,hɐsɐn
যাওয়া,ɟɐ͡o̯ʷɐ
বেগম,begom
বলতে,bolt̪e
নিজেদের,niɟed̪eɾ
দেশ,d̪eʃ
ডা.,dɐ.
জেনারেল,ɟenɐɾel
এখানে,ekʰɐne
উত্তর,ut̪t̪oɾ
আশা,ɐʃɐ
সবচেয়ে,ʃɔbceʲe
ম্যাচ,mɛc
মোবাইল,mobɐ͡i̯l
বিয়ের,biʲeɾ
বাধা,bɐd̪ʱɐ
দিয়েছেন,d̪iʲecʰen
করছেন,koɾcʰen
আসে।,ɐʃe।
রাজনৈতিক,ɾɐɟno͡i̯t̪ik
বাদী,bɐd̪i
বাদ,bɐd̪
ছেড়ে,cʰeɽe
হামলার,hɐmlɐɾ
স্বামী,ʃɐmi
সময়ে,ʃɔmɔʲe
রাখেন,ɾɐkʰen
বিক্রি,bikɾi
"না,","nɐ,"
দায়ের,d̪ɐʲeɾ
ঢাকায়,dʱɐkɐʲ
গভীর,gobʱiɾ
কয়েকজন,kɔʲekɟɔn
কার্যক্রম,kɐɾɟokɾom
আল,ɐl
স্বীকার,ʃikɐɾ
সেটা,ʃetɐ
বাজারে,bɐɟɐɾe
ফেলে,pʰele
থাকার,t̪ʰɐkɐɾ
করায়,kɔɾɐʲ
করবেন,koɾben
অর্থ,ɔɾt̪ʰo
ম্যাচে,mɛce
চাইলে,cɐ͡i̯le
উল্লেখ,ullekʰ
সহকারী,ʃɔhokɐɾi
সভাপতিত্বে,ʃɔbʱɐpot̪it̪t̪e
রায়,ɾɐʲ
মার্কিন,mɐɾkin
বিয়ে,biʲe
প্রদান,pɾod̪ɐn
নির্মাণ,niɾmɐn
দক্ষিণ,d̪okkʰin
ছয়,cʰɔʲ
করবে।,koɾbe।
হয়েছেন।,hoʲecʰen।
সম্পর্ক,ʃɔmpoɾko
পুরস্কার,puɾoʃkɐɾ
জড়িত,ɟoɽit̪o
খেলার,kʰelɐɾ
কেন্দ্র,kend̪ɾo
এলাকা,elɐkɐ
ইউপি,i͡u̯pi
আবু,ɐbu
অবস্থা,ɔbost̪ʰɐ
অনুযায়ী,onuɟɐʲi
হয়েছিল।,hoʲecʰilo।
মারধর,mɐɾd̪ʱoɾ
ভূমিকা,bʱumikɐ
কবরস্থানে,kɔboɾost̪ʰɐne
হুমকি,humki
হাসপাতাল,hɐʃpɐt̪ɐl
সাংবাদিকদের,ʃɐŋbɐd̪ikɔd̪eɾ
লিখিত,likʰit̪o
রয়েছেন।,ɾɔʲecʰen।
যোগাযোগ,ɟogɐɟog
"বলেছেন,","bolecʰen,"
বক্তব্যে,bokt̪obbe
পরিষদের,poɾiʃd̪eɾ
দলীয়,d̪oliʲo
তাহলে,t̪ɐhole
জানিয়েছেন,ɟɐniʲecʰen
চিকিৎসক,cikit̪ʃɔk
হোসেনের,hoseneɾ
সবার,ʃɔbɐɾ
বিদ্যালয়ের,bid̪d̪ɐlɔʲeɾ
বিচার,bicɐɾ
প্রসঙ্গে,pɾoʃɔŋge
পুরো,puɾo
পারিবারিক,pɐɾibɐɾik
নেতৃত্বে,net̪ɾit̪t̪e
দাম,d̪ɐm
থাকে,t̪ʰɐke
তিনটি,t̪inti
ঢাকার,dʱɐkɐɾ
জানাজা,ɟɐnɐɟɐ
জমা,ɟɔmɐ
গেছে,gecʰe
কলেজের,kɔleɟeɾ
কমপ্লেক্সে,kɔmplekse
এরই,eɾi
এমনকি,ɛmonki
বিচারপতি,bicɐɾpot̪i
জঙ্গি,ɟɔŋgi
ছড়িয়ে,cʰoɽiʲe
চালায়।,cɐlɐʲ।
কম,kɔm
অতিথির,ot̪it̪iɾ
সূত্র,ʃut̪ɾo
যোগ,ɟog
যাচ্ছে,ɟɐccʰe
মাস,mɐʃ
মধ্য,mod̪d̪ʱo
বৈঠকে,bo͡i̯tʰoke
বিশ্বের,biʃʃeɾ
বাকি,bɐki
পড়েছে।,poɽecʰe।
ঘটনাটি,gʱɔtonɐti
খেলা,kʰelɐ
উন্নয়ন,unnɔʲon
আমাকে,ɐmɐke
হাসপাতালের,hɐʃpɐt̪ɐleɾ
স্কুল,skul
সহযোগিতা,ʃɔhoɟogit̪ɐ
যার,ɟɐɾ
যখন,ɟɔkʰon
বিক্ষোভ,bikkʰobʱ
বাজার,bɐɟɐɾ
প্রতিষ্ঠান,pɾot̪iʃtʰɐn
দেয়,d̪eʲ
দিনের,d̪ineɾ
চলাচল,cɔlɐcɔl
খুবই,kʰubi
কর্তৃপক্ষ,kɔɾt̪ɾipokkʰo
করেছি।,koɾecʰi।
আসতে,ɐʃt̪e
আগেই,ɐge͡i̯
অবৈধ,ɔbo͡i̯d̪ʱo
হন,hɔn
সড়ক,ʃɔɽok
সিটি,siti
সময়ের,ʃɔmɔʲeɾ
সংক্রান্ত,ʃɔŋkɾɐnt̪o
মূল,mul
বিপক্ষে,bipɔkkʰe
বলেও,bole͡o̯
ফোন,pʰon
পরিমাণ,poɾimɐn
নিহতের,nihot̪eɾ
ছবি,cʰobi
চরম,cɔɾom
আনা,ɐnɐ
আগুন,ɐgun
আইনজীবী,ɐ͡i̯noɟibi
অন্যান্য,ɔnnɐnno
সারা,ʃɐɾɐ
যাতে,ɟɐt̪e
মেয়র,meʲoɾ
মডেল,mɔdel
নামের,nɐmeɾ
ছাত্রলীগের,cʰɐt̪ɾoligeɾ
কাজের,kɐɟeɾ
সূত্রে,ʃut̪ɾe
যান,ɟɐn
ব্যবসায়ী,bɛbʃɐʲi
বিষয়,biʃɔʲ
বিশ্ববিদ্যালয়,biʃʃobid̪d̪ɐlɔʲ
বিদ্যুৎ,bid̪d̪ut̪
প্রেস,pɾes
ধারণা,d̪ʱɐɾonɐ
ঘরে,gʱɔɾe
খালেদা,kʰɐled̪ɐ
কী,ki
কর্মসূচি,kɔɾmoʃuci
এদের,ed̪eɾ
সমাবেশ,ʃɔmɐbeʃ
সবাইকে,ʃɔbɐ͡i̯ke
সদস্যদের,ʃɔd̪oʃʃod̪eɾ
রাজধানীর,ɾɐɟd̪ʱɐniɾ
ব্যবসা,bɛbʃɐ
প্রবেশ,pɾobeʃ
পাওয়ার,pɐ͡o̯ʷɐɾ
নেন।,nen।
টাকার,tɐkɐɾ
ঘরের,gʱɔɾeɾ
কোচ,koc
এজন্য,eɟonno
উচ্চ,ucco
ইসলামের,islɐmeɾ
আদেশ,ɐd̪eʃ
আইন,ɐ͡i̯n
অ্যাডভোকেট,ɛdbʱoket
অপর,ɔpɔɾ
সিনিয়র,siniʲoɾ
সংসদ,ʃɔŋʃɔd̪
মালিক,mɐlik
প্রশাসনের,pɾoʃɐʃoneɾ
দিয়েছে,d̪iʲecʰe
জায়গায়,ɟɐʲgɐʲ
চাই।,cɐ͡i̯।
গঠন,gɔtʰon
ক্রিকেট,kɾiket
করবে,koɾbe
একপর্যায়ে,ɛkpoɾɟɐʲe
একটু,ektu
আহমেদ,ɐhomed̪
ভেতরে,bʱet̪oɾe
ভারত,bʱɐɾt̪o
প্রতিবাদ,pɾot̪ibɐd̪
নির্যাতন,niɾɟɐt̪on
গাড়ি,gɐɽi
কার্যালয়ে,kɐɾɟɐlɔʲe
করবেন।,koɾben।
এলাকাবাসী,elɐkɐbɐʃi
অন্যদিকে,ɔnnod̪ike
অথচ,ɔt̪ʰɔc
হয়েছেন,hoʲecʰen
হোসেন।,hosen।
সম্মেলন,ʃɔmmkɔlon
সভা,ʃɔbʱɐ
সচিব,ʃocib
শিক্ষার্থীদের,ʃikkʰɐɾt̪ʰid̪eɾ
পার্টির,pɐɾtiɾ
পরিবার,poɾibɐɾ
ঘটনাস্থল,gʱɔtonɐst̪ʰɔl
ক্রীড়া,kɾiɽɐ
কেটে,kete
কাউকে,kɐ͡u̯ke
উদ্যোগ,ud̪d̪og
আহ্বান,ɐhobɐn
অন্যতম,ɔnnot̪ɔmo
সেটি,ʃeti
শিক্ষার্থী,ʃikkʰɐɾt̪ʰi
শত,ʃɔt̪o
ভাড়া,bʱɐɽɐ
বসে,boʃe
প্রধানমন্ত্রীর,pɾod̪ʱɐnmont̪ɾiɾ
প্রথমে,pɾot̪ʰome
পরিষদ,poɾiʃɔd̪
পরিচয়,poɾicɔʲ
নেতাকর্মীদের,net̪ɐkɔɾmid̪eɾ
ধরা,d̪ʱɔɾɐ
কি,ki
করছি।,koɾcʰi।
একে,eke
ইতিমধ্যে,it̪imotd̪ʱe
আয়োজিত,ɐʲoɟit̪o
আক্তার,ɐkt̪ɐɾ
অব্যাহত,ɔbbɐhɔt̪o
হত্যার,hot̪t̪ɐɾ
সহায়তা,ʃɔhɐʲt̪ɐ
সন্ত্রাসী,ʃɔnt̪ɾɐʃi
শহীদ,ʃohid̪
লক্ষ্য,lokkʰo
রোহিঙ্গা,ɾohiŋgɐ
রহমানের,ɾɔhɔmɐneɾ
মিছিল,micʰilo
মহানগর,mɔhɐngɔɾ
মর্গে,mɔɾge
ব্যাংক,bɛŋk
বাহিনীর,bɐhiniɾ
প্রস্তুতি,pɾost̪ut̪i
প্রকল্প,pɾokɔlpo
পরবর্তী,pɔɾoboɾt̪i
পদক্ষেপ,pɔd̪okkʰep
নির্বাচিত,niɾbɐcit̪o
ধর্ষণের,d̪ʱɔɾʃoneɾ
থাকবে,t̪ʰɐkbe
জানিয়ে,ɟɐniʲe
অবশ্য,ɔboʃʃo
অনেকেই,ɔneke͡i̯
হাত,hɐt̪
শ্রেণীর,sɾeniɾ
রাখার,ɾɐkʰɐɾ
যুক্তরাষ্ট্রের,ɟukt̪oɾɐʃtɾeɾ
মৃত্যুর,mɾit̪t̪uɾ
মন্ত্রী,mɔnt̪ɾi
তুলতে,t̪ult̪e
কর্মকর্তারা,kɔɾmokɔɾt̪ɐɾɐ
আসার,ɐʃɐɾ
অস্ত্র,ɔst̪ɾo
অনেকে,ɔneke
হঠাৎ,hɔtʰɐt̪
ভারতীয়,bʱɐɾt̪iʲo
ব্যক্তি,bekt̪i
বাবার,bɐbɐɾ
প্রতিবেদন,pɾot̪ibed̪ɔn
নিয়োগ,niʲog
নির্বাচনের,niɾbɐkoneɾ
জয়,ɟɔʲ
কিংবা,kiŋbɐ
কখনও,kɔkʰono
এলে,ele
উভয়,ubʱɔʲ
ইসলাম।,islɐm।
হাজির,hɐɟiɾ
"হচ্ছে,","hoccʰe,"
স্কুলের,skuleɾ
শিক্ষার্থীরা,ʃikkʰɐɾt̪ʰiɾɐ
রক্ষা,ɾokkʰɐ
যাচ্ছে।,ɟɐccʰe।
ভোট,bʱot
প্রস্তাব,pɾost̪ɐb
প্রতিষ্ঠানের,pɾot̪iʃtʰɐneɾ
পরিদর্শন,poɾid̪ɔɾʃon
পদে,pɔd̪e
নেয়।,neʲ।
নিয়ন্ত্রণে,niʲont̪ɾone
নির্দেশনা,niɾd̪eʃonɐ
দোয়া,d̪oʷɐ
জমি,ɟomi
চাল,cɐl
ক্ষতি,kʰot̪i
আগের,ɐgeɾ
অনুমোদন,onumod̪on
সিলেট,silet
সামাজিক,ʃɐmɐɟik
সম্পন্ন,ʃɔmponno
সংগঠনের,ʃɔŋgɔtʰoneɾ
শুনানি,ʃunɐni
শিশুর,ʃiʃuɾ
রহমান।,ɾɔhɔmɐn।
মুখে,mukʰe
মন্ত্রণালয়ের,mɔnt̪ɾonɐlɔʲeɾ
বিতরণ,bit̪ɔɾɔn
পানিতে,pɐnit̪e
পরিবেশ,poɾibeʃ
নিজেকে,niɟeke
দেশটির,d̪eʃtiɾ
থাকলে,t̪ʰɐkle
জানিয়েছেন।,ɟɐniʲecʰen।
চালু,cɐlu
চাপ,cɐp
খাবার,kʰɐbɐɾ
ক্ষতিগ্রস্ত,kʰot̪igɾost̪o
কারও,kɐɾo
উঠেছে।,utʰecʰe।
উঠে,utʰe
আহমদ,ɐhmod̪
আবারও,ɐbɐɾo
অব,ɔbo
অফিসার,ɔpʰisɐɾ
অংশগ্রহণ,ɔŋʃogɾohon
সৌদি,so͡u̯d̪i
সরকার।,ʃɔɾkɐɾ।
শাহ,ʃɐh
রোহিঙ্গাদের,ɾohiŋgɐd̪eɾ
যেসব,ɟeʃɔb
মানববন্ধন,mɐnobbɔnd̪ʱon
মহিলা,mohilɐ
ভারপ্রাপ্ত,bʱɐɾpɾɐpt̪o
বিচারক,bicɐɾɔk
বাস্তবায়ন,bɐst̪obɐʲon
বাধ্য,bɐd̪d̪ʱo
বঙ্গবন্ধু,bɔŋgobond̪ʱu
প্রমুখ।,pɾomukʰo।
প্রতিটি,pɾot̪iti
পারেন।,pɐɾen।
নগরীর,nɔgoɾiɾ
দলে,d̪ɔle
জানিয়েছে,ɟɐniʲecʰe
জনগণের,ɟɔngɔneɾ
চূড়ান্ত,cuɽɐnt̪o
গেছেন।,gecʰen।
গুরুত্বপূর্ণ,guɾut̪t̪opuɾno
ক্লাবের,klɐbeɾ
কাজী,kɐɟi
কর্মকর্তাদের,kɔɾmokɔɾt̪ɐd̪eɾ
"করেন,","kɔɾen,"
করলেও,koɾle͡o̯
উদ্যোগে,ud̪d̪oge
আরেক,ɐɾek
আঘাত,ɐgʱɐt̪
অভিযুক্ত,obʱiɟukt̪o
