,Inflected_Word,Lemma,POS
335,আমাদের,আমি,POSসর্ব
336,এই,এই,POSসর্ব
337,ছেলেটিকে,ছেলে,POSবি
338,স্পষ্ট,স্পষ্ট,POSক্রিবিণ
339,সুন্দর,সুন্দর,POSবিণ
340,ইংরেজিতে,ইংরাজি,POSবি
341,কথা,কথা,POSবি
342,বলতে,বলা,POSক্রি
343,শুনে,শোনা,POSক্রি
344,অবাক,অবাক,POSবিণ
345,হলাম,হওয়া,POSক্রি
346,পরিচারিকা,পরিচারিকা,POSবি
347,গম্ভীরস্বরে,গম্ভীরস্বর,POSঅব্য
348,কহিল,কহা,POSক্রি
349,বৌঠাকরুন,বৌঠাকরুন,POSঅব্য
350,তোমাকে,তুমি,POSসর্ব
351,পিসিমা,পিসিমা,POSবি
352,ডাকছেন,ডাকা,POSক্রি
353,হার্ট,হার্ট,UNK
354,রেট,রেট,UNK
355,ও,ও,POSসর্ব
356,রক্তচাপ,রক্তচাপ,POSবি
357,নিয়ন্ত্রণে,নিয়ন্ত্রণ,POSবি
358,রাখে,রাখা,POSক্রি
359,পটাশিয়াম,পটাশিয়াম,NNP
360,পুরনো,পুরনো,POSবিণ
361,দিনের,দিন,POSবি
362,মিষ্টি,মিষ্টি,POSবি
363,নতুন,নতুন,POSবিণ
364,প্রজন্মের,প্রজন্ম,POSবি
365,মন,মন,POSবি
366,ভোলাতে,ভোলানো,POSক্রি
367,পারবে,পারা,POSক্রি
368,কি,কি,POSঅব্য
369,না,না,POSঅব্য
370,সেটা,সে,POSসর্ব
371,বলবে,বলা,POSক্রি
372,সময়,সময়,POSবি
373,পোস্তর,পোস্ত,POSবি
374,আরও,আর,POSবিণবিণ
375,অনেক,অনেক,POSবিণ
376,ব্যবহার,ব্যবহার,POSবি
377,আছে,আছে,POSক্রি
378,পাড়েও,পাড়,POSবি
379,ওঠেনি,ওঠা,POSক্রি
380,এই,এই,POSবিণ
381,স্ত্রীলোকটির,স্ত্রীলোক,POSবি
382,প্রকৃতির,প্রকৃত,POSবিণ
383,মধ্যে,মধ্যে,POSক্রিবিণ
384,বহুল,বহুল,POSবিণ
385,পরিমাণে,পরিমাণ,POSবি
386,পৌরুষের,পৌরুষ,POSবি
387,অংশ,অংশ,POSবি
388,থাকাতে,থাকা,POSক্রি
389,তাঁহার,তিনি,POSসর্ব
390,যথার্থ,যথার্থ,POSবিণ
391,সঙ্গী,সঙ্গী,POSবি
392,কেহ,কেউ,POSসর্ব
393,ছিল,থাকা,POSক্রি
394,না,না,POSঅব্য
395,তেলঙ্গানা,তেলঙ্গানা,NNP
396,এখন,এখন,POSক্রিবিণ
397,তম,তম,POSবি
398,রাজ্য,রাজ্য,POSবি
399,হতে,হতে,POSঅব্য
400,চলেছে,চলা,POSক্রি
401,রাজ্য,রাজ্য,POSবি
402,দুটিতে,দুই,POSবি
403,দেশের,দেশ,POSবি
404,মধ্যে,মধ্যে,POSক্রিবিণ
405,সর্বাধিক,সর্বঅধিক,POSবিণ
406,পোলিয়ো,পোলিয়ো,POSবি
407,পাওয়া,পাওয়া,POSক্রি
408,যেত,যাওয়া,POSক্রি
409,এ,এ,POSসর্ব
410,কথা,কথা,POSবি
411,আমরা,আমি,POSসর্ব
412,বারবার,বারবার,POSক্রিবিণ
413,বলেছি,বলা,POSক্রি
414,সহসা,সহসা,POSক্রিবিণ
415,প্রাঙ্গণের,প্রাঙ্গণ,POSবি
416,মধ্যে,মধ্যে,POSক্রিবিণ
417,একটা,এক,POSবিণ
418,পদশব্দ,পদশব্দ,POSবি
419,শোনা,শোনা,POSক্রি
420,গেল,গেল,POSক্রি
421,এই,এই,POSসর্ব
422,বিগ্রহটির,বিগ্রহ,POSবি
423,নিকট,নিকট,POSবিণ
424,তিনি,তিনি,POSসর্ব
425,একান্তরূপে,একান্তরূপ,POSক্রিবিণ
426,জননী,জননী,POSবি
427,পত্নী,পত্নী,POSবি
428,দাসী,দাসী,POSবি
429,ইহার,ইহা,POSসর্ব
430,কাছে,কাছ,POSবি
431,তিনি,তিনি,POSসর্ব
432,সতর্ক,সতর্ক,POSবিণ
433,সুকোমল,সুকোমল,POSবিণ
434,সুন্দর,সুন্দর,POSবিণ
435,এবং,এবং,POSঅব্য
436,সম্পূর্ণ,সম্পূর্ণ,POSবিণ
437,অবনম্র,অবনম্র,POSবিণ
438,তারা,তারা,POSবি
439,দেশের,দেশ,POSবি
440,বিভিন্ন,বিভিন্ন,POSবিণ
441,প্রান্ত,প্রান্ত,POSবি
442,থেকে,থেকে,POSঅব্য
443,আসা,আসা,POSক্রি
444,পোলিয়ো,পোলিয়ো,POSবি
445,সংক্রান্ত,সংক্রান্ত,POSবিণ
446,রিপোর্ট,রিপোর্ট,POSবি
447,খুঁটিয়ে,খুঁটিয়ে,POSক্রিবিণ
448,দেখবে,দেখা,POSক্রি
449,রাজ্যে,রাজ্য,POSবি
450,বাঘ,বাঘ,POSবি
451,না,না,POSঅব্য
452,থাকায়,থাকা,POSক্রি
453,গ্রামবাসীরা,গ্রামবাসা,POSবি
454,ডোরাকাটা,ডোরাকাটা,POSবিণ
455,বাঘের,বাঘ,POSবি
456,কথা,কথা,POSবি
457,বললেও,বলা,POSক্রি
458,পাত্তা,পাত্তা,POSবি
459,দেয়নি,দেওয়া,POSক্রি
460,বনবিভাগ,বনবিভাগ,POSবি
461,বা,বা,POSঅব্য
462,আসাম,আসাম,NNP
463,রাইফেলস,রাইফেলস,NNP
464,পরে,পর,POSবিণ
465,কী,কী,POSসর্ব
466,করতে,করা,POSক্রি
467,চায়,চাওয়া,POSক্রি
468,জানতে,জানা,POSক্রি
469,চাইলে,চাওয়া,POSক্রি
470,ভারী,ভারী,POSবিণ
471,করুণ,করুণ,POSবিণ
472,হেসে,হাসা,POSক্রি
473,বলল,বলা,POSক্রি
474,কী,কী,POSসর্ব
475,আর,আর,POSঅব্য
476,করবে,করা,POSক্রি
477,এ,এ,POSসর্ব
478,ভাবেই,ভাব,POSবি
479,চলবে,চলা,POSক্রি
480,আপনাদের,আপনি,POSসর্ব
481,ইন্ডিয়ায়,ইন্ডিয়া,NNP
482,আমাদের,আমি,POSসর্ব
483,তো,তো,POSঅব্য
484,কেউ,কে,POSসর্ব
485,কাজ,কাজ,POSবি
486,দেয়,দেওয়া,POSক্রি
487,না,না,POSঅব্য
488,থাকতেও,থাকা,POSক্রি
489,দেয়,দেওয়া,POSক্রি
490,না,না,POSঅব্য
491,বৈদ্যনাথ,বৈদ্যনাথ,NNP
492,যখন,যখন,POSক্রিবিণ
493,অন্নের,অন্ন,POSবি
494,মধ্যে,মধ্যে,POSক্রিবিণ
495,বসিয়া,বসা,POSক্রি
496,ভাবিতেছিলেন,ভাবা,POSক্রি
497,আমার,আমি,POSসর্ব
498,অন্ন,অন্ন,POSবি
499,কে,কে,POSসর্ব
500,খাইবে,খাওয়া,POSক্রি
501,তখন,তখন,POSঅব্য
502,সমস্ত,সমস্ত,POSবিণ
503,উপবাসী,উপবাস,POSবি
504,দেশ,দেশ,POSবি
505,আপন,আপন,POSবিণ
506,রিক্তস্থালীর,রিক্তথালী,POSবি
507,দিকে,দিক,POSবি
508,চাহিয়া,চাহন,POSবি
509,ভাবিতেছিল,ভাবা,POSক্রি
510,কী,কী,POSসর্ব
511,খাইব,খাওয়া,POSক্রি
512,এক,এক,POSবিণ
513,শিক্ষামন্ত্রী,শিক্ষামন্ত্রী,POSবি
514,বলে,বলে,POSক্রিবিণ
515,দিয়েছেন,দেওয়া,POSক্রি
516,মাইনে,মাইনে,POSবি
517,যেখান,যেখান,POSবি
518,থেকে,থেকে,POSঅব্য
519,আসে,আসা,POSক্রি
520,গলানোর,গলানো,POSক্রি
521,মতো,মতো,POSঅব্য
522,নাকও,নাক,POSবি
523,সেখান,সেখান,POSবি
524,থেকেই,থেকে,POSঅব্য
525,যেমন,যেমন,POSবিণ
526,নিয়োগের,নিয়োগ,POSবি
527,শর্তে,শর্ত,POSবি
528,বলা,বলা,POSক্রি
529,ছিল,থাকা,POSক্রি
530,বন্দুক,বন্দুক,POSবি
531,দেখাতে,দেখা,POSক্রি
532,হবে,হওয়া,POSক্রি
533,কারণ,কারণ,POSঅব্য
534,পূজক,পূজক,POSবিণ
535,ঠাকুরের,ঠাকুর,POSবি
536,আর-একটি,আরএক,POSবিণ
537,পূজার,পূজা,POSবি
538,প্রতিমা,প্রতিমা,POSবি
539,গোপন,গোপন,POSবিণ
540,মন্দিরে,মন্দির,POSবি
541,ছিল,থাকা,POSক্রি
542,তাহার,তিনি,POSসর্ব
543,নাম,নাম,POSবি
544,ছিল,থাকা,POSক্রি
545,নিস্তারিণী,নিস্তারিণী,NNP
546,বড়োঘরের,বড়োঘর,POSবি
547,ছেলের,ছেলে,POSবি
548,মতো,মতো,POSঅব্য
549,তাহার,তিনি,POSসর্ব
550,চেহারা,চেহারা,POSবি
551,বটে,বটে,POSঅব্য
552,এবং,এবং,POSঅব্য
553,গলার,গলা,POSবি
554,সুরটিও,সুর,POSবি
555,তো,তো,POSঅব্য
556,দিব্য,দিব্য,POSবিণ
557,আমি,আমি,POSসর্ব
558,ডাক্তারও,ডাক্তার,POSবি
559,বটে,বটে,POSঅব্য
560,দারোগার,দারোগা,POSবি
561,বন্ধুও,বন্ধু,POSবি
562,বটে,বটে,POSঅব্য
563,কোনোমতে,কোনোমত,POSক্রি
564,উদ্ধার,উদ্ধার,POSবি
565,করিতে,করা,POSক্রি
566,হইবে,হওয়া,POSক্রি
567,কাজের,কাজ,POSবি
568,অবকাশে,অবকাশ,POSবি
569,যখন,যখন,POSক্রিবিণ
570,একলা,এক,POSবিণ
571,ঘরে,ঘর,POSবি
572,আসিয়া,আসা,POSক্রি
573,বসিয়া,বসা,POSক্রি
574,থাকি,থাকা,POSক্রি
575,তখন,তখন,POSঅব্য
576,মাঝে,মাঝে,POSক্রিবিণ
577,মাঝে,মাঝে,POSক্রিবিণ
578,কানে,কান,POSবি
579,সেই,সেই,POSসর্ব
580,করুণ,করুণ,POSবিণ
581,কণ্ঠের,কণ্ঠ,POSবি
582,প্রশ্ন,প্রশ্ন,POSবি
583,বাজিতে,বাজানো,POSক্রি
584,থাকে,থাকা,POSক্রি
585,বাবা,বাবা,POSবি
586,ঐ,ঐ,POSঅব্য
587,বুড়ো,বুড়ো,POSবিণ
588,তোমার,তুমি,POSসর্ব
589,পায়ে,পা,POSবি
590,ধরিয়া,ধরা,POSক্রি
591,কেন,কেন,POSঅব্য
592,অমন,অমন,POSবিণবিণ
593,করিয়া,করা,POSঅব্য
594,কাঁদিতেছিল,কাঁদা,POSক্রি
595,শিবনাথ,শিবনাথ,NNP
596,পণ্ডিত,পণ্ডিত,POSবি
597,বিশ্রামগৃহে,বিশ্রামগৃহ,POSবি
598,জলযোগ,জলযোগ,POSবি
599,করিয়া,করা,POSঅব্য
600,নিশ্চিন্তমনে,নিশ্চিন্তমন,POSক্রিবিণ
601,তামাক,তামাক,POSবি
602,খাইতে,খাওয়া,POSক্রি
603,লাগিলেন,লাগা,POSক্রি
604,ছেলেরা,ছেলে,POSবি
605,পরমাহ্লাদে,পরমআহ্লাদ,POSবি
606,আশুকে,আশু,POSঅব্য
607,ঘিরিয়া,ঘেরা,POSক্রি
608,গিন্নি,গিন্নি,POSবি
609,গিন্নি,গিন্নি,POSবি
610,করিয়া,করা,POSঅব্য
611,চীৎকার,চীৎকার,POSক্রি
612,করিতে,করা,POSক্রি
613,লাগিল,লাগা,POSক্রি
614,ওই,ও,POSসর্ব
615,গ্যাসের,গ্যাস,POSবি
616,মেঘই,মেঘ,POSবি
617,সৌরমণ্ডলের,সৌরমণ্ডল,POSবি
618,পাঁচিল,পাঁচিল,POSবি
619,তাহার,তিনি,POSসর্ব
620,রুদ্ধ,রুদ্ধ,POSবিণ
621,শয়নঘরটার,শয়নঘর,POSবি
622,দিকে,দিক,POSবি
623,তাকাইয়া,তাকানো,POSক্রি
624,ভাবিতেছিলাম,ভাবা,POSক্রি
625,যে,যে,POSসর্ব
626,লোক,লোক,POSবি
627,পরের,পর,POSবিণ
628,দুঃখকে,দুঃখ,POSবি
629,কিছুই,কিছু,POSসর্ব
630,মনে,মন,POSবি
631,করে,করা,POSক্রি
632,না,না,POSঅব্য
633,তাহার,তিনি,POSসর্ব
634,সুখের,সুখ,POSবি
635,জন্য,জন্য,POSঅব্য
636,ভগবান,ভগবান,POSবি
637,ঘরের,ঘর,POSবি
638,মধ্যে,মধ্যে,POSক্রিবিণ
639,এত,এত,POSবি
640,স্নেহের,স্নেহ,POSবি
641,আয়োজন,আয়োজন,POSবি
642,কেন,কেন,POSঅব্য
643,রাখিবেন,রাখা,POSক্রি
644,মাঝে,মাঝে,POSক্রিবিণ
645,মাঝে,মাঝে,POSক্রিবিণ
646,এক,এক,POSবি
647,একদিন,একদিন,POSবি
648,হঠাৎ,হঠাৎ,POSক্রিবিণ
649,অসময়ে,অসময়,POSবি
650,তিনি,তিনি,POSসর্ব
651,আদালত,আদালত,POSবি
652,হইতে,হওয়া,POSক্রি
653,বাড়িতে,বাড়ি,POSবি
654,আসিয়া,আসা,POSক্রি
655,উপস্থিত,উপস্থিত,POSবিণ
656,হইতেন,হওয়া,POSক্রি
657,সহসা,সহসা,POSক্রিবিণ
658,পুরুষকণ্ঠের,পুরুষকণ্ঠ,POSবি
659,জয়ধ্বনি,জয়ধ্বনি,POSবি
660,এবং,এবং,POSঅব্য
661,বামাকণ্ঠের,বামাকণ্ঠ,POSবি
662,হুলুধ্বনি,হুলুধ্বনি,POSবি
663,একত্র,এক,POSবিণ
