,id,language,original,polished,polish_type,model,sem_similarity
11,python_12,Python,"n=int(input())

k=2
while(2*n > k*(k-1)):
    k+=1

if(2*n!=k*(k-1)):
    print(""No"")
else:
    print(""Yes"")
    print(k)
    tmp=0
    result=[[0]*(k-1) for i in range(k)]
    for i in range(k):
        for j in range(i):
            result[i][j]=result[j][i-1]
        for l in range(k-i-1):
            tmp+=1
            result[i][i+l]=tmp
        
    for j in range(k):
        print(""{} "".format(k-1),end="""")
        for i in range(k-2):
            print(""{} "".format(result[j][i]),end="""")
        print(result[j][k-2])","```
n = int(input())

k = 2
while 2 * n > k * (k - 1):
    k += 1

if 2 * n!= k * (k - 1):
    print(""No"")
else:
    print(""Yes"")
    print(k)
    result = [[0] * (k - 1) for _ in range(k)]
    for i in range(k):
        for j in range(i):
            result[i][j] = result[j][i - 1]
        for _ in range(k - i - 1):
            result[i][i + _] = tmp := tmp + 1
        
    for row in result:
        print("" "".join(str(x) for x in row))
```",minor,Meta-Llama-2-7b-chat,0.8794
12,python_13,Python,"N=int(input())

if N % 1000 == 0:
    print(0)
else:
    print(1000 - N%1000)","```
N = int(input())

if N % 1000!= 0:
    print(1000 - N % 1000)
else:
    print(0)
```",minor,Meta-Llama-2-7b-chat,0.831
13,python_14,Python,"N = int(input())
X = list(map(int, input().split()))

sorted_X = sorted(X)

left_med = sorted_X[N//2 -1]
right_mid = sorted_X[N//2]

for i in range(N):
    if X[i] <= left_med:
        print(right_mid)
    else:
        print(left_med)","```
n = int(input())
x = list(map(int, input().split()))

sorted_x = sorted(x)

mid = sorted_x[n//2]
left = sorted_x[n//2 - 1] if n % 2 else mid

for i in range(n):
    if x[i] <= left:
        print(mid)
    else:
        print(left)
```",minor,Meta-Llama-2-7b-chat,0.8532
14,python_15,Python,"s = input()

for i in range(97, 97 + 26):
    if chr(i) not in s:
        print(chr(i))
        break

else:
    print(None)
","```
s = input()

for i in range(97, 123):
    if chr(i) not in s:
        print(chr(i))
        break
else:
    print(None)
```",minor,Meta-Llama-2-7b-chat,0.839
15,python_16,Python,"n, c = map(int, input().split())
r = [[0 for i in range(c)] for j in range(100000)]  # テレビ局の番組表
for dummy in range(n):  # 入力
    s, t, c = map(int, input().split())
    for j in range(s - 1, t):
        r[j][c - 1] = 1  # 放送中なら1
ans = 0
for i in range(100000):
    if sum(r[i]) > ans:
        ans = sum(r[i])  # 同時に放送されている番組の最大数
print(ans)","```
n, c = map(int, input().split())
program_schedule = [[0 for _ in range(c)] for _ in range(100000)]

for _ in range(n):
    start, end, channel = map(int, input().split())
    for i in range(start - 1, end):
        program_schedule[i][channel - 1] = 1

max_programs = 0
for row in program_schedule:
    max_programs = max(max_programs, sum(row))

print(max_programs)
```",minor,Meta-Llama-2-7b-chat,0.797
16,python_17,Python,"C1 = input()
C2 = input()

if C2 == C1[::-1]:
    print('YES')
else:
    print('NO')","```
reversed_str = input()
original_str = input()

if original_str == reversed_str:
    print('YES')
else:
    print('NO')
```",minor,Meta-Llama-2-7b-chat,0.7955
17,python_18,Python,"A, B = map(int, input().split())
a = 0
for i in range(A, B+1):
    i = str(i)
    if i == i[::-1]:
        a += 1
print(a)","```
a, b = map(int, input().split())
count = 0
for i in range(a, b+1):
    i_str = str(i)
    if i_str == i_str[::-1]:
        count += 1
print(count)
```",minor,Meta-Llama-2-7b-chat,0.8191
18,python_19,Python,"import sys
from math import gcd
from functools import reduce

read = sys.stdin.read
readline = sys.stdin.readline
readlines = sys.stdin.readlines
sys.setrecursionlimit(10 ** 9)
INF = 1 << 60
MOD = 1000000007


def main():
    N, *A = map(int, read().split())

    print(reduce(gcd, A))
    return


if __name__ == '__main__':
    main()
","```
import sys
from math import gcd
from functools import reduce

read = sys.stdin.read
N, *A = map(int, read().split())

print(reduce(gcd, A))
```",minor,Meta-Llama-2-7b-chat,0.8023
19,python_20,Python,"n = int(input())
v_list = map(int, input().split())
c_list = map(int, input().split())
sum = 0

for v, c in zip(v_list, c_list):
    if v - c > 0:
        sum += v - c

print(sum)
","```
n = int(input())
values, costs = map(int, input().split()), map(int, input().split())
profit = 0

for value, cost in zip(values, costs):
    if value > cost:
        profit += value - cost

print(profit)
```",minor,Meta-Llama-2-7b-chat,0.7407
20,python_21,Python,"# 色の塗り方は全部で何通りか。O(C^3)で、C^3 = 27000通り。
# 各塗り方に対していちいち計算していると最大25000マスで、これだと間に合わない。
# 3つに別れた各部分を各色に変えるコスト合計を前計算しておけば良い。O(C^3 + N^2 C)。
# 一ひねりした全探索。

n, c = list(map(int, input().split()))
change_cost = [list(map(int, input().split())) for _ in range(c)]
init_color = [list(map(int, input().split())) for _ in range(n)]

cost = [[0 for _ in range(c)] for _ in range(3)]

for row in range(n):
    for col in range(n):
        before = init_color[row][col] - 1
        for after in range(c):
            idx = (row + col) % 3
            cost[idx][after] += change_cost[before][after]

ans = 1000 * 500 * 500 * 10
for ci in range(c):
    for cj in range(c):
        for ck in range(c):
            if (ci != cj != ck != ci):
                ans = min(ans, cost[0][ci] + cost[1][cj] + cost[2][ck])

print(ans)
","```
n, c = map(int, input().split())
change_cost = [list(map(int, input().split())) for _ in range(c)]
init_color = [list(map(int, input().split())) for _ in range(n)]

cost = [[0] * c for _ in range(3)]
for row in range(n):
    for col in range(n):
        before = init_color[row][col] - 1
        for after in range(c):
            idx = (row + col) % 3
            cost[idx][after] += change_cost[before][after]

ans = 1e10
for ci in range(c):
    for cj in range(c):
        for ck in range(c):
            if ci!= cj!= ck!= ci:
                ans = min(ans, sum(cost[i][j] for i, j in zip((0, 1, 2), (ci, cj, ck))))

print(ans)
```",minor,Meta-Llama-2-7b-chat,0.8424
21,python_22,Python,"N = int(input())
e = [0] * (N+1)
for i in range(2, N+1):
  cur = i
  for j in range(2, i+1):
    while cur % j == 0:
      e[j] += 1
      cur //= j

def num(m):
  return len(list(filter(lambda x: x >= m-1, e)))

print(num(75)+num(25)*(num(3)-1)+num(15)*(num(5)-1)+num(5)*(num(5)-1)*(num(3)-2)//2)","```
N = int(input())
e = [0] * (N+1)
for i in range(2, N+1):
    cur = i
    for j in range(2, int(i**0.5) + 1):
        while cur % j == 0:
            e[j] += 1
            cur //= j

def count(m):
    return sum(1 for x in e if x >= m-1)

print(count(75) + count(25) * (count(3) - 1) + count(15) * (count(5) - 1) + count(5) * (count(5) - 1) * (count(3) - 2) // 2)
```",minor,Meta-Llama-2-7b-chat,0.8595
22,python_23,Python,"a,b,c=map(int,input().split())
if ((b-a)==(c-b)):
    print (""YES"")
else:
    print(""NO"")","```
a, b, c = map(int, input().split())
if b - a == c - b:
    print(""YES"")
else:
    print(""NO"")
```",minor,Meta-Llama-2-7b-chat,0.8222
23,python_24,Python,"x = [int(i) for i in input().split()]
print(x.index(0) + 1)","```
numbers = [int(i) for i in input().split()]
if 0 in numbers:
    print(numbers.index(0) + 1)
else:
    print(""0 not found in the list"")
```",minor,Meta-Llama-2-7b-chat,0.8567
24,python_25,Python,"a, v = map(int, input().split())
b, w = map(int, input().split())
t = int(input())
 
position_diff = abs(a-b)
pace_diff = v-w
 
if pace_diff <= 0:
    print('NO')
elif pace_diff > 0:
    if pace_diff * t >= position_diff:
        print('YES')
    else:
        print('NO')","```
a, v = map(int, input().split())
b, w = map(int, input().split())
t = int(input())

pace_diff = abs(v - w)
position_diff = abs(a - b)

if pace_diff <= 0:
    print('NO')
elif pace_diff * t >= position_diff:
    print('YES')
else:
    print('NO')
```",minor,Meta-Llama-2-7b-chat,0.8105
25,python_26,Python,"n = int(input())
*A, = map(int, input().split())

from itertools import product

ans = 0
for P in product(range(3), repeat=n):
    even = 0
    for i in range(n):
        b = A[i] + P[i] - 1
        even |= (b % 2) == 0
    if even:
        ans += 1
print(ans)","```
n = int(input())
numbers = list(map(int, input().split()))

from itertools import product

result = 0
for P in product(range(3), repeat=n):
    is_even = any((A + P - 1) % 2 == 0 for A in numbers)
    if is_even:
        result += 1

print(result)
```",minor,Meta-Llama-2-7b-chat,0.8318
26,python_27,Python,"n = int(input())
H = list(map(int, input().split()))

# シミュレーションで求められる
# 目標地点からさかのぼる

ans = 0
for _ in range(max(H)):
    flg = False
    for i in range(n):
        if H[i] > 0:
            H[i] -= 1
            if not flg:
                ans += 1
                flg = True
        elif H[i] == 0:
            flg = False

print(ans)","```
n = int(input())
heights = list(map(int, input().split()))

ans = 0
max_height = max(heights)
for _ in range(max_height):
    can_increase = False
    for height in heights:
        if height > 0:
            height -= 1
            if not can_increase:
                ans += 1
                can_increase = True
        elif height == 0:
            can_increase = False
print(ans)
```",minor,Meta-Llama-2-7b-chat,0.7791
27,python_28,Python,"S = input().replace('BC', 'D')

tmp = 0
ans = 0
for s in S:
    if s == 'A':
        tmp += 1
    elif s == 'D':
        ans += tmp
    else:
        tmp = 0
print(ans)","```
S = input().replace('BC', 'D')

count = 0
result = 0
for char in S:
    if char == 'A':
        count += 1
    elif char == 'D':
        result += count
        count = 0
    else:
        count = 0
print(result)
```",minor,Meta-Llama-2-7b-chat,0.8354
28,python_29,Python,"n = int(input())
a = list(map(int, input().split()))
c = [0]*(10**6 + 1)

for i in a:
    c[i] += 1

cnt = 0

for i in range(2, 10**6 + 1):
    s = sum(c[i::i])
    if s == n:
        print(""not coprime"")
        exit()
    elif s > 1:
        cnt += 1

if cnt > 0:
    print(""setwise coprime"")
else:
    print(""pairwise coprime"")","```
n = int(input())
a = list(map(int, input().split()))
c = [0] * (10**6 + 1)

for i in a:
    c[i] += 1

is_setwise_coprime = True
for i in range(2, 10**6 + 1):
    s = sum(c[i::i])
    if s == n:
        print(""not coprime"")
        exit()
    elif s > 1:
        is_setwise_coprime = False

if is_setwise_coprime:
    print(""pairwise coprime"")
else:
    print(""setwise coprime"")
```",minor,Meta-Llama-2-7b-chat,0.9011
29,python_30,Python,"n,m = map(int,input().split())

ans = 0

ans += m * 1900
ans += (n-m) * 100

print(ans * 2 ** m)
","```
n, m = map(int, input().split())

answer = n * 1900 + (n - m) * 100

print(answer * 2 ** m)
```",minor,Meta-Llama-2-7b-chat,0.8795
30,python_31,Python,"A, B = map(int, input().split())

if A % 2 == 1 and B % 2 == 1:
  print('Yes')
else:
  print('No')","```
a, b = map(int, input().split())

if a % 2!= 0 and b % 2!= 0:
  print('Yes')
else:
  print('No')
```",minor,Meta-Llama-2-7b-chat,0.8392
31,python_32,Python,"from operator import mul
from functools import reduce
 
 
def cmb(n, r):
    if r > n:
        return 0
    r = min(n-r, r)
    if r == 0:
        return 1
    over = reduce(mul, range(n, n - r, -1))
    under = reduce(mul, range(1, r + 1))
    return over // under
  
N,K= map(int, input().split())
red = N - K
for i in range(K):
    bluesc = cmb(K - 1 , i)
    redsc = cmb(red + 1 , i + 1) 
    ans = (redsc * bluesc) % (10**9+7)
    print(ans)","```
from operator import mul
from functools import reduce

def comb(n, r):
    if r > n:
        return 0
    r = min(n-r, r)
    if r == 0:
        return 1
    return reduce(mul, range(1, r+1), 1) * reduce(mul, range(n-r+1, n+1), 1, 1//) % (10**9+7)

N, K = map(int, input().split())
red = N - K
for i in range(K):
    bluesc = comb(K-1, i)
    redsc = comb(red+1, i+1)
    print((redsc * bluesc) % (10**9+7))
```",minor,Meta-Llama-2-7b-chat,0.8934
32,python_33,Python,"# -*- coding: utf-8 -*-
""""""
Created on Sat May 25 20:54:22 2019

@author: Yamazaki Kenichi
""""""

N,M = map(int,input().split())
A = list(map(int,input().split()))
B = [list(map(int,input().split())) for i in range(M)]

A.sort()
B.sort(reverse=True, key=lambda x: x[1])

tmp = 0
for i in range(N):
    if B[tmp][1] > A[i]:
        A[i] = B[tmp][1]
        B[tmp][0] -= 1
        if B[tmp][0] == 0:
            tmp += 1
        if tmp >= M:
            break
    else:
        break
print(sum(A))
    ","```
# -*- coding: utf-8 -*-
""""""
Created on Sat May 25 20:54:22 2019

@author: Yamazaki Kenichi
""""""

N, M = map(int, input().split())
A = sorted(map(int, input().split()))
B = [sorted((x, y), reverse=True) for x, y in (map(int, input().split()) for _ in range(M))]

i, j = 0, 0
while i < N and j < M:
    if B[j][1] > A[i]:
        A[i] = B[j][1]
        B[j][0] -= 1
        if B[j][0] == 0:
            j += 1
    else:
        break
print(sum(A))
```",minor,Meta-Llama-2-7b-chat,0.9307
33,python_34,Python,"c = input()
sum = 0;
cc = c[0]
if len(c)!=1:
    for i in range(1,len(c)):
        if (c[i]==cc[i-1]):
            sum+=1
            if (c[i]=='1'):
                cc+='0'
            else:
                cc+='1'
        else:
            cc+=c[i]
print(sum)","```
c = input()
total = 0
first_char = c[0]
if len(c) > 1:
    for char in c[1:]:
        if char == first_char:
            total += 1
            first_char = '1' if first_char == '0' else '0'
        else:
            first_char = char
print(total)
```",minor,Meta-Llama-2-7b-chat,0.8356
34,python_35,Python,"N,K = list(map(int,input().strip().split()))
ans = int(10e10)

hlist = [int(input()) for i in range(N)] 

hlist.sort()

for i in range(N-K+1):
    low = hlist[i]
    high = hlist[i+K-1]
    ans = min(ans,(high-low))

print(ans)","```
n, k = map(int, input().strip().split())
ans = 10**10

heights = sorted(map(int, [input() for _ in range(n)]))

for i in range(n - k + 1):
    ans = min(ans, heights[i + k - 1] - heights[i])

print(ans)
```",minor,Meta-Llama-2-7b-chat,0.8275
35,python_36,Python,"a,b,c =input().split()
total = int(a) + int(b) + int(c)
if total >= 22:
    print('bust')
else:
    print('win')","```
score, first, second, third = map(int, input().split())
result = 'win' if score < 22 else 'bust'
print(result)
```",minor,Meta-Llama-2-7b-chat,0.8307
36,python_37,Python,"n, k = map(int, input().split())
r, s, p = map(int, input().split())
t = input()

d = {""s"":r, ""p"":s, ""r"":p}
score = 0
for idx in range(k):
    List = []
    for i in range(n):
        if idx+i*k > n-1:
            break
        else:
           List.append(t[idx+i*k])
    not_liset = True
    tmp = List[0]
    score += d[tmp]
    for i in range(1, len(List)):
        if tmp == List[i] and not_liset:
            not_liset = False
        else:
            score += d[List[i]]
            not_liset = True
        tmp = List[i]
print(score)","```
n, k = map(int, input().split())
rock, paper, scissors = map(int, input().split())
t = input()

move_dict = {""s"": rock, ""p"": paper, ""r"": scissors}
score = 0
for i in range(k):
    sequence = t[i*k:(i+1)*k]
    prev_move = sequence[0]
    score += move_dict[prev_move]
    for move in sequence[1:]:
        score += move_dict[move]
print(score)
```",minor,Meta-Llama-2-7b-chat,0.7672
37,python_38,Python,"from _collections import deque
h,w,k=map(int,input().split())
S=[input() for _ in range(h)]
A=deque([])
cnt=1

def func(X):
    global cnt
    ANS=[]
    c=X.count('#')
    a=0
    for x in X:
        ANS.append(cnt)
        if x=='#':
            cnt+=1
            a+=1
            if a==c:
                for _ in range(w-len(ANS)):
                    ANS.append(cnt-1)
                break
    A.append(ANS)



for i in range(h):
    if S[i].count('#')==0 and i!=0 and len(A)!=0:
        A.append(A[-1])
    elif S[i].count('#')!=0:
        func(S[i])

if len(A)!=h:
    for _ in range(h-len(A)):
        A.appendleft(A[0])

for ans in A:
    print(*ans)","```
from collections import deque
h, w, k = map(int, input().split())
S = [input() for _ in range(h)]
A = deque()
cnt = 1

def func(x):
    global cnt
    ans = []
    c = x.count('#')
    a = 0
    for char in x:
        ans.append(cnt)
        if char == '#':
            cnt += 1
            a += 1
            if a == c:
                ans += [cnt - 1] * (w - len(ans))
                break
    A.append(ans)

for i in range(h):
    if not S[i].count('#') and i!= 0 and A:
        A.append(A[-1])
    elif S[i].count('#'):
        func(S[i])

if len(A)!= h:
    A.extendleft([A[0]] * (h - len(A)))

for ans in A:
    print(*ans)
```",minor,Meta-Llama-2-7b-chat,0.9048
38,python_39,Python,"K = int(input())
print(""ACL""*K)","```
K = int(input())
print(""ACL"" * K)
```",minor,Meta-Llama-2-7b-chat,0.8516
39,python_40,Python,"#Nの最大値が100なのでbit-DPでは間に合わない

N = int(input())

s = []
total = 0
for _ in range(N):
    a = int(input())
    s += [a]
    total += a

s.sort()
if total % 10 != 0:
    print (total)
    exit()
else:
    for i in range(N):
        if s[i]%10 != 0:
            print (total - s[i])
            exit()
print (0)
","```
N = int(input())

numbers = []
total = 0
for _ in range(N):
    numbers.append(int(input()))
    total += numbers[-1]

numbers.sort()
if total % 10!= 0:
    print(total)
    exit()
else:
    for num in numbers:
        if num % 10!= 0:
            print(total - num)
            exit()
print(0)
```",minor,Meta-Llama-2-7b-chat,0.8586
40,python_41,Python,"a, b = map(int, input().split())

if (a+b) % 2 == 0:
    print((a+b)//2)
else:
    print('IMPOSSIBLE') ","```
n1, n2 = map(int, input().split())
total = n1 + n2
if total % 2 == 0:
    print(total // 2)
else:
    print('IMPOSSIBLE')
```",minor,Meta-Llama-2-7b-chat,0.8235
41,python_42,Python,"from fractions import gcd

a, b, c, d = map(int, input().split())
a-=1

def lcm(x, y):
    return (x * y) // gcd(x, y)


l = lcm(c, d)
la = a // l
lb = b // l
aa = a // c + a // d - la
bb = b // c + b // d - lb


print((b - a) - (bb - aa))
","```
from fractions import gcd

a, b, c, d = map(int, input().split())
a -= 1

def lcm(x, y):
    return (x * y) // gcd(x, y)

l = lcm(c, d)
la = a // l
lb = b // l
aa = (a // c) + (a // d) - la
bb = (b // c) + (b // d) - lb

print((b - a) - (bb - aa))
```",minor,Meta-Llama-2-7b-chat,0.8164
42,python_43,Python,"R = float(input())
print(R*2*3.141592)","```
radius = float(input(""Enter the radius: ""))
print(radius * 2 * 3.141592)
```",minor,Meta-Llama-2-7b-chat,0.8572
43,python_44,Python,"H, W = map(int, input().split())
c = [list(map(int, input().split())) for _ in range(10)]
for k in range(10):
    for i in range(10):
        for j in range(10):
            c[i][j] = min(c[i][j], c[i][k] + c[k][j])
d = {i: 0 for i in range(-1, 10)}
for _ in range(H):
    A = map(int, input().split())
    for i in A:
        d[i] += 1
ans = 0
for i in range(10):
    if i == 1:
        continue
    ans += c[i][1] * d[i]
print(ans)
","```
H, W = map(int, input().split())
cost = [[*map(int, input().split()) for _ in range(10)] for _ in range(10)]
for i in range(10):
    for j in range(10):
        for k in range(10):
            cost[i][j] = min(cost[i][j], cost[i][k] + cost[k][j])
dist = {i: 0 for i in range(-1, 10)}
for _ in range(H):
    A = list(map(int, input().split()))
    for i in A:
        dist[i] += 1
answer = sum(cost[i][1] * dist[i] for i in range(10) if i!= 1)
print(answer)
```",minor,Meta-Llama-2-7b-chat,0.8825
44,python_45,Python,"
def s0():return input()
def s1():return input().split()
def s2(n):return [input() for x in range(n)]
def s3(n):return [input().split() for _ in range(n)]
def s4(n):return [[x for x in s] for s in s2(n)]
def n0():return int(input())
def n1():return [int(x) for x in input().split()]
def n2(n):return [int(input()) for _ in range(n)]
def n3(n):return [[int(x) for x in input().split()] for _ in range(n)]
def t3(n):return [tuple(int(x) for x in input().split()) for _ in range(n)]
def p0(b,yes=""Yes"",no=""No""): print(yes if b else no)
# from sys import setrecursionlimit
# setrecursionlimit(1000000)
# from collections import Counter,deque,defaultdict
# import itertools
# import math
# import networkx as nx
# from bisect import bisect_left,bisect_right
# from heapq import heapify,heappush,heappop
n,a,b=n1()

def comb(n,k):
    nCk = 1
    MOD = 10**9+7

    for i in range(n-k+1, n+1):
        nCk *= i
        nCk %= MOD

    for i in range(1,k+1):
        nCk *= pow(i,MOD-2,MOD)
        nCk %= MOD
    return nCk

MOD = 10**9+7
a1=comb(n, a)
b1=comb(n, b)
ans=pow(2,n,MOD)-a1-b1-1
print(ans%MOD)","```

def s0(): return input()
def s1(): return list(map(str, input().split()))
def s2(n): return [s0() for _ in range(n)]
def s3(n): return [list(map(str, s0().split())) for _ in range(n)]
def s4(n): return [[x for x in s] for s in s3(n)]
def n0(): return int(s0())
def n1(): return list(map(int, s1()))
def n2(n): return [n0() for _ in range(n)]
def n3(n): return [[int(x) for x in s1()] for _ in range(n)]
def t3(n): return [tuple(map(int, s1())) for _ in range(n)]
def p0(b, yes=""Yes"", no=""No""): print(yes if b else no)

n, a, b = n1()

def comb(n, k):
    MOD = 10**9+7
    nCk = 1
    for i in range(1, k+1):
        nCk = (nCk * i) % MOD
    for i in range(n-k+1, n+1):
        nCk = (nCk * i) % MOD
    for _ in range(1, k+1):
        nCk = (nCk * pow(i, MOD-2, MOD)) % MOD
    return nCk

MOD = 10**9+7
a1 = comb(n, a)
b1 = comb(n, b)
ans = pow(2, n, MOD) - a1 - b1 - 1
print(ans % MOD)",minor,Meta-Llama-2-7b-chat,0.9434
