,sentence
66,নগরীর পতনের আগ মুহূর্ত পর্যন্ত এটি ছিল প্রাচ্যের রাজধানী
67,তিনি খ্রিস্টান ধর্ম গ্রহণ করার পর রাষ্ট্রধর্ম হিসেবে এটা গৃহীত হয়
68,এটি ছিল প্রাচীন কালের এবং পৃথিবীর বৃহত্তম সাম্রাজ্যসমূহের একটি
69,সুমের এবং আক্কাদ নামের এলাকা দুইটি ব্যাবিলনিয়ার অংশ ছিলো
70,তিনি বাংলাদেশের প্রথম ও মুসলিম বিশ্বের দ্বিতীয় মহিলা প্রধানমন্ত্রী
71,আগস্ট ১৫  ১৯৪৬ সালে জলপাইগুড়িতে তিনি জন্ম গ্রহণ করেন
72,তিন বোন এবং দুই ভাইয়ের মধ্যে তিনি তৃতীয়
73,ভাইয়েরা সবার ছোট
74,তাঁর পিতামহ হাজী সালামত আলী  মাতামহ জলপাইগুড়ির তোয়াবুর রহমান
75,বাবা জনাব ইস্কান্দর মজুমদার এবং মা বেগম তৈয়বা মজুমদার
76,স্থায়ী নিবাস  দিনাজপুর শহরের মুদিপাড়া
77,বাবা জনাব ইস্কান্দর মজুমদার ছিলেন একজন ব্যবসায়ী
78,এ গানের রচয়িতা ও সুরকার রবীন্দ্রনাথ ঠাকুর
79,গানটির পাণ্ডুলিপি পাওয়া যায়নি  তাই এর সঠিক রচনাকাল জানা যায় না
80,তবে ৭ অগস্ট উক্ত সভায় এই গানটি গীত হওয়ার কোনো প্রমাণ পাওয়া যায় না
81,তিনি টেস্ট ক্রিকেটে বাংলাদেশের নেতৃত্বদানকারী উইকেট শিকারি ছিলেন
82,তিনি একজন বাঁ হাতি স্পিনার
83,১৯৯৫ সালের ওয়ানডে অভিষেকেও প্রতিপক্ষ ছিল ভারত
84,আন্তর্জাতিক ক্যারিয়ারে ৩৩ টেস্ট ও ১২৫ ওয়ানডে খেলেছেন রফিক
85,টেস্টে তার বোলিং গড় ৪০ ৭৬ ও ওয়ানডেতে বোলিং গড় ৩৭ ৯১
86,তিনি বাংলাদেশ জাতীয় দলের সাবেক অধিনায়ক
87,ডাক নাম দুর্জয়
88,তিনি ৮ টি টেস্ট ও ২৯ টি একদিনের আন্তর্জাতিক ক্রিকেট ম্যাচ খেলেন
89,তিনি মানিকগঞ্জ ১ আসনের সংসদ সদস্য
90,এছাড়া তিনি বাংলাদেশের ক্রিকেট ওয়েলফেয়ার এসোসিয়েসন এর প্রেসিডেন্ট
91,হিন্দুধর্ম হিন্দুধর্ম  সনাতনধর্ম  ভারতীয় উপমহাদেশের আধ্যাত্মিক মতবাদ
92,হিন্দু ধর্মাবলম্বীগণ স্বীয় ধর্মমতকে সনাতন ধর্ম   নামেও অভিহিত করেন
93,হিন্দুধর্ম একাধিক ধর্মীয় ঐতিহ্যের সমন্বয়ে গঠিত
94,এই ধর্মের কোনো একক প্রতিষ্ঠাতা নেই
95,লৌহযুগীয় ভারতের ঐতিহাসিক বৈদিক ধর্মে এই ধর্মের শিকড় নিবদ্ধ
96,হিন্দুধর্মকে বলা হয় পৃথিবীর প্রাচীনতম ধর্ম
97,কারন এটি প্রাচীনযুগে আর্বিভূত হয়েছে
98,এই ধর্মের অনুগামীদের সংখ্যা প্রায় ১০০ কোটি
99,এদের মধ্যে প্রায় ৯০ কোটি হিন্দু বাস করেন ভারতীয় প্রজাতন্ত্রে
100,হিন্দুধর্মের শাস্ত্রগ্রন্থের সংখ্যা প্রচুর
101,অনেকের ধারণা যে  মুহাম্মদ হলেন এই ধর্মের প্রবর্তক
102,খ্রিষ্টীয় সপ্তম শতকে তিনি এই ধর্ম পুনঃপ্রচার করেন
103,পবিত্র কুরআন ইসলাম ধর্মের মূল ধর্মগ্রন্থ
104,মুসলমানরা দৃঢ়ভাবে বিশ্বাস করে মৃত্যুর পরে পুনরুত্থানের উপর
105,এই দিনটিকে হাশরের দিন বলা হয়
106,ইহুদি ও খৃস্ট ধর্মের ন্যায় ইসলাম ধর্মও ইব্রাহিমীয়
107,এবং দ্বিতীয় বৃহত্তম ধর্মাবলম্বী গোষ্ঠী
108,আরবে এ ধর্মের গোড়াপত্তন হলেও অধিকাংশ মুসলমান অন্যাংশের
109,আরব দেশের মুসলমানরা মোট মুসলমান জনসংখ্যার শতকরা মাত্র ২০ বিশ ভাগ
110,তাই  সাধারণভাবে প্রোটন সংখ্যা দ্বারা কোন মৌল চেনা যায়
111,বাকীগুলো বিভিন্ন যৌগ গঠন করে অর্থাৎ যৌগিক খনিজ রূপে বিদ্যমান
112,অন্যদিকে  বায়ুমন্ডলে সবচেয়ে বেশী পরিমানে পাওয়া যায় নাইট্রোজেন  ৭৮
113,এছাড়াও  বায়ুতে রয়েছে অক্সিজেন  ২০  এবং আর্গন  ০ ৯৭
114,গ্রীক দার্শনিক প্লেটো এই মতামতকে সমর্থন করতেন
115,১৭৮৯ সালে মৌলসমূহের প্রথম আধুনিক তালিকা দেন বিজ্ঞানী ল্যাভয়সিঁয়ে
116,সেখানে ষেষট্টিটি মৌলের নাম উল্লেখ ছিল
117,এরপর  ১৭৫০ সালের দিকে আবিষ্কৃত হয় ফসফরাস  কোবাল্ট ও প্লাটিনাম
118,আড়িয়াল খাঁ নদ আড়িয়াল খাঁ পদ্মার একটি প্রধান শাখা নদ
119,আড়িয়াল খাঁ হচ্ছে ফরিদপুর  মাদারীপুর ও বরিশাল জেলার একটি নদ
120,ইতিহাস  অতীতে নদটির নাম ছিল ভুবনেশ্বর
121,নদের গতিপথ প্রায়ই আঁকাবাঁকা
122,নদটি ভাঙনপ্রবণ
123,এর ফলে অনেক জনপদ এর গর্ভে বিলীন হয়েছে
124,মাদারীপুর শহরও এই নদীর ভাঙনে ক্ষতিগ্রস্থ হওয়ার প্রবল আশঙ্কা রয়েছে
125,উনিশ শতকের শেষ দিকে আড়িয়াল খাঁ ছিল প্রধান ধারা
126,বাঁ দিকের প্রবাহিত অংশ আড়িয়াল খাঁ
127,আর ডান দিকে টরকি নামে প্রবাহিত হচ্ছে
128,এটি গণিত শাস্ত্রেও অধিত হয়
129,মূলত বস্তুর স্থির বা গতিশীল অবস্থা নিয়ে এতে আলোচনা করা হয়
130,যিনি বলবিদ্যা নিয়ে পড়াশুনা এবং গবেষণা করেন তাকে বলবিজ্ঞানী বলা হয়
131,বলবিদ্যা প্রযুক্তির জগতেও একটি মৌলিক ভূমিকা পালন করে থাকে
132,এটি ভৌত জ্ঞানসমূহকে মানুষের কাজে লাগানোর উপযোগী করে তৈরি করে থাকে
133,এই দুটির মধ্যে মূলনীতিগত বেশ ভালো রকমের পার্থক্য রয়েছে
134,এটি একটি ভেক্টর রাশি
135,যখন বস্তুটির দ্রুতি বা দিক পরিবর্তন হয়  তখন বস্তুটির ত্বরণ হয়
136,সময়ের সাথে যত দ্রুত এ পরিবর্তন হয়  বস্তুটির ত্বরণও তত বেশি হয়
137,ব্যাখ্যা  ধরা যাক  রাস্তা দিয়ে একটি গাড়ি একটি নির্দিষ্ট দিকে চলছে
138,চালক গাড়িটির গতি বাড়িয়ে দিলেন
139,আরো দ্রুত বেগে চলতে লাগল গাড়িটি
140,সাধারণভাবে বলা যেতে পারে  গাড়িটির ত্বরণ হচ্ছে
141,তিনি ব্রেক কষে গাড়িটি থামিয়ে দিলেন
142,এবার বলা যায় গাড়িটির মন্দন হচ্ছে
143,বাংলা একটি দক্ষিণ এশীয় ইন্দো ইউরোপীয় ভাষা
144,বাংলা ভাষার ব্যাকরণ প্রথম রচনা করেন ইউরোপীয় পন্ডিতরা
145,তাঁর A Grammar of the Bengal Language প্রকাশিত হয় ১৭৭৮ খ্রিস্টাব্দে
146,তাই তাঁর ব্যাকরণে সংস্কৃত ব্যাকরণের প্রভাব লক্ষণীয়
147,এমনকি বেশ কিছু দীর্ঘ কবিতার উদাহরণও বাংলা হরফে মুদ্রিত হয়েছে
148,উনিশ শতকে অবশ্য বাংলা ব্যাকরণ রচনার প্রাচুর্য লক্ষ করা যায়
149,এ শতকের প্রথমার্ধে রচিত বাংলা ব্যাকরণগুলি দুটি ধারায় বিভক্ত
150,প্রথম ধারার গ্রন্থগুলি বিদেশীদের  ব্যতীত  দ্বারা ইংরেজি ভাষায় রচিত
151,এগুলির প্রধান উদ্দেশ্য ছিল বিদেশীদের বাংলা ভাষা শেখানো
152,উনিশ শতকের দ্বিতীয়ার্ধে প্রথমার্ধের দুটি ধারারই সম্প্রসারণ ঘটে
153,এখানে দুদলই পালাক্রমে দেশ শাসন করে থাকে
154,রাজনৈতিক কর্মকাণ্ডের ক্ষেত্রে সমস্যা দেশের অন্যতম নিয়তি
155,এছাড়া এখানে অনেকগুলো দল মিলে জোট করার ব্যাপার লক্ষ্যণীয়
156,দলসমূহ  সংসদীয় দলসমূহ   div   div   div
157,বাংলা লিপির গঠন তুলনামূলকভাবে কম আয়তাকার ও বেশি সর্পিল
158,বাংলা লিপিটি সিদ্ধং লিপি থেকে উদ্ভূত হয়েছে বলে মনে করা হয়
159,পরবর্তিতে নিচে ফোঁটা দেওয়া র বাংলায় ব্যবহৃত হয়
160,বাংলা লিপি বিশ্বের ৫ম সবচেয়ে বেশি ব্যবহৃত লিখন পদ্ধতি
161,পরে বিশেষভাবে বাংলার অঞ্চলে ব্যবহার করা অব্যাহত ছিল
162,এই মুদ্রণে প্রথমবারের মত  বিচল হরফ  প্রযুক্তি ব্যবহার করা হয়
163,জার্মানির ইয়োহানেস গুটেনবের্গ ছিলেন এই প্রযুক্তির উদ্ভাবক
164,তবে এই প্রথম দিককার হরফগুলি খুব সুদৃশ্য ও পরিণত ছিল না
165,ইংরেজির তুলনায় বাংলা হরফের আকার ছিল বেশ বড়
166,১৮০০ সালে শ্রীরামপুরে ব্যাপটিস্ট মিশন প্রেস প্রতিষ্ঠিত হয়
167,সুস্পষ্ট তিন ধরণের জাতীয় পতাকা জলে ও স্থলে ব্যবহৃত হয়
168,যদিও অনেক দেশে একই পতাকা সব ধরণের ক্ষেত্রেই ব্যবহৃত হয়
169,রাষ্ট্রীয় পতাকা সরকারীসংস্থাই শুধু ব্যবহার করতে পারে
170,আর আসামরিক পতাকা হচ্ছে সবার জন্য
171,তবে বেশিরভাগ ক্ষেত্রে  রাষ্ট্রীয় পতাকার সরলীকৃত রূপ হল অসামরিক পতাকা
172,খুব কম দেশই আলাদা যুদ্ধ পতাকা ব্যবহার করে
173,উদাহরণ হিসাবে  চীন  তাইওয়ান ও জাপানের নাম করা যায়
174,জলের জাতীয় পতাকা  একটি জাহাজ কোন দেশের তা বোঝাতে এই পতাকা ব্যবহৃত হয়
175,এখানেও অসামরিক    রাষ্ট্রীয়   ও সামরিক পতাকার   বিভাজন আছে
176,এই পতাকা টাঙানোর জন্য নির্দিষ্ট দন্ড থাকে
177,তিনি তাঁর ভ্রমণকাহিনীর জন্য বিশেষভাবে জনপ্রিয়
178,পিতা সৈয়দ সিকান্দার আলী সাব রেজিস্ট্রার ছিলেন
179,তাঁর পৈতৃক ভিটা মৌলভীবাজার  সিলেট
180,১৯২১ সালে তিনি শান্তিনিকেতনে ভর্তি হন
181,তিনি ছিলেন বিশ্বভারতীর প্রথমদিকের ছাত্র
182,১৯২৬ খ্রিষ্টাব্দে এখান থেকে বি এ  ডিগ্রি অর্জন করেন
183,এরপর তিনি আলিগড় বিশ্ববিদ্যালয়ে অধ্যয়ন করেন
184,সেখানে তিনি ইংরেজি ও ফরাসি ভাষার শিক্ষক ছিলেন
185,এখানে তিনি আট বছর কাটান
186,এরপর দিল্লির শিক্ষা মন্ত্রণালয়ে যোগ দেন
187,তাঁর পিতার নাম মতিলাল চট্টোপাধ্যায় ও মাতার নাম ভুবনমোহিনী দেবী
188,পাঁচ ভাই বোনের মধ্যে শরৎচন্দ্র ছিলেন দ্বিতীয়
189,১৮৮৭ খ্রিস্টাব্দে শরৎচন্দ্র ভাগলপুর জেলা স্কুলে ভরতি হন
190,এই সময় তিনি  কাশীনাথ  ও  ব্রহ্মদৈত্য  নামে দুটি গল্প লেখেন
191,এই সময় তিনি বনেলী রাজ এস্টেটে কয়েকদিন চাকরি করেন
192,এরপর তিনি  ভারতবর্ষ  পত্রিকার জন্যেও লেখা পাঠাতে শুরু করেন
193,ফনীন্দ্রনাথ পাল তাঁর উপন্যাস বড়দিদি পুস্তকাকারে প্রকাশ করেন
194,বিয়ের পর তিনি মোক্ষদার নাম রাখেন হিরন্ময়ী দেবী
195,তাঁরা নিঃসন্তান ছিলেন
196,পাশাপাশি দুটো পুকুরে সানের ঘাট  বাগান  ডালিম  পেয়ারা গাছে ঘেরা
197,তিনি ঢাকা বিশ্ববিদ্যালয়ের একজন অধ্যাপক
198,ঢাকা শহরের অতীত ইতিহাস নিয়ে তিনি গবেষণা করেছেন
199,তাঁর গ্রামের বাড়ি চাঁদপুর জেলার কচুয়া উপজেলার গুলবাহার গ্রামে
200,তাঁর বাবার নাম মিসবাহউদ্দিন এবং মায়ের নাম জাহানারা খান
201,পিতামাতার তিন পুত্রের মধ্যে তিনি জ্যেষ্ঠ
202,তিনি ১৯৭৫ সালে বিয়ে করেন
203,তার স্ত্রী ফাতেমা মামুন একজন ব্যাংকার
204,শিক্ষা জীবন  মুনতাসীর মামুনের শৈশব কৈশর কেটেছে চট্টগ্রামের চাঁটগায়
205,১৯৬৮ সালে ভর্তি হন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগে
206,স্বাধীনতার পর ইতিহাস বিভাগ থেকে তিনিই প্রথম পিএইচডি ডিগ্রী লাভ করেন
207,তার পুরো নাম কাজী হাবিবুল বাশার
208,তিনি একজন ডান হাতি ব্যাটসম্যান
209,তার বোলিংয়ের ধরন অফ ব্রেক
210,তার টেস্ট অভিষেক হয় ২০০০ সালে ভারতের বিপক্ষে
211,এ পর্যন্ত তিনি তিন হাজারেরও অধিক রান করেছেন
212,তিনি ডানহাতি মিডল অর্ডার ব্যাটসম্যান এবং ডানহাতি লেগ ব্রেক বোলার
213,ঐ প্রতিযোগিতার ৯ খেলায় তিনি সর্বমোট ১২৪ রান করেছিলেন
214,তার ডাক নাম গোল্লা
215,তিনি জাতীয় দলে মূলত ওপেনার হিসেবে খেলতেন
216,একজন দক্ষ ফিল্ডার হিসেবে তার সুনাম আছে
217,তাঁকে বাংলার নবজাগরণ সাহিত্যের অন্যতম পুরোধা ব্যক্তিত্ব গণ্য করা হয়
218,জীবনের দ্বিতীয় পর্বে মধুসূদন আকৃষ্ট হন নিজের মাতৃভাষার প্রতি
219,এই সময়েই তিনি বাংলায় নাটক  প্রহসন ও কাব্যরচনা করতে শুরু করেন
220,মাইকেল মধুসূদন বাংলা ভাষায় সনেট ও অমিত্রাক্ষর ছন্দের প্রবর্তক
221,মাইকেলের ব্যক্তিগত জীবন ছিল নাটকীয় এবং বেদনাঘন
222,মাত্র ৪৯ বছর বয়সে কলকাতায় মৃত্যু হয় এই মহাকবির
223,রাজনারায়ণ দত্ত ছিলেন কলকাতার সদর দেওয়ানি আদালতের এক খ্যাতনামা উকিল
224,শিক্ষাজীবন  মধুসূদনের প্রাথমিক শিক্ষা তাঁর মা জাহ্নবী দেবীর কাছে
225,বিদ্বান ইমামের কাছে তিনি বাংলা  ফারসি ও আরবি পড়েছেন
226,সাগরদাঁড়িতেই মধুসূদনের বাল্যকাল অতিবাহিত হয়
227,তিনি গীতগোবিন্দ কাব্যের রচয়িতা
228,সংস্কৃত কাব্য গীতগোবিন্দের অত্যন্ত ব্যাপক ও গভীর প্রভাব রয়েছে
229,তার নামে সেখানে প্রতি বছর মেলা অনুষ্ঠিত হয়
230,তার পিতার নাম ভোজদেব ও মাতার নাম পদ্মাবতী
231,রাজা তার দাবি স্বীকার করে নিয়ে জয়পত্র লিখে দিতে চাইলেন
232,রাজা সভায় জয়দেবকে আনলেন
233,তথাকথিত সঙ্গীতনিপুণ কলাবিদের গানে গাছের সব পাতা ঝরে গেল
234,সবাই সঙ্গীতনিপুণ কলাবিদকে ধন্য ধন্য করতে লাগল
235,জয়দেব বললেন এ আর এমন কী  গাছে আবার পাতা গজিয়ে দেখাও
236,সঙ্গীতনিপুণ কলাবিদ অপারগতা প্রকাশ করলেন
237,তিনি  সংবাদ প্রভাকর   বা  সম্বাদ প্রভাকর   এর সম্পাদক
238,কিন্তু ব্যাপক ভাবে বলতে গেলে তিনি ঊনবিংশ শতাব্দীর একজন কবি ও সাহিত্যিক
239,তিনি  গুপ্ত কবি  নামে সমধিক পরিচিত
240,তাঁর ছদ্মনাম  ভ্রমণকারী বন্ধু
241,এছাড়া বহুবিধ পত্র পত্রিকা তিনি সম্পাদনা করেছেন
242,মায়ের নাম শ্রীমতী দেবী
243,তাঁর বয়স যখন দশ তখন তাঁর মা পরলোকগমন করেন
244,পরবতী বৎসর তিনি সংবাদ সাধুরঞ্জন পত্রিকার দায়িত্বভার পালন করেন
245,তিনি গ্রাম গ্রামে ঘুরে বেড়াতেন এবং কবিগান বাঁধতেন
246,তিনি হিন্দু কলেজের শিক্ষাপদ্ধতিরও বিরোধিতা করেছিলেন
247,তাঁকে সাধারণত প্রথম আধুনিক বাংলা ঔপন্যাসিক হিসেবে গণ্য করা হয়
248,তিনি জীবিকাসূত্রে ব্রিটিশ রাজের কর্মকর্তা ছিলেন
249,তিনি বাংলা ভাষার আদি সাহিত্যপত্র বঙ্গদর্শনের প্রতিষ্ঠাতা সম্পাদক ছিলেন
250,তিনি ছদ্মনাম হিসেবে কমলাকান্ত নামটি বেছে নিয়েছিলেন
251,তারিখ ২৬ জুন  ১৮৩৮ অর্থাৎ ১৩ আষাঢ় ১২৪৫
252,চট্টোপাধ্যায়দের আদিনিবাস ছিল হুগলি জেলার দেশমুখো গ্রামে
253,রামহরির পৌত্র যাদবচন্দ্র চট্টোপাধ্যায়ের তৃতীয় পুত্র বঙ্কিমচন্দ্র
254,শিক্ষা  জন্মের পর ছয় বছর বঙ্কিমচন্দ্র কাঁটালপাড়াতেই অতিবাহিত করেন
255,শিশু বয়সেই তাঁর অসামান্য মেধার পরিচয় পাওয়া যায়
256,যদিও গ্রামের পাঠশালায় বঙ্কিম কোনওদিনই যান নি
257,তাকে বাংলাভাষার  শুদ্ধতম কবি  বলে আখ্যায়িত করা হয়ে থাকে
258,তিনি বাংলা কাব্যে আধুনিকতার পথিকৃতদের মধ্যে অগ্রগণ্য
259,তিনি প্রধানত কবি হলেও বেশ কিছু প্রবন্ধ নিবন্ধ রচনা ও প্রকাশ করেছেন
260,তাঁর জীবন কেটেছে চরম দারিদ্রের মধ্যে
261,তাকে বাংলাভাষার  শুদ্ধতম কবি  অভিধায় আখ্যায়িত করা হয়েছে
262,জীবনানন্দের পিতা সত্যানন্দ দাশগুপ্ত সর্বানন্দের দ্বিতীয় পুত্র
263,জীবনানন্দ ছিলেন পিতামাতার জ্যেষ্ঠ সন্তান  তার ডাকনাম ছিল মিলু
264,ভোরে ঘুম থেকে উঠেই পিতার কণ্ঠে উপনিষদ আবৃত্তি ও মায়ের গান শুনতেন
265,ছেলেবেলায় মামার সঙ্গে বহু জায়গায় বেড়িয়েছেন
266,জন্ম ও পরিবার  পিতা নিবারন ভট্টাচার্য  মা সুনীতি দেবী
267,এক নিম্নবিত্ত পরিবারে জন্ম
268,সুকান্তের বাল্যবন্ধু ছিলেন কবি অরুনাচল বসু
269,সুকান্ত সমগ্রতে লেখা সুকান্তের চিঠিগুলির বেশিরভাগই অরুনাচল বসুকে লেখা
270,অরুনাচল বসুর মাতা কবি সরলা বসু সুকান্তকে পুত্রস্নেহে দেখতেন
271,সেই বাড়িটি এখনো অক্ষত আছে
272,১৯৪৪ সালে তিনি ভারতের কমিউনিস্ট পার্টির সদস্যপদ লাভ করেন
273,সেই বছর আকাল নামক একটি সংকলনগ্রন্থ তাঁর সম্পাদনায় প্রকাশিত হয়
274,সেখানে প্রথমে তিনি রবীন্দ্রনাথের কবিতা আবৃত্তি করেন
275,সুকান্তকে আমরা কবি হিসেবেই জানি
276,এটি বাংলাদেশের অন্যতম একটি ছাত্র সংগঠন
277,সংগঠনটি ১৯৫২ সালের ২৬শে এপ্রিল প্রতিষ্ঠিত হয়েছিল
278,বাংলাদেশের স্বাধীনতা যুদ্ধের সময় সংগঠনটির নিজস্ব গেরিলা বাহিনী ছিল
279,সংগঠনটির বর্তমান সভাপতি জি এম জিলানী শুভ ও সাধারণ সম্পাদক লিটন নন্দী
280,এটি প্রগতিশীল ছাত্র জোটভুক্ত সংগঠন
281,পাট পাট একটি বর্ষাকালীন ফসল
282,এটি  Tiliaceae  পরিবারের অন্তর্গত একটি উদ্ভিদ
283,মনে করা হয় সংস্কৃত শব্দ পট্ট থেকে পাট শব্দের উদ্ভব হয়েছে
284,পাটের ইংরেজি নাম জুট  Jute
285,সম্ভবতঃ উড়ে উড়িষ্যা  ভারত  ভাষা থেকে এসেছে
286,পাটের পরিচিতি  পাট একটি বর্ষজীবী ফসল
287,এর জীবনকাল ১০০ থেকে ১২০ দিন পর্যন্ত
288,চৈত্র বৈশাখ থেকে আষাঢ় শ্রবণ
289,পাট বৃষ্টি নির্ভর ফসল
290,বায়ুর আদ্রতা ৬০  থেকে ৯০  এর পছন্দ
