,Inflected_Word,POS,Lemma
329,ইতিহাস,NN,ইতিহাস
330,মহাবিশ্বের,NN,মহাবিশ্ব
331,জন্মাবধি,RB,জন্মাবধি
332,বিস্তৃত,VBG,বিস্তৃত
333,বলে,VB,বলে
334,কল্পনা,VB,কল্পনা
335,করে,VB,করা
336,নেওয়া,NN,নেয়া
337,যায়,VB,যায়
338,এই,DT,এ
339,যন্ত্রাংশগুলি,NNS,যন্ত্রাংশ
340,অর্ধপরিবাহী,NN,অর্ধ
341,পদার্থ,NN,পদার্থ
342,দিয়ে,IN,দাওয়া
343,প্রস্তুত,VB,প্রস্তুত
344,করা,VB,ক
345,হয়,VB,হয়
346,ডিজিটাল,NNP,ডিজি
347,সমন্বিত,RB,সমন্বিত
348,বর্তনীসমূহ,NNS,বর্তনী
349,আইসি,NNP,আইসি
350,মূলত,RB,মূল
351,ট্রানজিস্টর,NNS,ট্রানজিস্ট
352,দিয়ে,IN,দাওয়া
353,তৈরি,RB,তৈরি
354,অ্যানালগ,NNP,অ্যান
355,বর্তনীতে,NNS,বর্তনী
356,সাধারণত,RB,সাধারণ
357,রোধ,NNS,রোধ
358,এবং,CC,এবং
359,ধারক,NNS,ধারক
360,থাকে,VB,থাকা
361,কিছু,PRP,কিছু
362,উচ্চ,JJ,উচ্চ
363,কম্পাঙ্কের,NN,কম্পাঙ্ক
364,অ্যানালগ,NN,অ্যান
365,বর্তনীতে,NNS,বর্তনী
366,আবেশক,JJ,আবেশ
367,ব্যবহার,VBN,ব্যবহার
368,করা,VB,ক
369,হয়ে,VB,হয়ে
370,থাকে,VB,থাকা
371,এগুলি,DT,এগুলি
372,পরজীবী,JJ,পরজীবী
373,প্রভাব,NNS,প্রভাব
374,parasitic,JJ,ত্র্যা
375,effects,NNS,ত্রুণ
376,হিসেবে,IN,হিসাব
377,পরিচিত,VBN,পরিচয়ত
378,ইন্টেল,NNP,ইন্টেল
379,আধুনিক,JJ,আধুনিক
380,প্রযুক্তি,NN,প্রযুক্তি
381,চিপ,NNS,চিপ
382,নকশা,NN,নকশা
383,এবং,CC,এবং
384,উৎপাদন,VB,উৎপাদন
385,করায়,VB,করা
386,সমর্থ,JJ,সমর্থ
387,ইন্টেল,NNP,ইন্টেল
388,ইলেক্ট্রিকাল,JJ,ইলেক্ট্রি
389,ট্রান্সমিশন,NN,ট্রান্সমিশন
390,এবং,CC,এবং
391,প্রজন্মে,NN,প্রজন্ম
392,গবেষনা,NN,গবেষনা
393,শুরু,NN,শুরু
394,করেছে,VB,করা
395,এটি,PRP,এ
396,এসেছে,VB,আসা
397,ইন্টিগ্রেটেড,JJ,ইন্টিগ্রেট
398,ইলেক্ট্রনিকস,NNS,ইলেক্ট্রনি
399,থেকে,VB,থেকে
400,সংক্ষেপে,JJ,সংক্ষেপ
401,ইন্টেল,NNP,ইন্টেল
402,এদের,PRP,এ
403,প্রাথমিক,RB,প্রাথমিক
404,পণ্য,RB,পণ্য
405,ছিল,VB,ছিল
406,স্ট্যাটিক,JJ,স্ট্যাটিক
407,র‍্যানডম,NN,র্রযানডম
408,একসেস,NN,একস
409,মেমোরি,NN,মিমোরি
410,চিপ,NN,চিপ
411,তাদের,PRP,তাদের
412,ব্যবসায়িক,JJ,ব্যবসায়িক
413,মৌলিক,NNS,মৌলিক
414,দিকও,NNS,দিক
415,পরিবর্তন,VB,পরিবর্তন
416,করেন,VB,করা
417,১৯৮০,NUM,তিত
418,দশকের,CD,দশক
419,শেষের,JJ,শেষ
420,দিকে,IN,দিক
421,তার,PRP,তার
422,এই,DT,এ
423,সিদ্ধান্ত,NN,সিদ্ধান্ত
424,সফল,JJ,সফল
425,প্রমানিত,VBD,প্রমানিত
426,হয়,VB,হয়
427,প্রতিযোগিরা,NNS,প্রতিযোগি
428,বিশেষ,RB,বিশেষ
429,করে,VB,করা
430,এএমডি,NNP,এএমড
431,শেয়ার,NN,শেয়া
432,বাজারের,NN,বাজার
433,বড়,JJ,বড়
434,অংশ,NN,অংশ
435,অধিগ্রহণ,NN,অধিগ্রহণ
436,করে,VB,করা
437,কিন্তু,CC,কিন্তু
438,এইসব,DT,এইসব
439,প্রচেষ্টার,NNS,প্রচেষ্টা
440,কিছু,DT,কিছু
441,মাত্র,RB,মাত্র
442,সাফল্য,NN,সফল
443,এনেছিল,VB,আনা
444,তার,PRP,তার
445,আগ,RB,আগ
446,পযর্ন্ত,TO,পযর্ন্ত
447,ইন্টেল,NNP,ইন্টেল
448,কিছু,JJ,কিছু
449,বছর,NNS,বছর
450,মামলায়,NNS,মামলা
451,জড়িত,VBN,জড়ানো
452,ছিল,VB,ছিল
453,যার,PRP,যা
454,প্রধান,JJ,প্রধান
455,কার্যালয়,NN,কার্যালয়
456,সান্তা,NNP,সান্তা
457,ক্লারা,NNP,ক্লা
458,ক্যালিফোর্নিয়াতে,NNP,ক্যালিফোর্নিয়া
459,অবস্থিত,JJ,অবস্থিত
460,এটি,PRP,এ
461,২৪শে,NUM,২শশ
462,ফেব্রুয়ারি,NN,ফেব্রুয়ারি
463,১৯৮২,NUM,তিন
464,সালে,unk,সাল
465,প্রতিষ্ঠিত,VBN,প্রতিষ্ঠিত
466,বিনোদ,NNP,বিনোদ
467,খোসলা,NNP,খোসলা
468,এর,PRP,এ
469,অন্যতম,RB,অন্যত
470,প্রতিষ্ঠাতা,NNS,প্রতিষ্ঠাতা
471,৪৪,NUM,গা
472,তে,RB,তে
473,তাকে,PRP,তাক
474,কয়েকজন,PRP,কয়েকজন
475,ষড়যন্ত্রকারীরা,NNS,ষড়যন্ত্রকারী
476,হত্যা,VB,হত্যা
477,করে,VB,করা
478,ফলস্বরূপ,NN,ফলস্বরূপ
479,গৃহযুদ্ধ,NN,গৃহযুদ্ধ
480,এবং,CC,এবং
481,হত্যালীলা,NNS,হত্যালীলা
482,অব্যাহত,JJ,অব্যাহত
483,থাকে,VB,থাকা
484,রোমান,NNP,রোমান
485,প্রজাতন্ত্র,NNP,প্রজাতন্ত্র
486,প্রায়,IN,প্রায়
487,১৪০০,NUM,তিন
488,বছর,NN,বছর
489,ধরে,VB,ধরা
490,প্রচলিত,VB,প্রচলন
491,ছিল,VB,ছিল
492,অক্টেভিয়ানের,NN,অক্টো
493,পর,JJ,পর
494,এটাই,DT,এ
495,ছিল,VB,ছিল
496,সর্ববৃহৎ,JJS,সর্ব
497,রাজ্য,NN,রাজ্য
498,বিস্তারের,NN,বিস্তার
499,ঘটনা,NN,ঘটনা
500,তার,PRP,তার
501,পুত্র,NN,পুত্র
502,পরবর্তী,RB,পরবর্তী
503,সম্রাট,RB,সম্রাট
504,টাইটাসে,NNP,টাইটাট
505,রোমের,NNP,রোম
506,বিখ্যাত,JJ,বিখ্যাত
507,কলোসিয়াম,NNP,কলোসিয়াম
508,নির্মাণ,VB,নির্মাণ
509,করে,VB,করা
510,এরপর,RB,এরপর
511,সিনেট,NNP,সিনেট
512,পাঁচজন,CD,পাঁচজন
513,সম্রাটকে,NNS,সম্রাটক
514,বাছাই,VBD,বাছা
515,করে,VB,করা
516,এরপর,RB,এরপর
517,সেপ্টিমাস,NNP,সেপ্টিমাস
518,সেভেরাস,NNP,সেভ
519,সম্রাট,NN,সম্রাট
520,হয়,VB,হয়
521,নগরীর,NN,নগর
522,পতনের,NN,পতন
523,আগ,IN,আগ
524,মুহূর্ত,NN,মুহূর্ত
525,পর্যন্ত,IN,পর্যন্ত
526,এটি,PRP,এ
527,ছিল,VB,ছিল
528,প্রাচ্যের,NNP,প্রাচ্য
529,রাজধানী,NN,রাজধানী
530,তিনি,PRP,তিনি
531,খ্রিস্টান,NNP,খ্রিস্টান
532,ধর্ম,NN,ধর্ম
533,গ্রহণ,VB,গ্রহণ
534,করার,VB,কো
535,পর,IN,পর
536,রাষ্ট্রধর্ম,NN,রাষ্ট্রধর্ম
537,হিসেবে,IN,হিসাব
538,এটা,PRP,এ
539,গৃহীত,VB,গৃহী
540,হয়,VB,হয়
541,এটি,PRP,এ
542,ছিল,VB,ছিল
543,প্রাচীন,JJ,প্রাচীন
544,কালের,JJ,কাল
545,এবং,CC,এবং
546,পৃথিবীর,NN,পৃথিবী
547,বৃহত্তম,JJS,বৃহত্তম
548,সাম্রাজ্যসমূহের,NNS,সাম্রাজ্যসমূহ
549,একটি,CD,একটি
550,সুমের,NNP,সুম
551,এবং,CC,এবং
552,আক্কাদ,NNP,আক্কাদ
553,নামের,NN,নাম
554,এলাকা,NN,এলাকা
555,দুইটি,CD,দুই
556,ব্যাবিলনিয়ার,NNP,ব্যাবিলনিয়া
557,অংশ,NN,অংশ
558,ছিলো,VB,ছিলো
559,তিনি,PRP,তিনি
560,বাংলাদেশের,NNP,বাংলাদেশ
561,প্রথম,JJ,প্রথম
562,ও,CC,ও
563,মুসলিম,NN,মুসলিম
564,বিশ্বের,NNP,বিশ্ব
565,দ্বিতীয়,JJ,দ্বিতীয়
566,মহিলা,NN,মহিলা
567,প্রধানমন্ত্রী,NN,প্রধানমন্ত্রী
568,আগস্ট,NN,আগস্ট
569,১৫,NUM,ে
570,১৯৪৬,NUM,ে
571,সালে,NN,সাল
572,জলপাইগুড়িতে,NNP,গলপাই
573,তিনি,PRP,তিনি
574,জন্ম,NN,জন্ম
575,গ্রহণ,NN,গ্রহণ
576,করেন,VB,করা
577,তিন,RB,তিন
578,বোন,NN,বোন
579,এবং,CC,এবং
580,দুই,CD,দুই
581,ভাইয়ের,NN,ভাই
582,মধ্যে,RB,মধ্য
583,তিনি,PRP,তিনি
584,তৃতীয়,JJ,তৃতীয়
585,ভাইয়েরা,NNS,ভাইয়েরা
586,সবার,VB,সবার
587,ছোট,VB,ছোট
588,তাঁর,PRP,তি
589,পিতামহ,NN,পিতামহ
590,হাজী,NNP,হাজী
591,সালামত,NNP,সালাম
592,আলী,NNP,আলী
593,মাতামহ,NN,মাতামহ
594,জলপাইগুড়ির,NNP,জলপাই
595,তোয়াবুর,NNP,তুয়াবু
596,রহমান,NNP,রওয়ান
597,বাবা,NNP,বাবা
598,জনাব,NNP,জনাব
599,ইস্কান্দর,NNP,ইস্কান্দ
600,মজুমদার,NNP,মজুমদার
601,এবং,CC,এবং
602,মা,NNP,মা
603,বেগম,NNP,বেগম
604,তৈয়বা,NNP,তৈয়বা
605,মজুমদার,NNP,মজুমদার
606,স্থায়ী,JJ,স্থায়
607,নিবাস,NN,নিবাস
608,দিনাজপুর,NNP,দিনাজপুর
609,শহরের,NN,শহর
610,মুদিপাড়া,NNP,মুদিপাড়া
611,বাবা,NNP,বাবা
612,জনাব,NNP,জনাব
613,ইস্কান্দর,NNP,ইস্কান্দ
614,মজুমদার,NNP,মজুমদার
615,ছিলেন,VB,ছিলেন
616,একজন,DT,একজন
617,ব্যবসায়ী,NN,ব্যবসায়ী
618,এ,DT,এ
619,গানের,NN,গান
620,রচয়িতা,NN,রচয়া
621,ও,CC,ও
622,সুরকার,NN,সুরকার
623,রবীন্দ্রনাথ,NNP,রবীন্দ্রনাথ
624,ঠাকুর,NNP,ঠাকুর
625,গানটির,NN,গান
626,পাণ্ডুলিপি,NN,পাণ্ডুলিপ
627,পাওয়া,VB,পাওয়া
628,যায়নি,VB,যায়ন
629,তাই,IN,তা
630,এর,PRP,এ
631,সঠিক,JJ,সঠিক
632,রচনাকাল,NN,রচনা
633,জানা,VB,জানা
634,যায়,VB,যায়
635,না,VB,না
636,তবে,JJ,তব
637,৭,NUM,ত্
638,অগস্ট,NN,অগস্ট
639,উক্ত,JJ,উক্ত
640,সভায়,NN,সভা
641,এই,DT,এ
642,গানটি,NN,গান
643,গীত,VBN,গীত
644,হওয়ার,VB,হওয়া
645,কোনো,PRP,কোন
646,প্রমাণ,NN,প্রমাণ
647,পাওয়া,VB,পাওয়া
648,যায়,VB,যায়
649,না,DT,না
650,তিনি,PRP,তিনি
651,টেস্ট,NN,টেস্ট
652,ক্রিকেটে,NN,ক্রিকেট
653,বাংলাদেশের,NNP,বাংলাদেশ
654,নেতৃত্বদানকারী,,নেতৃত্বদান
655,উইকেট,NN,উইকেট
656,শিকারি,NN,শিকার
657,ছিলেন,VB,ছিলেন
658,তিনি,PRP,তিনি
659,একজন,DT,একজন
660,বাঁ,JJ,বাঁ
661,হাতি,JJ,হাতি
662,স্পিনার,NN,স্পিনা
663,১৯৯৫,NUM,তিত
664,সালের,NN,সাল
665,ওয়ানডে,NNP,ওয়ান
666,অভিষেকেও,NN,অভিষেক
667,প্রতিপক্ষ,NNS,প্রতিপক্ষ
668,ছিল,VB,ছিল
669,ভারত,NNP,ভারত
670,আন্তর্জাতিক,JJ,আন্তর্জাতিক
671,ক্যারিয়ারে,NN,ক্যারিয়ার
672,৩৩,NUM,ে
673,টেস্ট,NN,টেস্ট
674,ও,CC,ও
675,১২৫,NUM,তির
676,ওয়ানডে,NNP,ওয়ান
677,খেলেছেন,VB,খাওয়া
678,রফিক,NNP,রফিক
679,টেস্টে,NNP,টেস্ট
680,তার,PRP,তার
681,বোলিং,NN,বোলিং
682,গড়,NN,গড়
683,৪০,NUM,গা
684,৭৬,NUM,ে
685,ও,CC,ও
686,ওয়ানডেতে,NNP,ওয়ান
687,বোলিং,NN,বোলিং
688,গড়,NN,গড়
689,৩৭,NUM,ে
690,৯১,NUM,ে
691,তিনি,PRP,তিনি
692,বাংলাদেশ,NNP,বাংলাদেশ
693,জাতীয়,JJ,জাতীয়
694,দলের,NN,দল
695,সাবেক,JJ,সাব
696,অধিনায়ক,NN,অধিনায়ক
697,ডাক,NN,ডাকা
698,নাম,VB,নাম
699,দুর্জয়,JJ,দুর্জয়
700,তিনি,PRP,তিনি
701,৮,NUM,ত্
702,টি,article,টি
703,টেস্ট,NN,টেস্ট
704,ও,CC,ও
705,২৯,NUM,ে
706,টি,article,টি
707,একদিনের,DT,একদিন
708,আন্তর্জাতিক,JJ,আন্তর্জাতিক
709,ক্রিকেট,NNP,ক্রিকেট
710,ম্যাচ,NN,ম্যাচ
711,খেলেন,VB,খেলা
712,তিনি,PRP,তিনি
713,মানিকগঞ্জ,NNP,মানিক
714,১,NUM,ত
715,আসনের,NN,আসন
716,সংসদ,NNP,সংসদর
717,সদস্য,NNP,সদস্য
718,এছাড়া,RB,এছাড
719,তিনি,PRP,তিনি
720,বাংলাদেশের,NNP,বাংলাদেশ
721,ক্রিকেট,NNP,ক্রিকেট
722,ওয়েলফেয়ার,NNP,ওয়েল
723,এসোসিয়েসন,NNP,আসোসিয়
724,এর,PRP,এ
725,প্রেসিডেন্ট,NNP,প্রেসিডেন্ট
726,হিন্দুধর্ম,NNP,হিন্দু
727,হিন্দুধর্ম,NNP,হিন্দু
728,সনাতনধর্ম,NNP,সনাতনধর্ম
729,ভারতীয়,JJ,ভারত
730,উপমহাদেশের,NN,উপমহাদেশ
731,আধ্যাত্মিক,JJ,আধ্যাত্মিক
732,মতবাদ,NN,মতবাদ
733,হিন্দু,JJ,হিন্দু
734,ধর্মাবলম্বীগণ,NNP,ধর্মাবলম্বী
735,স্বীয়,JJ,স্বীয়
736,ধর্মমতকে,NN,ধর্ম
737,সনাতন,RB,সনা
738,ধর্ম,NN,ধর্ম
739,নামেও,NN,নাম
740,অভিহিত,RB,অভিহাত
741,করেন,VB,করা
742,হিন্দুধর্ম,NN,হিন্দু
743,একাধিক,JJ,একাধিক
744,ধর্মীয়,JJ,ধর্মীয়
745,ঐতিহ্যের,NNS,ঐতিহ্য
746,সমন্বয়ে,NN,সমন্বয়
747,গঠিত,,গঠিত
748,এই,DT,এ
749,ধর্মের,NN,ধর্ম
750,কোনো,PRP,কোন
751,একক,JJ,একক
752,প্রতিষ্ঠাতা,NN,প্রতিষ্ঠাতা
753,নেই,VB,না
754,লৌহযুগীয়,NNP,লৌহযুগ
