,vocab_all
289,ю
290,я
291,ё
292,є
293,і
294,ї
295,ј
296,њ
297,ѥ
298,Ѯ
299,ѯ
300,Ѱ
301,Ѳ
302,ѳ
303,Ґ
304,Қ
305,қ
306,ң
307,Ү
308,ү
309,Һ
310,һ
311,Ӏ
312,ӏ
313,Ө
314,ө
315,Ա
316,Բ
317,Գ
318,Ե
319,Թ
320,Կ
321,Հ
322,Մ
323,Յ
324,Ս
325,Վ
326,Փ
327,Ք
328,Ֆ
329,ա
330,բ
331,գ
332,դ
333,ե
334,է
335,ը
336,ի
337,լ
338,խ
339,ծ
340,կ
341,հ
342,ձ
343,ղ
344,մ
345,յ
346,ն
347,շ
348,ո
349,չ
350,պ
351,ռ
352,ս
353,վ
354,տ
355,ր
356,ց
357,ւ
358,փ
359,ք
360,֥
361,ְ
362,ֲ
363,ִ
364,ֵ
365,ֶ
366,ַ
367,ָ
368,ֹ
369,ּ
370,א
371,ב
372,ג
373,ד
374,ה
375,ו
376,ז
377,ח
378,ט
379,י
380,ך
381,כ
382,ל
383,ם
384,מ
385,ן
386,נ
387,ס
388,ע
389,פ
390,צ
391,ק
392,ר
393,ש
394,ת
395,،
396,؟
397,ء
398,آ
399,أ
400,ؤ
401,إ
402,ئ
403,ا
404,ب
405,ة
406,ت
407,ث
408,ج
409,ح
410,خ
411,د
412,ذ
413,ر
414,ز
415,س
416,ش
417,ص
418,ض
419,ط
420,ظ
421,ع
422,غ
423,ـ
424,ف
425,ق
426,ك
427,ل
428,م
429,ن
430,ه
431,و
432,ى
433,ي
434,ً
435,ٌ
436,ٍ
437,َ
438,ُ
439,ِ
440,ّ
441,ْ
442,ٹ
443,ٽ
444,پ
445,ٿ
446,چ
447,ڈ
448,ڊ
449,ڑ
450,ړ
451,ږ
452,ژ
453,ڙ
454,ڠ
455,ڤ
456,ک
457,ڪ
458,ګ
459,گ
460,ڻ
461,ھ
462,ہ
463,ۂ
464,ۃ
465,ۇ
466,ی
467,ۍ
468,ۏ
469,ې
470,ۓ
471,ە
472,۱
473,۳
474,۶
475,۹
476,ܕ
477,ܘ
478,ܝ
479,ނ
480,ރ
481,މ
482,ދ
483,ތ
484,ގ
485,ސ
486,ޑ
487,ޙ
488,ޢ
489,ަ
490,ީ
491,ު
492,ޫ
493,ެ
494,ް
495,ँ
496,ं
497,अ
498,आ
499,ई
500,उ
501,क
502,ख
503,ग
504,घ
505,च
506,छ
507,ज
508,ञ
509,ट
510,ठ
511,ड
512,ढ
513,ण
514,त
515,थ
516,द
517,ध
518,न
519,प
520,फ
521,ब
522,भ
523,म
524,य
525,र
526,ल
527,ळ
528,व
529,श
530,ष
531,स
532,ह
533,़
534,ा
535,ि
536,ी
537,ु
538,ू
539,ृ
540,े
541,ै
542,ॉ
543,ो
544,ौ
545,्
546,ॐ
547,।
548,ঁ
549,ং
550,ঃ
551,অ
552,আ
553,ই
554,ঈ
555,উ
556,ঊ
557,ঋ
558,ঌ
559,এ
560,ঐ
561,ও
562,ঔ
563,ক
564,খ
565,গ
566,ঘ
567,ঙ
568,চ
569,ছ
570,জ
571,ঝ
572,ঞ
573,ট
574,ঠ
575,ড
576,ঢ
577,ণ
578,ত
579,থ
580,দ
581,ধ
582,ন
583,প
584,ফ
585,ব
586,ভ
587,ম
588,য
589,র
590,ল
591,শ
592,ষ
593,স
594,হ
595,়
596,া
597,ি
598,ী
599,ু
600,ূ
601,ৃ
602,ে
603,ৈ
604,ো
605,ৌ
606,্
607,ৎ
608,ৗ
609,ড়
610,ঢ়
611,য়
612,ৠ
613,ৡ
614,০
615,১
616,২
617,৩
618,৪
619,৫
620,৬
621,৭
622,৮
623,৯
624,ৰ
625,৳
626,ਂ
627,ਆ
628,ਕ
629,ਖ
630,ਗ
631,ਜ
632,ਣ
633,ਤ
634,ਥ
635,ਦ
636,ਧ
637,ਨ
638,ਪ
639,ਬ
640,ਭ
641,ਮ
642,ਰ
643,ਲ
644,ਵ
645,ਸ
646,ਹ
647,਼
648,ਾ
649,ਿ
650,ੀ
651,ੁ
652,ੂ
653,ੇ
654,ੋ
655,ੌ
656,੍
657,ੜ
658,ੰ
659,ੱ
660,અ
661,ટ
662,ણ
663,પ
664,ર
665,ા
666,ો
667,્
668,ଂ
669,ଉ
670,କ
671,ଗ
672,ଙ
673,ଚ
674,ଜ
675,ଠ
676,ଢ
677,ତ
678,ଦ
679,ନ
680,ପ
681,ବ
682,ମ
683,ର
684,ଳ
685,ସ
686,ା
687,ି
688,ୀ
689,ୁ
690,େ
691,୍
692,அ
693,இ
694,க
695,ங
696,ச
697,ட
698,ண
699,த
700,ன
701,ப
702,ம
703,ய
704,ர
705,ல
706,வ
707,ஷ
708,ஹ
709,ா
710,ி
711,ு
712,்
713,ಂ
714,ಕ
715,ಗ
716,ಡ
717,ತ
718,ದ
719,ನ
720,ಬ
721,ಭ
722,ಳ
723,ವ
724,ಸ
725,ಾ
726,ಿ
727,ು
728,ೆ
729,ೇ
730,ೌ
731,್
732,അ
733,ക
734,ഖ
735,ഗ
736,ദ
737,ന
738,പ
739,ബ
740,മ
741,യ
742,ര
743,ല
744,ള
745,ശ
746,സ
747,ഹ
748,ാ
749,ി
750,ീ
751,ു
752,ൈ
753,്
754,ජ
755,න
756,ය
757,ර
758,ව
759,ස
760,හ
761,ි
762,ු
763,ො
764,ก
765,ข
766,ค
767,ง
768,จ
769,ช
770,ญ
771,ฎ
772,ณ
773,ด
774,ต
775,ถ
776,ท
777,ธ
778,น
779,บ
780,ป
781,พ
782,ภ
783,ม
784,ย
785,ร
786,ล
787,ว
788,ศ
789,ษ
790,ส
791,ห
792,ฬ
793,อ
794,ฯ
795,ะ
796,ั
797,า
798,ำ
799,ิ
800,ี
801,ุ
802,ู
803,฿
804,เ
805,โ
806,็
807,่
808,้
809,์
810,་
811,།
812,ཁ
813,ག
814,ང
815,ཅ
816,ཆ
817,ཇ
818,ད
819,ན
820,ཕ
821,བ
822,མ
823,འ
824,ར
825,ས
826,ཧ
827,ཱ
828,ི
829,ུ
830,ེ
831,ྤ
832,ྭ
833,ྱ
834,က
835,င
836,စ
837,တ
838,န
839,ပ
840,ဖ
841,ဘ
842,မ
843,ရ
844,လ
845,သ
846,အ
847,ာ
848,ိ
849,ု
850,ူ
851,ေ
852,ံ
853,း
854,္
855,်
856,ြ
857,ှ
858,၆
859,၉
860,ა
861,ბ
862,გ
863,დ
864,ე
865,ვ
866,თ
867,ი
868,კ
869,ლ
870,მ
871,ნ
872,ო
873,რ
874,ს
875,ტ
876,ფ
877,ქ
878,ყ
879,შ
880,ც
881,ხ
882,ჰ
883,ሊ
884,ል
885,ሶ
886,ኃ
887,ኛ
888,የ
889,ይ
890,ᗨ
891,ᛊ
892,ᛋ
893,ᛌ
894,ជ
895,ទ
896,ធ
897,ន
898,ប
899,ព
900,ម
901,យ
902,រ
903,វ
904,ស
905,ឥ
906,ា
907,ី
908,ុ
909,ូ
910,េ
911,ោ
912,ះ
913,៊
914,័
915,្
916,១
917,២
918,៧
919,ᵻ
920,ẟ
921,ἀ
922,ἁ
923,Ἀ
924,Ἄ
925,ἔ
926,Ἐ
927,Ἑ
928,ἡ
929,Ἠ
930,ἴ
931,ἶ
932,ἷ
933,Ἰ
934,Ἱ
935,ὁ
936,ὄ
937,Ὀ
938,ὕ
939,ὠ
940,ὰ
941,ά
942,ὴ
943,ὶ
944,ᾰ
945,ᾱ
946,ᾳ
947,ᾶ
948,Ᾰ
949,Ᾱ
950,ᾼ
951,ῃ
952,ῆ
953,ῌ
954,ῖ
955,ῥ
956,ῦ
957,ῳ
958,ῶ
959,ῼ
960,‌
961,‍
962,•
963,ℑ
964,ℜ
965,−
966,≤
967,≥
968,㎠
969,㎤
970,一
971,丁
972,七
973,万
974,三
975,上
976,下
977,不
978,与
979,专
980,且
981,世
982,业
983,东
984,丝
985,两
986,严
987,丨
988,个
989,中
990,丶
991,丸
992,丹
993,为
994,主
995,丽
996,丿
997,么
998,义
999,之
1000,乐
1001,乙
1002,乚
1003,乛
1004,九
1005,也
1006,习
1007,乡
1008,书
1009,买
1010,亅
1011,了
1012,争
1013,事
1014,二
1015,于
1016,云
1017,互
1018,五
1019,井
1020,亚
1021,些
1022,亡
1023,交
1024,产
1025,京
1026,亲
1027,人
1028,什
1029,仁
1030,仅
1031,今
1032,介
1033,从
1034,仔
1035,他
1036,仙
1037,代
1038,令
1039,以
1040,仪
1041,们
1042,仰
1043,件
1044,价
1045,任
1046,份
1047,企
1048,伊
1049,伍
1050,休
1051,众
1052,会
1053,伟
1054,传
1055,伤
1056,伦
1057,伯
1058,但
1059,位
1060,住
1061,佐
1062,佑
1063,体
1064,何
1065,余
1066,作
1067,你
1068,佩
1069,佳
1070,使
1071,例
1072,依
1073,侧
1074,俗
1075,保
1076,信
1077,候
1078,值
1079,假
1080,偉
1081,做
1082,停
1083,偶
1084,傑
1085,傘
1086,傳
1087,僅
1088,像
1089,僵
1090,儒
1091,儿
1092,元
1093,充
1094,先
1095,光
1096,克
1097,兌
1098,免
1099,党
1100,入
1101,內
1102,全
1103,兩
1104,八
1105,公
1106,六
1107,兰
1108,共
1109,关
1110,兵
1111,其
1112,养
1113,内
1114,再
1115,冏
1116,写
1117,军
1118,冠
1119,冫
1120,冬
1121,冰
1122,决
1123,凌
1124,凝
1125,几
1126,出
1127,刀
1128,分
1129,切
1130,刘
1131,则
1132,初
1133,判
1134,別
1135,利
1136,刪
1137,别
1138,刮
1139,到
1140,制
1141,前
1142,剔
1143,劉
1144,力
1145,办
1146,加
1147,务
1148,动
1149,助
1150,努
1151,効
1152,势
1153,勁
1154,勇
1155,動
1156,募
1157,勤
1158,勾
1159,包
1160,化
1161,北
1162,匡
1163,匣
1164,匪
1165,区
1166,医
1167,區
1168,十
1169,千
1170,午
1171,半
1172,华
1173,卓
1174,单
1175,卖
1176,南
1177,博
1178,卡
1179,卢
1180,卫
1181,印
1182,危
1183,却
1184,卷
1185,卿
1186,历
1187,厘
1188,厚
1189,原
1190,厥
1191,厳
1192,去
1193,县
1194,参
1195,又
1196,及
1197,友
1198,反
1199,发
1200,叔
1201,取
1202,受
1203,叙
1204,口
1205,句
1206,另
1207,只
1208,可
1209,台
1210,史
1211,右
1212,号
1213,司
1214,吃
1215,各
1216,合
1217,吉
1218,同
1219,名
1220,后
1221,向
1222,吕
1223,吗
1224,君
1225,否
1226,吧
1227,听
1228,吴
1229,呀
1230,告
1231,员
1232,呢
1233,呦
1234,周
1235,味
1236,命
1237,和
1238,咨
1239,咸
1240,品
1241,哈
1242,哋
1243,員
1244,哥
1245,哲
1246,唐
1247,商
1248,啊
1249,問
1250,啤
1251,啥
1252,善
1253,喜
1254,喝
1255,営
1256,嗎
1257,嘅
1258,嘉
1259,噶
1260,四
1261,回
1262,因
1263,团
1264,団
1265,园
1266,困
1267,図
1268,围
1269,国
1270,國
1271,園
1272,圖
1273,團
1274,土
1275,圣
1276,在
1277,地
1278,圳
1279,场
1280,坐
1281,坚
1282,坤
1283,垣
1284,城
1285,埔
1286,域
1287,培
1288,基
1289,堂
1290,報
1291,場
1292,塑
1293,塔
1294,境
1295,増
1296,增
1297,墨
1298,壤
1299,士
1300,壮
1301,声
1302,売
1303,处
1304,备
1305,复
1306,夏
1307,夕
1308,外
1309,多
1310,夜
1311,够
1312,夢
1313,大
1314,天
1315,太
1316,夫
1317,央
1318,失
1319,头
1320,夷
1321,奇
1322,奈
1323,奉
1324,奋
1325,奔
1326,奖
1327,女
1328,奴
1329,奶
1330,她
1331,好
1332,如
1333,妈
1334,妊
1335,妓
1336,妖
1337,妥
1338,妹
1339,姆
1340,姊
1341,始
1342,姐
1343,委
1344,姨
1345,姻
1346,威
1347,娃
1348,娠
1349,婆
1350,婚
1351,媒
1352,子
1353,孔
1354,字
1355,存
1356,孙
1357,孜
1358,季
1359,学
1360,孩
1361,學
1362,宁
1363,它
1364,宅
1365,宇
1366,守
1367,安
1368,宋
1369,完
1370,宏
1371,宗
1372,官
1373,定
1374,实
1375,客
1376,宥
1377,宪
1378,宵
1379,家
1380,容
1381,宽
1382,宿
1383,寅
1384,密
1385,富
1386,寒
1387,察
1388,實
1389,寫
1390,寬
1391,对
1392,寺
1393,导
1394,対
1395,寿
1396,封
1397,射
1398,将
1399,尊
1400,對
1401,小
1402,少
1403,尔
1404,尘
1405,尚
1406,尤
1407,就
1408,尸
1409,尼
1410,尾
1411,局
1412,层
1413,展
1414,属
1415,屠
1416,山
1417,岐
1418,岛
1419,岩
1420,岳
1421,岸
1422,島
1423,崇
1424,崔
1425,崩
1426,嵐
1427,嵘
1428,嶽
1429,川
1430,州
1431,工
1432,左
1433,差
1434,己
1435,已
1436,巴
1437,币
1438,市
1439,布
1440,师
1441,希
1442,帑
1443,帝
1444,席
1445,帯
1446,常
1447,帽
1448,幂
1449,幕
1450,幣
1451,干
1452,平
1453,年
1454,并
1455,幸
1456,幹
1457,幻
1458,幽
1459,幾
1460,广
1461,広
1462,庆
1463,应
1464,底
1465,店
1466,庙
1467,庚
1468,府
1469,度
1470,座
1471,庭
1472,康
1473,庸
1474,廖
1475,延
1476,建
1477,开
1478,弁
1479,异
1480,引
1481,弘
1482,张
1483,弦
1484,張
1485,強
1486,强
1487,彌
1488,当
1489,形
1490,彦
1491,彪
1492,彭
1493,影
1494,往
1495,待
1496,很
1497,律
1498,後
1499,徐
1500,得
1501,御
1502,循
1503,微
1504,德
1505,徽
1506,心
1507,必
1508,志
1509,応
1510,忧
1511,快
1512,念
1513,怀
1514,态
1515,怕
1516,怖
1517,思
1518,急
1519,性
1520,怪
1521,总
1522,恐
1523,恒
1524,恩
1525,恭
1526,息
1527,恰
1528,悖
1529,患
1530,悲
1531,情
1532,惕
1533,惜
1534,惠
1535,惧
1536,想
1537,意
1538,愛
1539,感
1540,愿
1541,慈
1542,態
1543,慌
1544,慎
1545,慕
1546,慧
1547,慨
1548,憋
1549,憧
1550,成
1551,我
1552,戒
1553,或
1554,战
1555,戦
1556,戴
1557,戸
1558,房
1559,所
1560,手
1561,才
1562,打
1563,扣
1564,扫
1565,扬
1566,批
1567,承
1568,技
1569,抄
1570,投
1571,抖
1572,折
1573,抚
1574,护
1575,报
1576,抬
1577,担
1578,拉
1579,拍
1580,拖
1581,拜
1582,持
1583,指
1584,按
1585,挥
1586,捅
1587,捐
1588,捷
1589,掉
1590,掌
1591,排
1592,接
1593,控
1594,推
1595,措
1596,提
1597,援
1598,搖
1599,搜
1600,携
1601,摸
1602,播
1603,撰
1604,擁
1605,支
1606,收
1607,改
1608,放
1609,政
1610,效
1611,敏
1612,教
1613,敢
1614,散
1615,敬
1616,数
1617,整
1618,數
1619,文
1620,斌
1621,料
1622,断
1623,斯
1624,新
1625,方
1626,施
1627,无
1628,日
1629,早
1630,时
1631,旺
1632,昂
1633,昌
1634,明
1635,易
1636,星
1637,映
1638,春
1639,昨
1640,昭
1641,是
1642,昵
1643,時
1644,晒
1645,晓
1646,晚
1647,晟
1648,普
1649,景
1650,晶
1651,智
1652,暘
1653,曉
1654,曲
1655,更
1656,書
1657,曾
1658,最
1659,會
1660,月
1661,有
1662,朋
1663,服
1664,望
1665,朝
1666,期
1667,木
1668,未
1669,本
1670,术
1671,朱
1672,朴
1673,机
1674,权
1675,李
1676,材
1677,村
1678,杜
1679,杠
1680,条
1681,来
1682,杨
1683,杰
1684,東
1685,松
1686,板
1687,极
1688,构
1689,林
1690,果
1691,枝
1692,枫
1693,架
1694,某
1695,染
1696,查
1697,柳
1698,柴
1699,査
1700,栋
1701,校
1702,样
1703,根
1704,格
1705,桂
1706,桃
1707,桑
1708,桥
1709,梁
1710,條
1711,梨
1712,棒
1713,森
1714,植
1715,楚
1716,業
1717,楷
1718,楼
1719,概
1720,榮
1721,構
1722,槻
1723,樂
1724,樋
1725,樓
1726,標
1727,権
1728,機
1729,檢
1730,次
1731,欢
1732,欣
1733,欲
1734,欺
1735,歉
1736,歌
1737,歐
1738,止
1739,正
1740,此
1741,步
1742,武
1743,歩
1744,歲
1745,歴
1746,死
1747,歼
1748,殘
1749,殡
1750,段
1751,殿
1752,每
1753,毒
1754,比
1755,毛
1756,毫
1757,氏
1758,民
1759,气
1760,気
1761,氛
1762,氣
1763,水
1764,永
1765,求
1766,汉
1767,江
1768,池
1769,汤
1770,決
1771,沉
1772,沒
1773,沙
1774,沟
1775,没
1776,沢
1777,河
1778,治
1779,沼
1780,泉
1781,法
1782,波
1783,注
1784,泰
1785,泳
1786,泽
1787,洋
1788,洗
1789,洛
1790,津
1791,洪
1792,洲
1793,活
1794,流
1795,浜
1796,浠
1797,浪
1798,浮
1799,浴
1800,海
1801,消
1802,涛
1803,涢
1804,淨
1805,深
1806,清
1807,済
1808,渊
1809,渗
1810,温
1811,港
1812,游
1813,湖
1814,湘
1815,湾
1816,準
1817,溜
1818,溫
1819,滋
1820,滔
1821,滕
1822,漏
1823,漓
1824,漢
1825,漫
1826,潘
1827,潤
1828,潰
1829,澜
1830,濟
1831,濱
1832,灣
1833,火
1834,灰
1835,炎
1836,炒
1837,炜
1838,点
1839,為
1840,烏
1841,烧
1842,热
1843,焉
1844,無
1845,焦
1846,然
1847,煌
1848,照
1849,熊
1850,熱
1851,燈
1852,燒
1853,燕
1854,爱
1855,爷
1856,爸
1857,爺
1858,爽
1859,爾
1860,片
1861,版
1862,牙
1863,牛
1864,牟
1865,物
1866,特
1867,状
1868,犹
1869,狐
1870,狗
1871,独
1872,狭
1873,猪
1874,猫
1875,献
1876,獎
1877,玉
1878,王
1879,玛
1880,玩
1881,环
1882,现
1883,玲
1884,玻
1885,珊
1886,珠
1887,現
1888,球
1889,理
1890,琢
1891,琦
1892,琼
1893,瑜
1894,瑩
1895,瑾
1896,璃
1897,環
1898,瓦
1899,瓶
1900,甘
1901,生
1902,産
1903,用
1904,田
1905,由
1906,电
1907,男
1908,画
1909,界
1910,留
1911,番
1912,異
1913,畵
1914,疆
1915,疑
1916,疫
1917,病
1918,症
1919,痕
1920,痴
1921,瘦
1922,発
1923,登
1924,發
1925,白
1926,百
1927,的
1928,皇
1929,皓
1930,盆
1931,监
1932,盘
1933,盛
1934,盡
1935,盤
1936,目
1937,盲
1938,直
1939,相
1940,看
1941,県
1942,真
1943,眼
1944,着
1945,督
1946,睿
1947,瞒
1948,知
1949,矩
1950,石
1951,矿
1952,砂
1953,研
1954,砖
1955,碎
1956,碑
1957,碧
1958,碩
1959,確
1960,碼
1961,磨
1962,示
1963,礼
1964,社
1965,祈
1966,祕
1967,祖
1968,神
1969,祭
1970,禁
1971,福
1972,禮
1973,禱
1974,离
1975,秀
1976,私
1977,种
1978,科
1979,秘
1980,租
1981,秦
1982,称
1983,税
1984,種
1985,稿
1986,穆
1987,究
1988,空
1989,穿
1990,突
1991,立
1992,站
1993,竜
1994,竟
1995,童
1996,端
1997,竹
1998,笃
1999,笑
2000,笛
2001,笼
2002,等
2003,筋
2004,答
2005,策
2006,算
2007,管
2008,箱
2009,節
2010,範
2011,篇
2012,篮
2013,籤
2014,米
2015,粒
2016,精
2017,糖
2018,系
2019,紀
2020,紅
2021,納
2022,純
2023,素
2024,紡
2025,索
2026,紫
2027,紹
2028,終
2029,組
2030,経
2031,絕
2032,絡
2033,給
2034,絮
2035,統
2036,經
2037,続
2038,綠
2039,綸
2040,総
2041,線
2042,編
2043,緩
2044,縄
2045,總
2046,織
2047,红
2048,约
2049,级
2050,纪
2051,纲
2052,纳
2053,纷
2054,纽
2055,线
2056,细
2057,经
2058,结
2059,给
2060,绝
2061,统
2062,继
2063,续
2064,绸
2065,绿
2066,缓
2067,缘
2068,网
2069,罗
2070,罢
2071,罩
2072,罪
2073,羅
2074,美
2075,羡
2076,群
2077,義
2078,羹
2079,羽
2080,翅
2081,翔
2082,翻
2083,翼
2084,老
2085,考
2086,者
2087,而
2088,耗
2089,耳
2090,聊
2091,联
2092,聚
2093,聞
2094,聪
2095,聶
2096,職
2097,肉
2098,股
2099,肥
2100,育
2101,肺
2102,胄
2103,背
2104,胎
2105,胜
2106,胡
2107,能
2108,脑
2109,脚
2110,腕
2111,腦
2112,膀
2113,臨
2114,自
2115,至
2116,致
2117,臺
2118,與
2119,興
2120,舎
2121,舗
2122,舞
2123,航
2124,般
2125,船
2126,良
2127,色
2128,艺
2129,艾
2130,节
2131,芦
2132,芬
2133,花
2134,芳
2135,芸
2136,苏
2137,苛
2138,若
2139,苦
2140,英
2141,范
2142,茅
2143,茶
2144,草
2145,莉
2146,莎
2147,获
2148,菁
2149,菅
2150,菇
2151,菓
2152,菜
2153,華
2154,菲
2155,萇
2156,营
2157,萬
2158,落
2159,著
2160,葩
2161,葫
2162,蒋
2163,蒙
2164,蒲
2165,蒼
2166,蓄
2167,蓝
2168,蕎
2169,蕓
2170,薇
2171,薩
2172,藍
2173,藏
2174,藤
2175,藥
2176,藹
2177,蘇
2178,蘑
2179,虎
2180,蛋
2181,蜂
2182,蜗
2183,蜜
2184,蝴
2185,蝶
2186,融
2187,血
2188,行
2189,街
2190,补
2191,表
2192,被
2193,装
2194,裔
2195,裸
2196,西
2197,要
2198,覆
2199,見
2200,視
2201,觀
2202,见
2203,观
2204,规
2205,视
2206,觉
2207,角
2208,解
2209,言
2210,計
2211,記
2212,訳
2213,訶
2214,話
2215,詹
2216,誒
2217,語
2218,調
2219,謝
2220,謹
2221,警
2222,護
2223,讀
2224,讃
2225,變
2226,讓
2227,计
2228,认
2229,让
2230,训
2231,议
2232,讯
2233,记
2234,讲
2235,许
2236,论
2237,证
2238,评
2239,识
2240,诉
2241,诚
2242,话
2243,诞
2244,询
2245,该
2246,语
2247,误
2248,说
2249,诶
2250,诺
2251,谁
2252,谙
2253,谧
2254,谷
2255,豆
2256,象
2257,豪
2258,貧
2259,責
2260,貴
2261,賃
2262,資
2263,賢
2264,賦
2265,質
2266,贅
2267,贝
2268,负
2269,贡
2270,财
2271,责
2272,质
2273,贫
2274,贵
2275,费
2276,贺
2277,资
2278,赚
2279,赛
2280,赤
2281,走
2282,赵
2283,起
2284,超
2285,距
2286,跟
2287,跨
2288,路
2289,踊
2290,踏
2291,蹈
2292,蹟
2293,蹴
2294,身
2295,軍
2296,較
2297,輩
2298,车
2299,辈
2300,辉
2301,辑
2302,输
2303,辰
2304,边
2305,达
2306,迅
2307,过
2308,运
2309,近
2310,还
2311,这
2312,进
2313,远
2314,连
2315,迟
2316,迥
2317,迹
2318,送
2319,逃
2320,透
2321,逐
2322,這
2323,通
2324,造
2325,逢
2326,連
2327,進
2328,逻
2329,逼
2330,遇
2331,過
2332,道
2333,達
2334,違
2335,遗
2336,遠
2337,遵
2338,遷
2339,選
2340,還
2341,那
2342,邦
2343,邪
2344,邱
2345,郊
2346,郎
2347,部
2348,郭
2349,都
2350,鄉
2351,鄭
2352,配
2353,酒
2354,酸
2355,醉
2356,醋
2357,醮
2358,里
2359,重
2360,野
2361,量
2362,金
2363,釜
2364,釵
2365,鉄
2366,鋪
2367,錨
2368,鏡
2369,鐵
2370,钗
2371,钢
2372,钦
2373,钱
2374,铁
2375,铭
2376,银
2377,锁
2378,错
2379,锡
2380,镇
2381,镕
2382,長
2383,长
2384,門
2385,間
2386,関
2387,閣
2388,閱
2389,闘
2390,门
2391,闭
2392,问
2393,间
2394,阁
2395,队
2396,阪
2397,防
2398,阳
2399,阴
2400,阿
2401,际
2402,陈
2403,限
2404,院
2405,陳
2406,陵
2407,陸
2408,陽
2409,隆
2410,隋
2411,随
2412,隐
2413,隔
2414,際
2415,障
2416,隨
2417,难
2418,雁
2419,雅
2420,集
2421,雕
2422,雜
2423,雞
2424,難
2425,雨
2426,雪
2427,雯
2428,雲
2429,電
2430,需
2431,震
2432,霍
2433,露
2434,靑
2435,青
2436,静
2437,靜
2438,非
2439,靠
2440,面
2441,革
2442,鞋
2443,韋
2444,韓
2445,韩
2446,音
2447,響
2448,須
2449,題
2450,顕
2451,類
2452,顺
2453,须
2454,顾
2455,顿
2456,领
2457,颇
2458,题
2459,颜
2460,颠
2461,風
2462,飄
2463,风
2464,飞
2465,食
2466,飩
2467,飯
2468,餅
2469,餓
2470,館
2471,饂
2472,饭
2473,饰
2474,饺
2475,饿
2476,馅
2477,馆
2478,首
2479,香
2480,馬
2481,騙
2482,马
2483,驱
2484,骑
2485,骗
2486,骨
2487,高
2488,髭
2489,鬼
2490,魏
2491,鰻
2492,鱼
2493,鳖
2494,鴻
2495,鸟
2496,鸡
2497,鸽
2498,鹉
2499,鹏
2500,鹦
2501,鹿
2502,麗
2503,麦
2504,麵
2505,黃
2506,黄
2507,黎
2508,黑
2509,默
2510,點
2511,黨
2512,鼠
2513,齉
2514,齋
2515,龍
2516,龔
2517,龙
2518,가
2519,거
2520,건
2521,검
2522,경
2523,공
2524,과
2525,관
2526,광
2527,교
2528,구
2529,국
2530,굴
2531,권
2532,궤
2533,근
2534,기
2535,깃
2536,꾸
2537,꿈
2538,남
2539,내
