id,sentence
valid_sandwip (33).wav,আরাতো ছি দিদেশিগিন নব্বই হাজার করি নব্বই হাজার টিয়ে দি ব জুর করি দিছি উন্নানব্বই হাজার তিয়হা নায় নব্বই হাজার টিয়া লালে না তছেআঁই কইলাম আইগা আঁই এননেতোআনব্জর কাসটনরআই এক নাকের গরু দ বান্কে আনাগ যাই আর না আছে কিাননা নব্বই হাজার টিহা কই হাযা হে এবারক পাচশো ডিয়া কম আইকান আাঁচশো ডিয়া না মোটা এক হাজার টেহা কমরাক্ নিছে ত উনানব্বই হাজার তআঙগো রুজিনিরা গানামাগরি বেইচছে কে ম্তা রথাচছে কেছেব
valid_sandwip (34).wav,জুরাগানের মদদি বেচ্ছে কতো ছো আনা একজোড় আইছলো ছো না কররে ন জর  দশতে যারে তিরিশ হাজার টিয়া না বত্রিশ হাজার টিঁয়া বেচ্ছে চো আনা ছয়হানে য়য় সাড়ে ছ আনা বউত কম ন এননে কিনতে গেলো আনা হা ত্রিশ হাজার টিয়া বেশি বলে গিয়া
valid_sandwip (35).wav,বিদেশি সন্ধানের এ মাইচছুর ছে বিহেদুলইতেল প্রচুল জু অন্গো অনকা মিডেল করতে নাই ছেগ আনা মাগি একজরা আছে এগুন আর আকিচাা শে
valid_sandwip (36).wav,বিদেশি হারেক্ষন আছিলো জাগা দছে বিদেশি বরসকা আঁর বোনির্তা এক্কানা  জাগএডিয়েন না যেহেন্ডে হাছ পড়া লইছলের যে হেসমযাবিচছি হই সমকা আ অলম কারি গিরি বি দিছি আরাই বেরি
valid_sandwip (37).wav,দুই বুর গলার খান আর কানা ম্ি চোদা আর আমার বেতনে এর সাথেও ছিলো অঞ্চাশ বাবার হেল দরি তো র ফরে আলগুন দিকরে কুনে কাসছি আর হইলো কিয়ে দিলেছিলেহু
valid_sandwip (38).wav,য়াকিছু করি নো গাছের বাগান দে সযার কি কিনে আট্টুলই নামবার  গাছে অছে বড় বড় গাছ আছেতক হাজার টিহা করা অইছলে আমগা এক লাখ টিহা কর মুলেততো নাগাদা তি হা করি
valid_sandwip (39).wav,অ্যা অনকা মুরি হাককেলল ইটটা বেশি এদিকে হাইলে মনে করছি জুইত মতা খাইলে এদিকে হাইলে চাইর করা হাইলো হেদিক ের্তে বেচি চইলে আইতেম অংকা তো এডিক আসলে জুত মতা হাইয়ো না আর অংকা এদিকে জাগার দাম আরো বউত বেশি হেদিকে যবেত
valid_sandwip (40).wav,লইছিলেম তো কালাইন নিয়া নো োলা হেই সমকা বিটিনের বাপেরে াতো ইয়া নাইতো আসলে আনে এই কাজের মাস্টার জাঙাইয়ান বেইচ্ছা যাই এক লাখ ষাইট হাজার টিহা করা আঁরা হাইজ্জে আগে হইতে জাগা বযয়ে খেত্তে ইয়া কইরবার আগে আঁরে কইরছে ক
valid_sandwip (41).wav,তুই লঅইলা লইয়া অলো বেডারে কচির বেটা আঁরে ফোরে না এত টিঁয়া কোডা হামু অত চ অংকা লন লকে রি গর দিনো তুমি নন লইলা কি তো  লইয়া গেতেতো আংগু পিতিনের বার বেশি ডরাইল্লা কোনো বা আইয়এগের কষেত্তে হাসটিয়া লইবারে ব্যাপারে হেরিয়া
valid_sandwip (42).wav,াকিন্তে বেশি যে আরি রাষ্টিীতি কইত্তো নিয়া যা জানি নাইন সরকারি রেহেট আছে না
valid_sandwip (43).wav,ন স্টি িান তিনি ববেরেসটি ভিও করে না ছতাহইিয়ে কয় দাসিকি করনকিয়িছেআর আর বাপপাা করে রাস্টি কইরাি ে তাহননি কি এস্তে ক্যা কইতি অবি আা বিদিন্না এলা নো বুঝে তো আরেকেম্নিরাস্টিি কইরছে তা ি কানি য় কইর্ছে বছি অহত নয়াত ত ইয়া বিয়ে কচ্ছে না তো অনে নাকিদিক তসটি তোমর না বলে নােরাস্টি ি
valid_sandwip (44).wav,অংকা হে তিয়ে করে না করতা হলে বাইরে তো মলা কিন্তু হইদিহক কবে বিরে ক াতইকা োাতাহনে আর বাইরে ওইয়া পরে ত ইয়ে করি দে স্টে  এই দেসকি কর তা আব্বা আম্মা থাইকাতরে সতিি  আব্বা চইলে ওই লালি যা মিলেইচাো পরে আমরাবেএকেকাত্তর ্ছে গ কার সবসমে বাড়িত্তাছু কলা আর বাইে য়াে া চাের দেচ্ছেছে পারের জাগা চচত কসিকচ্তো লাগছে দিনানােনিশন চিছিনে
valid_sandwip (45).wav,তন দেরােোোোপরে নারি তো বাতেিমানে তোোআতে কাাথাকছিোেেআডেেেনা আ্ডে ব্েড়াতে ছে ে টুে এতে তােআেআাে াতচ্তে েছেনােই পতাদুছি করাইড াাতািিিদাািে হ
valid_sandwip (46).wav,আর য়ান েঝাক্লার উপর দি ঘিরেদিনে যে গযাছলাজিে থাকিরোারারেিাঠিকাার পাড়ি ভািিা কযডাকত টা ভাইয় আরো যা বারে া  ছেত ভাবিবার টাকা দিনি
valid_sandwip (47).wav,ই অবস্থা জালের ক্লাসে ইয়া ইয়ার মতোনায়া আবার বেেশি বায় দছলের কি হিয় আবার বেয়াশি বায়া দিশি ইয়ারে যদি অইন্য গোডা আনি বিয়া দিতো এক সপ্তাহ কোনোভাবে ঠিকার মতো য নাই আঙ্গো ঘরে তো বযাগ খালি মানি চলো মানাই চলো এই কারণে
valid_sandwip (48).wav,চলতেছে তবে আঁই বিরক্ত আঁই একদম বিরক্ত আঁইগারে ফোন করি এগলব যে কত কইনা আর একদম দ্যাকতো লাগে আরে এতো হাকলামি যে নাতে গ্রহণযোগ্য লাগে না গ্রহণ যোগ্য লাগে না গিল্লাই এতো হাকলামিও মানুন জা না আঙ্গো এই বয়সি বিয়া অইছে না এতো অবাস্তব অইলে মানুষ চলে না
valid_sandwip (49).wav,জীবন আন্নের বিয়া সাধী অইযেলাগে গলে কিছু বাস্তব মুখি মাইনষের অন লাগে এক্কারে দুইনিয়ার বাদ দিছ অইল্লে এতোএক্েরে বিরক্ত লাগে ক আঙ্গো আঁর ভাই আইলি বাইয়ুর হিসাবে কেউ মানি হেইতেরেই
valid_sandwip (50).wav,ইয়া করে না ব্যাকে ো ছোডো বাই বু হিসেবে কেও দেখে না ব্যাংখে ছোডো বই হিয়ার উগগা বাই নাই আর ভাইলিমে ব্যাকে কইতে কও আমরা আগ তর ভাই আইছলেম ও কতন ভাই খাকলে আমি শাকলা আমি যা করে হেগিন্তু আছে বেড়ার লগে ক্কানা সুন্দর তুন্দর করি চইলবে তোককেলা শান্তির লেকত
valid_sandwip (51).wav,আত্তেই বেশি বিরেক্ত লাগি হিয়ান বেডার লগে দু জিনিস চিকপল চইললে এক সপ্তাহর ঠিক নাই চলে আইবে হিয়ান ই বেডার লগে কতা কনে ঠিক নাই ফোন কইরলে গোবা আ হারাদিন কতা ক মুনে খালি   খাইতে ফইলে অতো খাইতে ফইছে বেডা ফোন গছেরে অতো কি দিখাছ
valid_sandwip (52).wav,আম্নের লায় শান্তি পতা খাইতে মাইততাম লো এইরকম এনি খাজ্জা মারা কথায় এক কইবো অল বেডা হুলিই যাই ভাঙ্গে যাইবো মনো কষ্ট আনে ছে এক এক্কারেও বুঝগেন হইত্তে অবো না তো কি  নে  বু রে তুই আর কে ললানগলি র লগ শনততি হ শিয়াকবো যদি বিশ্বেষ করে না আমি আমার রিজারে নাই
valid_sandwip (53).wav,আই আর যাময় গছিক কম আংগো হাকল ঘর গগা থাকোনে আঁই আংগো হাগলের দেখার ারণে আমি জেনা আইগোর ধরা গেছলেমাল্লাহর কাছে শুকরিয় আই আই ঝামারবাান  বুজেই মাইয়ার একরকম কছে বে যেনা আরে কওয় াআইতে আঁই আরবেরে র উত্তর দিতে পারি নি
valid_sandwip (54).wav,মানে নিজের ভিতরে ইিন্দি ফাচ জা না লাগাদিছে নদি দিনমনে রি লাগা দিছি যিততে নিজে শরম বরম বাখি এরেডা বাঙ্গিয়ার রাইন জামারে বুঝাইতে আছি কইতে আছি আনে আল্লা আংবা হাগলে কইলাম না কত আর বেশি দিস নেই
valid_sandwip (55).wav,আমরা তো আনের মাইনষের নন অন্য অন্যশাইলি মুই কত ইয়া করে আন্ন গিয়ার আনে রাই কইদাম লিইয়ার কাছে এক্কানা ফোন কইরবো না উইয়ার উজ্দারন অন্য অন কতা দিয়াডা আইছেযে কতা  ডা আইছে একদিন হ যাহিদে ফোন করছে যাহিদে ফোন কর এ মোবাইল দইয়া থা নে ঘরে মোবাইলে যানা ত হিয়ারে আই কদিসিয়যারে কুচে ই হত্তোদিন লিয়ার কাছে ফোন করিছ ইড হয়ান গেরে কোপ মানি
valid_sandwip (56).wav,স্পষ্ট কতা জাগার না আঙ্গো আঙ্গো  র আনের আঁই তো কইছি আঁরে এক কথা র আঁর বাড়ি বল করে ব্যাহেরে আং্গো বাড়ি ধরে শান্তি রাইখলে অইছে আঙগো খুঁজক বর লার লাইগতোনা আঙ্গুইরা যে আমরা হেইনে অনন্য প্রশ্ন
valid_sandwip (57).wav,খোঁজলো অনোরে খবর লনোরে নাস্তাগা বানু ইয়্যান করনো আঙগো দেখা শোনা করনে গ কমু আংলেহ তো ইন্টারেস্ট তিন বইরের্তো একবনের ও নাই আমরা ব্যাগ নিজেরগো সংসার লই ব্যাস্ত আননেরা ব্যাগ যা জা যাগাত্ছেটযার কারণে আংগো এই সময়ও নাই
valid_sandwip (58).wav,তোমরা খফোন করি যে হাঁসমিট কতা ককি আমরাও যদি আমলক হাঁসপিট কতা কুমে এ সময় আংগো বাসি যা না না এন্নেময়েন কিয় জামাইয় আইলে হাঁচ মিনিট কথা ঘরে কারা থাক আবার কেন্নে বার অইছে ককুনা দি ওডে যাওয়া আনে ক ন বলা লইয়ার লগে ফোন করিন ত কা বুদ্ধি অনো
valid_sandwip (59).wav,েহডে আইয়েন্নে কইছি আঁই কইছি যি হত্তো যে মানুষের পত্যেকটা মাইনষের দুর্বল জাগা চিনি হে তো রতুই তো চিনবের দরকারওন আগে যেহেতু আঁই তো চাছি আইছিনি আঁই তোরে কই দিছি এ্তে দুর্বল জাগা কি কি জে
valid_sandwip (60).wav,তুই হে হিসাবে ইয়া করবি মাইয়া মাই আর য় ফাতে মারিয়া এগুনের এগুনের লগে কোনও কতা করবি ইয়া করবে এগুনেরে খুব বেশি এইতে রেগিন কম ইয়া জাগা তো আঙগো ইগারে আং এক্কারে এক মিনিট আঙ্গোলেক কতা কইবা
valid_sandwip (61).wav,আল্লাহও কতা অইছে যে আরমোরে মাষ দুই মাস কমো না আঙ্গো মনি এক্সিডেন্ট অইছে যে হেরুন গা একদিন ফোন কচছিলো আর আর মানি এইসুকির লঅইবা আবি আর কোনো ইয়া না কিন্তু বেডাগা ফোন কইরলে ওগগা দেয়া অর ক না ফোন করো হ ররও গনা নননন নষ্ট করা তুই তোর মত থাক
valid_sandwip (62).wav,অন্দর ততোর বেডা খার লগে আরে মাইনষের মাইয়ালিম এই বয়সে মাইয়ালিম তো হলা কগার লগে ফ্রেম কইরল দুইনয়ারি কতাবিক কতা কইরা ইয়া ওযে তালি ইয়া তো তোর আরো বইদ স্বামী এর লগে কতা কইলে তো আরও ভালা
valid_sandwip (63).wav,কতা বেডা ফোন করলি হিয়াএই কতা বনছে ছি তুইছাইল্লা তো কইচারাম মঞ্চাসে একদম বিরক্ত এহন এক্কান কইবো এক্কালি ম্যালা আমারি হালা না আই হিয়ান মনে করি কইলে আরও বালা কিলে কইলে বালা মাইয়ারও আরেক্কানা অভিজ্ঞতা হইলো বা আরেক্কানা বুষ দেতো অইয়া মাইয়া বুজজে শেষটা করবো
valid_sandwip (64).wav,অনে তো মাইয়েরা তোর মামা ক মোবাইল গুলি দিতু ছাইছে ফরিি দিছো জানাইন চম্পা মোবাইলের দরকার নাই মোবাইলে আইজারহে তোনিসয়ার আগে তুবো তোআর মাইমারহে তো ইয়া করে না অনো  জামায়া  ঘরে থাইকলি তোই নাতো ঘরে থানা আইচ্ছা সকাল জন্য আর ফোন দিশি ঘরে নাই তোই কি কএই আংরিয়ে
valid_sandwip (65).wav,কইলাম না বেডারে এক্কেরে আনেল্লাহ বুলি আন খাওয়াতা ফাইরতাম না অনে এই আনেল্লাহ বুলি আয় ঘুমো যাইতা ফাইরতাম নানো শান্তির মতো এরকম কইবো যে এক্কেরে মানি  ঢাকা আঁড়ামারি  কইয়া গেলে আরও বাই এক্কেরে আলাই জেতো এইগিন বা আরে  গুললা আরোর মনে ন   আরেক্কার কছলনা দেক
valid_sandwip (66).wav,আঁইতা একের নহুনন গরি রইছি রাইদগা মাহে বমি ঠুমি পেরবেং বাসালাইছে আঁই চেরে বরিছি মা এট্টা আঁই কোন দজন আছে জামাই আঁর ইয়েরডে জামাই বেদিশ অই গেছিলো না আছ জামাই হানি রেড়ি তি তুলি তালি আইনছে বেরকমকখানা আচার দু
valid_sandwip (67).wav,তো আছারে এক্কানা দিছি তে অল জামাই একবারে এক্কান একবারে এক্কান কম বেশি আচ্ছা শুইতাম গেছি আর কান বারোটা বা জা গেছি আনে সুরা নগতো এহন শুইতাম গেছি এর  য়্ান কইলাছে আগে তু যানা তল মা যানা আঁই এগিন যাই না কিনেরও থাইকতেম না
valid_sandwip (68).wav,যাইদেরে কই হ মাতে না আশে আমনে এতে টেনশন করেন কিল্লা আল্লাহরছে কাাইছে সব হইছে আল্লা রিয়ে জয ক চেষে একে যায় আসু গেছেগা আরগা মহাতরযন সদদি শুদ্দি ভ্াপ লাগে আই খাাই যে বৃষ্টিতে অবির যে
valid_sandwip (69).wav,হই তো চাইরডা আইসে যায় ও রাজু গুনের লগে হারা দিন্তে হেগুনের লগে হেগুনে গুলাগুলা বারগুনি লইযে খবর যাবেন তো অ বিয়েল ফরা আবার আইছে রাুসি না যাইটানু আকেজ সরকুম জেনা অবশ্য আগাম হেগুনের গছ ভাত্তা আস্তেই হেলা দিছি
valid_sandwip (70).wav,আমার শেষে রাখি হুলে অসন্ত রেয বইন আর গুন জানু কিগুলো হাচা নে হিছে ক ইতার না কর ঘুমাইয়া না আর অশান্তি মাছা বেদাস নাকিরি সদ্যি শষ্যে হিয়ারেরে গুডার আর কিলে মোবাইল টিচছে মাইয়া বহযোগি কর মাইয়ে হালা গ গেইছে না মাইয়া সু
valid_sandwip (71).wav,পতিট আর ওর কিন তো ছ কন তুই হিয়ান বুইঝবেনু এেরমু তো বাইয়ে ছ কনো আর গু কি স গুনছা তেিকতো ভাগছে এহনে অ তো মাইনষি ভবিের
valid_sandwip (72).wav,আনেে ত দিছ জেলিরে যা ছুড়িডা ছুদি ইয়া করি দু হয়ালে যেয়া তো অব  কুদা বিয়া ব না আছেরে মাথার কত করে মাা া ছ আছুরে মাথাা এক্কানা তেল দিতে কম ফারে না এন্লা মাথার  না হেলিহ নানি র যে দিলে হর যা দিলে ইয়া করি তোর নাছি ্তাা  ত রকম অইছে আগে কলে হানি মাথার মাইদ্যে এক্কা না হর হেনি দিছ টুল বেক জিন দিছে  ক মুি কলে কছা করা যায় াাাচুক দাহন কা না বেগিন গেছে হছাি
valid_sandwip (73).wav,অন যামারে খানে কু আঁইয়া হইততা না আরে ইয়েলোদি কনা ছাড়ি হিনতে অইবো ঠহরিতো খছিবো কছে সিলা িতো কইছে মানে অব এডে হিনতো হেডা র ররেহিনতু ইয়া ঠিক গেছে অবো নতুন নতুন ক হ্যা এে কেত্রে তাঅন কসি গিমেলে দু এডের লাইন দুইশো সিলে দিতো অনে এডা তো অবা নে এতেরতো কত আইচ্ছা গতু কইয় নো গমগাব দে আইছে যে আঁই  যেবো কন দু গইদিন রেগুন বো গোচাইনে বেগিন তু লেছিছি যাবা
valid_sandwip (74).wav,তো
valid_sandwip (75).wav,ত আঙগা আন্দা কান আন্দার ভাই কানায়গু হেগুন দরগবাইত গেলেম কি গু্ছেআইনছে নারনতেন যাতেকমমাকর
valid_sandwip (76).wav,হেকুন গ বেজা নাআই কৈশুবগ ইয়এস ডিসিতো ইয়ে বাঙ্াতো মানা করছা
valid_sandwip (77).wav,সদাঘোর এম্নের দোয়ানে ইয়োছিনি ডিম আছেনি  ছাইয়া মইদে আছেনি ছানুডুলস আছেনি ছ ডিম কত করি জোরাইস
valid_sandwip (78).wav,এ খালি নিলে কতো হইবো এখালি নিলে
valid_sandwip (79).wav,ক্যালকুলেটার টিবান না একশো পাষট্টি একশো বাষট্টি টাকা একশো বাষট্টি টাকা তো এক দোজন মনে হয় একালি মানি চাইরটা আরকিাআর আইচ্ছা এখন সাতাআইশ টাকা গরি জোরা তালে উগ্গা কত গরি হরে উগগা সাড়ে দেরো টিয়া গরি হরে
valid_sandwip (80).wav,আইচ্ছা এগারো টিয়া করি হারা যাইতো না এগারো টিংয়া কা গারো ডিয়া করিআইচ্ছা তাহইলে তুই আঁরে ডিম দিয়ো খালি আর ইয়ানে
