,word,ipa,cnt
233,সভায়,ʃɔbʱɐe̯,141
234,সামনে,ʃɐmne,140
235,সরকারের,ʃɔɾkɐɾeɾ,140
236,সরকার,ʃɔɾkɐɾ,140
237,রয়েছে,ɾoʲecʰe,140
238,এগিয়ে,egɪʲe,140
239,পারে।,pɐɾe।,139
240,পড়ে,pɔɽe,137
241,তৈরি,t̪oɪ̯ɾɪ,137
242,বিকালে,bɪkɐle,136
243,পাঠানো,pɐtʱɐno,136
244,সাবেক,ʃɐbek,135
245,মেডিকেল,medɪkel,134
246,মানুষের,mɐnuʃeɾ,134
247,বেশ,beʃ,133
248,শেখ,ʃekʰ,132
249,যাওয়ার,ɟɐo̯ʷɐɾ,132
250,অন্য,ɔnno,131
251,শিক্ষক,ʃɪkkʰɔk,130
252,মৃত,mɾɪt̪o,130
253,শুধু,ʃud̪ʱu,129
254,প্রতি,pɾot̪ɪ,129
255,পুলিশ।,pulɪʃ।,129
256,দল,d̪ɔl,129
257,এখনও,ɛkʰono,128
258,হাতে,hɐt̪e,127
259,"জানায়,","ɟɐnɐe̯,",126
260,কারণ,kɐɾon,126
261,দেশে,d̪eʃe,125
262,এটা,etɐ,125
263,ব্যবহার,bɛbohɐɾ,123
264,পালিয়ে,pɐlɪʲe,123
265,দ্বিতীয়,d̪ɪt̪ɪʲo,122
266,আছে।,ɐcʰe।,122
267,মানুষ,mɐnuʃ,121
268,তদন্ত,t̪ɔd̪ont̪o,121
269,হন।,hɔn।,119
270,রেখে,ɾekʰe,119
271,"যায়,","ɟɐe̯,",119
272,গেলে,gele,119
273,গত,gɔt̪o,119
274,আলোচনা,ɐlocɔnɐ,119
275,হত্যা,hot̪t̪ɐ,118
276,যেতে,ɟet̪e,118
277,মামলার,mɐmolɐɾ,118
278,বিভাগের,bɪbʱɐgeɾ,118
279,থাকা,t̪ʰɐkɐ,118
280,এবার,ebɐɾ,118
281,সৃষ্টি,sɾɪʃtɪ,117
282,নানা,nɐnɐ,117
283,ওসি,osɪ,116
284,নিজের,nɪɟeɾ,115
285,থেকেই,t̪ʰekeɪ̯,115
286,ছাড়া,cʰɐɽɐ,114
287,হলেও,holeo̯,113
288,সুযোগ,ʃuɟog,112
289,বিশ্ববিদ্যালয়ের,bɪʃʃobɪd̪d̪ɐlɔʲeɾ,112
290,বিএনপির,bɪe̯npɪɾ,112
291,নেয়ার,neʲɐɾ,112
292,দ্রুত,d̪ɾut̪o,112
293,দায়িত্ব,d̪ɐʲɪt̪t̪o,112
294,থানা,t̪ʰɐnɐ,111
295,জানান।,ɟɐnɐn।,111
296,করলে,koɾle,111
297,হক,hɔk,110
298,সংবাদ,ʃɔŋbɐd̪,110
299,যা,ɟɐ,109
300,পারে,pɐɾe,109
301,পালন,pɐlon,108
302,থাকে।,t̪ʰɐke।,108
303,থাকতে,t̪ʰɐkt̪e,107
304,ক্ষেত্রে,kʰet̪ɾe,107
305,আবার,ɐbɐɾ,106
306,হল,hɔl,105
307,মোহাম্মদ,mohɐmmɔd̪,105
308,বছরের,bɔcʰoɾeɾ,105
309,তারা।,t̪ɐɾɐ।,105
310,স্বাস্থ্য,ʃɐst̪ʰo,104
311,উদ্দিন,ud̪d̪ɪn,104
312,রাখা,ɾɐkʰɐ,103
313,বের,beɾ,103
314,পক্ষে,pokkʰe,103
315,কমিটি,kɔmɪtɪ,103
316,আলম,ɐlom,103
317,আদালত,ɐd̪ɐlɔt̪,103
318,আজ,ɐɟ,103
319,হওয়ায়,hoʷɐe̯,102
320,যুগান্তরকে,ɟugɐnt̪ɔɾke,102
321,মাঠে,mɐtʰe,102
322,বাবা,bɐbɐ,102
323,পানি,pɐnɪ,102
324,হাজার,hɐɟɐɾ,101
325,ভারতের,bʱɐɾt̪eɾ,101
326,থাকায়,t̪ʰɐkɐe̯,101
327,জানানো,ɟɐnɐno,101
328,"হয়,","hɔe̯,",100
329,সিদ্ধান্ত,ʃɪd̪d̪ʱɐnt̪o,100
330,যারা,ɟɐɾɐ,100
331,বাড়ির,bɐɽɪɾ,100
332,নির্বাহী,nɪɾbɐhɪ,100
333,খান,kʰɐn,100
334,যান।,ɟɐn।,99
335,প্রায়,pɾɐe̯,99
336,হামলা,hɐmlɐ,98
337,যাবে।,ɟɐbe।,98
338,করছে,koɾcʰe,98
339,আবেদন,ɐbed̪ɔn,98
340,অভিযান,obʱɪɟɐn,98
341,লীগ,lɪg,97
342,চলছে।,colcʰe।,97
343,আয়োজন,ɐʲoɟon,97
344,সম্ভব,ʃɔmbʱɔb,96
345,গ্রহণ,gɾohon,96
346,অধ্যাপক,od̪d̪ʱɐpok,96
347,প্রধানমন্ত্রী,pɾod̪ʱɐnmont̪ɾɪ,95
348,ড.,d.,95
349,চালিয়ে,cɐlɪʲe,94
350,যদি,ɟod̪ɪ,93
351,মিয়া,mɪʲɐ,93
352,দেখে,d̪ekʰe,93
353,সম্প্রতি,ʃɔmpɾot̪ɪ,92
354,শিক্ষা,ʃɪkkʰɐ,92
355,নির্দেশ,nɪɾd̪eʃ,92
356,তখন,t̪ɔkʰon,92
357,গ্রামে,gɾɐme,92
358,মারা,mɐɾɐ,91
359,বর্তমানে,bɔɾt̪omɐne,91
360,পড়ে।,pɔɽe।,91
361,দিকে,d̪ɪke,91
362,দাফন,d̪ɐpʰon,91
363,চার,cɐɾ,91
364,স্ত্রী,st̪ɾɪ,90
365,পক্ষ,pokkʰo,90
366,ভাই,bʱɐɪ̯,89
367,প্রার্থী,pɾɐɾt̪ʰɪ,89
368,নেতা,net̪ɐ,89
369,জানান,ɟɐnɐn,89
370,ছোট,cʰoto,89
371,স্থানে,st̪ʰɐne,88
372,সংশ্লিষ্ট,ʃɔŋslɪʃto,87
373,যায়নি।,ɟɐʲnɪ।,87
374,মাঝে,mɐɟʱe,87
375,পরিচালনা,poɾɪcɐlonɐ,87
376,দীর্ঘদিন,d̪ɪɾgʱod̪ɪn,87
377,দিয়েছেন।,d̪ɪʲecʰen।,87
378,জেলার,ɟelɐɾ,87
379,"গেছে,","gɛcʰe,",87
380,আসামি,ɐʃɐmɪ,87
381,আদালতের,ɐd̪ɐlɔt̪eɾ,87
382,আগামী,ɐgɐmɪ,87
383,ফিরে,pʰɪɾe,86
384,জানতে,ɟɐnt̪e,86
385,শহরের,ʃɔhoɾeɾ,85
386,মা,mɐ,85
387,বাইরে,bɐɪ̯ɾe,85
388,কাজে,kɐɟe,85
389,উদ্বোধন,ud̪bod̪ʱon,85
390,আসা,ɐʃɐ,85
391,সভাপতিত্ব,ʃɔbʱɐpot̪ɪt̪t̪o,84
392,রাখতে,ɾɐkʰt̪e,84
393,নিজ,nɪɟ,84
394,দিলে,d̪ɪle,84
395,মিয়ার,mɪʲɐɾ,83
396,ভেঙে,bʱeŋe,83
397,পরিস্থিতি,poɾɪst̪ʰɪt̪ɪ,83
398,নির্বাচনে,nɪɾbɐcɔne,83
399,নিরাপত্তা,nɪɾɐpɔt̪t̪ɐ,83
400,করছেন।,koɾcʰen।,83
401,ইউনিয়ন,ɪu̯nɪʲon,83
402,অবস্থান,ɔbost̪ʰɐn,83
403,সবাই,ʃɔbɐɪ,82
404,যেন,ɟeno,82
405,তো,t̪o,82
406,কাছ,kɐcʰ,82
407,একাধিক,ɛkɐd̪ʱɪk,82
408,আবুল,ɐbul,82
409,সমস্যা,ʃɔmoʃʃɐ,81
410,মাদক,mɐd̪ok,81
411,বাংলাদেশে,bɐŋlɐd̪eʃe,81
412,বলেন।,bɔlen।,81
413,ঘটনাস্থলে,gʱɔtonɐst̪ʰɔle,81
414,কয়েক,kɔʲek,81
415,আন্তর্জাতিক,ɐnt̪oɾɟɐt̪ɪk,81
416,অতিরিক্ত,ot̪ɪɾɪkt̪o,81
417,শিশু,ʃɪʃu,80
418,দেখতে,d̪ekʰt̪e,80
419,চিকিৎসা,cɪkɪt̪ʃɐ,80
420,খুব,kʰub,80
421,একটা,ɛktɐ,80
422,মেয়ে,meʲe,79
423,মামলায়,mɐmlɐe̯,79
424,বাসায়,bɐʃɐe̯,79
425,হওয়া,hoʷɐ,78
426,সম্পর্কে,ʃɔmpɔɾke,78
427,পাশে,pɐʃe,78
428,পাঁচ,pɐ̃c,78
429,নারী,nɐɾɪ,78
430,দিয়েছে।,d̪ɪʲecʰe।,78
431,চেয়ে,ceʲe,78
432,গুরুতর,guɾut̪ɔɾo,78
433,কেন্দ্রীয়,kend̪ɾɪʲo,78
434,আলীর,ɐlɪɾ,78
435,যাবে,ɟɐbe,77
436,ব্যাপক,bɛpok,77
437,প্রেসিডেন্ট,pɾesɪdent,77
438,পথে,pɔt̪ʰe,77
439,গুলি,gulɪ,77
440,এসআই,eʃɐɪ̯,77
441,হাসান,hɐsɐn,76
442,বর্তমান,bɔɾt̪omɐn,76
443,আছে,ɐcʰe,76
444,লাখ,lɐkʰ,75
445,মৃত্যু,mɾɪt̪t̪u,75
446,ব্যাংকের,bɛŋkeɾ,75
447,চৌধুরী,cou̯d̪ʱuɾɪ,75
448,গড়ে,goɽe,75
449,কয়েকটি,kɔʲektɪ,75
450,করছেন,koɾcʰen,75
451,স্থানীয়রা,st̪ʰɐnɪʲoɾɐ,74
452,বিএনপি,bɪe̯npɪ,74
453,প্রাথমিক,pɾɐt̪ʰomɪk,74
454,পর্যায়ে,poɾɟɐʲe,74
455,চট্টগ্রাম,cɔttogɾɐm,74
456,এসময়,eʃɔmɔe̯,74
457,এখানে,ekʰɐne,74
458,উত্তর,ut̪t̪oɾ,74
459,বাধা,bɐd̪ʱɐ,73
460,বলতে,bolt̪e,73
461,পৌর,pou̯ɾo,73
462,পরিচালক,poɾɪcɐlok,73
463,ডা.,dɐ.,73
464,জেনারেল,ɟenɐɾel,73
465,ছেড়ে,cʰeɽe,73
466,অভিনয়,obʱɪnɔe̯,73
467,সম্মেলনে,ʃɔmmelone,72
468,রাখেন,ɾɐkʰen,72
469,পরীক্ষা,poɾɪkkʰɐ,72
470,"নয়,","nɔe̯,",72
471,দক্ষিণ,d̪okkʰɪn,72
472,ঠিক,tʰɪk,72
473,উপলক্ষে,upolɔkkʰk,72
474,আসে।,ɐʃe।,72
475,আশা,ɐʃɐ,72
476,আবদুর,ɐbd̪uɾ,72
477,সময়ে,ʃɔmɔʲe,71
478,সবচেয়ে,ʃɔbceʲe,71
479,সদস্যরা,ʃɔd̪oʃʃoɾɐ,71
480,যাওয়া,ɟɐo̯ʷɐ,71
481,ম্যাচ,mɛc,71
482,বাদী,bɐd̪ɪ,71
483,দিয়েছেন,d̪ɪʲecʰen,71
484,দায়ের,d̪ɐʲeɾ,71
485,ঢাকায়,dʱɐkɐe̯,71
486,স্বামী,ʃɐmɪ,70
487,সম্পর্ক,ʃɔmpɔɾko,70
488,সন্ধ্যায়,ʃond̪ʱɐe̯,70
489,শিকার,ʃɪkɐɾ,70
490,রায়,ɾɐe̯,70
491,নিজেদের,nɪɟed̪eɾ,70
492,দেশ,d̪eʃ,70
493,অর্থ,ɔɾt̪ʰo,70
494,সহকারী,ʃɔhokɐɾɪ,69
495,মোবাইল,mobɐɪ̯l,69
496,নির্মাণ,nɪɾmɐn,69
497,কার্যক্রম,kɐɾɟokɾom,69
498,করবেন,koɾben,69
499,উল্লেখ,ullekʰ,69
500,সভাপতিত্বে,ʃɔbʱɐpot̪ɪt̪t̪e,68
501,বেগম,begom,68
502,বিয়ের,bɪʲeɾ,68
503,বিয়ে,bɪʲe,68
504,বাদ,bɐd̪,68
505,নেতৃত্বে,net̪ɾɪt̪t̪e,68
506,কয়েকজন,kɔʲekɟɔn,68
507,কুমার,kumɐɾ,68
508,করায়,kɔɾɐe̯,68
509,সেটা,ʃetɐ,67
510,রাজনৈতিক,ɾɐɟnoɪ̯t̪ɪk,67
511,ম্যাচে,mɛce,67
512,প্রদান,pɾod̪ɐn,67
513,থাকার,t̪ʰɐkɐɾ,67
514,আল,ɐl,67
515,হামলার,hɐmlɐɾ,66
516,সাংবাদিকদের,ʃɐŋbɐd̪ɪkd̪eɾ,66
517,ছয়,cʰɔe̯,66
518,আবু,ɐbu,66
519,অবস্থা,ɔbost̪ʰɐ,66
520,মার্কিন,mɐɾkɪn,65
521,বিচার,bɪcɐɾ,65
522,বাজারে,bɐɟɐɾe,65
523,ফেলে,pʰele,65
524,পুরস্কার,puɾoʃkɐɾ,65
525,পারিবারিক,pɐɾɪbɐɾɪk,65
526,দলীয়,d̪olɪʲo,65
527,চাইলে,cɐɪ̯le,65
528,গভীর,gobʱɪɾ,65
529,করবে।,koɾbe।,65
530,কবরস্থানে,kɔboɾost̪ʰɐne,65
531,অনুযায়ী,onuɟɐʲɪ,65
532,হাসপাতাল,hɐʃpɐt̪ɐl,64
533,স্বীকার,ʃɪkɐɾ,64
534,বিক্রি,bɪkɾɪ,64
535,"না,","nɐ,",64
536,খেলার,kʰɛlɐɾ,64
537,এমনকি,ɛmonkɪ,64
538,ইউপি,ɪu̯pɪ,64
539,বক্তব্যে,bokt̪obbe,63
540,থাকে,t̪ʰɐke,63
541,তাহলে,t̪ɐhole,63
542,জানাজা,ɟɐnɐɟɐ,63
543,জমা,ɟɔmɐ,63
544,অতিথির,ot̪ɪt̪ʰɪɾ,63
545,হয়েছেন।,hoʲecʰen।,62
546,হয়েছিল।,hoʲecʰɪlo।,62
547,হোসেনের,hoseneɾ,62
548,সড়ক,ʃɔɽok,62
549,সবার,ʃɔbɐɾ,62
550,লিখিত,lɪkʰɪt̪o,62
551,যোগাযোগ,ɟogɐɟog,62
552,বিদ্যালয়ের,bɪd̪d̪ɐlɔʲeɾ,62
553,জড়িত,ɟoɽɪt̪o,62
554,গেছে,gɛcʰe,62
555,কেন্দ্র,kend̪ɾo,62
556,এলাকা,elɐkɐ,62
557,রয়েছেন।,ɾoʲecʰen।,61
558,মারধর,mɐɾd̪ʱoɾ,61
559,প্রসঙ্গে,pɾoʃɔŋge,61
560,পরিষদের,poɾɪʃd̪eɾ,61
561,দিনের,d̪ɪneɾ,61
562,জানিয়েছেন,ɟɐnɪʲecʰen,61
563,উন্নয়ন,unnɔʲon,61
564,হন,hɔn,60
565,মধ্য,mod̪d̪ʱo,60
566,ভূমিকা,bʱumɪkɐ,60
567,বৈঠকে,boɪ̯tʰɔke,60
568,বাকি,bɐkɪ,60
569,"বলেছেন,","bolecʰen,",60
570,ঘটনাটি,gʱɔtonɐtɪ,60
571,কমপ্লেক্সে,kɔmplekse,60
572,কম,kɔm,60
573,এরই,eɾɪ,60
574,হুমকি,humkɪ,59
575,সূত্র,ʃut̪ɾo,59
576,পুরো,puɾo,59
577,দেয়,d̪ee̯,59
578,তিনটি,t̪ɪntɪ,59
579,ঢাকার,dʱɐkɐɾ,59
580,ছবি,cʰobɪ,59
581,চিকিৎসক,cɪkɪt̪ʃɔk,59
582,কর্তৃপক্ষ,kɔɾt̪ɾɪpokkʰo,59
583,আমাকে,ɐmɐke,59
584,মেয়র,meʲoɾ,58
585,ব্যবসায়ী,bɛbʃɐʲɪ,58
586,বিচারপতি,bɪcɐɾpot̪ɪ,58
587,বিক্ষোভ,bɪkkʰobʱ,58
588,বাজার,bɐɟɐɾ,58
589,পরিমাণ,poɾɪmɐn,58
590,দাম,d̪ɐm,58
591,জঙ্গি,ɟɔŋgɪ,58
592,খুবই,kʰubɪ,58
593,সারা,ʃɐɾɐ,57
594,সহযোগিতা,ʃɔhoɟogɪt̪ɐ,57
595,সময়ের,ʃɔmɔʲeɾ,57
596,যোগ,ɟog,57
597,যখন,ɟɔkʰon,57
598,মাস,mɐʃ,57
599,মালিক,mɐlɪk,57
600,বিশ্ববিদ্যালয়,bɪʃʃobɪd̪d̪ɐlɔe̯,57
601,ফোন,pʰon,57
602,ধারণা,d̪ʱɐɾonɐ,57
603,ছড়িয়ে,cʰoɽɪʲe,57
604,খেলা,kʰɛlɐ,57
605,কলেজের,kɔleɟeɾ,57
606,করেছি।,koɾecʰɪ।,57
607,আনা,ɐnɐ,57
608,অবৈধ,ɔboɪ̯d̪ʱo,57
609,অন্যান্য,onnɐnno,57
610,যান,ɟɐn,56
611,যাচ্ছে,ɟɐccʰe,56
612,মূল,mul,56
613,বিশ্বের,bɪʃʃeɾ,56
614,বলেও,boleo̯,56
615,পড়েছে।,poɽecʰe।,56
616,প্রেস,pɾes,56
617,প্রতিষ্ঠান,pɾot̪ɪʃtʱɐn,56
618,চালায়।,cɐlɐe̯।,56
619,চলাচল,cɔlɐcɔl,56
620,চরম,cɔɾom,56
621,ইসলামের,ɪslɐmeɾ,56
622,আসতে,ɐʃt̪e,56
623,আগেই,ɐgeɪ,56
624,হাসপাতালের,hɐʃpɐt̪ɐleɾ,55
625,স্কুল,skul,55
626,সিটি,sɪtɪ,55
627,সংক্রান্ত,ʃɔŋkɾɐnt̪o,55
628,যার,ɟɐɾ,55
629,বিপক্ষে,bɪpɔkkʰe,55
630,পাওয়ার,pɐo̯ʷɐɾ,55
631,নেন।,nen।,55
632,নিহতের,nɪhot̪eɾ,55
633,ছাত্রলীগের,cʰɐt̪ɾolɪgeɾ,55
634,কর্মসূচি,kɔɾmoʃucɪ,55
635,আদেশ,ɐd̪eʃ,55
636,বিষয়,bɪʃɔe̯,54
637,পার্টির,pɐɾtɪɾ,54
638,টাকার,tɐkɐɾ,54
639,ঘরের,gʱɔɾeɾ,54
640,গঠন,gɔtʰon,54
641,খালেদা,kʰɐled̪ɐ,54
642,কাজের,kɐɟeɾ,54
643,অ্যাডভোকেট,ɛdvoket,54
644,সংসদ,ʃɔŋʃɔd̪,53
645,যাতে,ɟɐt̪e,53
646,মডেল,mɔdel,53
647,ভেতরে,bʱet̪oɾe,53
648,বিদ্যুৎ,bɪd̪d̪ut̪,53
649,দিয়েছে,d̪ɪʲecʰe,53
650,কোচ,koc,53
651,এলাকাবাসী,elɐkɐbɐʃɪ,53
652,একপর্যায়ে,ɛkpoɾɟɐʲe,53
653,অপর,ɔpɔɾ,53
654,সূত্রে,ʃut̪ɾe,52
655,সবাইকে,ʃɔbɐɪ̯ke,52
656,শত,ʃɔt̪o,52
657,পরিবার,poɾɪbɐɾ,52
658,নামের,nɐmeɾ,52
659,ঘরে,gʱɔɾe,52
660,কী,kɪ,52
661,কার্যালয়ে,kɐɾɟɐlɔʲe,52
662,এদের,ed̪eɾ,52
663,এজন্য,eɟonno,52
664,উদ্যোগ,ud̪d̪og,52
665,আহমেদ,ɐhomed̪,52
666,আগুন,ɐgun,52
667,আইনজীবী,ɐɪ̯nɟɪbɪ,52
668,আইন,ɐɪ̯n,52
669,হাত,hɐt̪,51
670,সিনিয়র,sɪnɪʲoɾ,51
671,সভা,ʃɔbʱɐ,51
672,সচিব,ʃocɪb,51
673,ভোট,bʱot,51
674,প্রশাসনের,pɾoʃɐʃoneɾ,51
