,Inflected_Word,Valid,Lemma_Correct,Lemma_Predict
45,অতিপারমাণবিক,Y,অতিপারমাণবিক,অতিপারমাণ
46,অতিরঞ্জিততা,Y,অতিরঞ্জিত,অতিরঞ্জিত
47,অতিরিক্তমাত্রায়,Y,অতিরিক্ত,অতিরিক্ত
48,অতিশৌখিনতা,Y,অতিশৌখিন,অতিশৌখিন
49,অত্বকছেদী,Y,অত্বকছেদী,অত্বক
50,অত্যাবশ্যকভাবে,Y,অত্যাবশ্যক,অত্যাবশ্য
51,অথইকে,Y,অথই,অথই
52,অদখলিকৃত,Y,অদখল,অদখলি
53,অদুরে,Y,অদুর,অদুর
54,অদূরদৃষ্টি,Y,অদূরদৃষ্টি,অদূরদৃষ্ট
55,অদেয়,Y,অদেয়,অদ
56,অদ্ভুতস্বভাব,Y,অদ্ভুতস্বভাব,অদ্ভুতস্ব
57,অধঃপেতে,Y,অধঃপেত,অধঃপে
58,অধিকরণিক,Y,অধিকরণ,অধিক
59,অধিকাংশগুলির,Y,অধিকাংশ,অধিকাংশ
60,অধিকারক,Y,অধিকারক,অধিকার
61,অধিকারেরর,Y,অধিকার,অধিকার
62,অধিগ্রহণের,Y,অধিগ্রহণ,অধিগ্রহণ
63,অধিভুক্তির,Y,অধিভুক্ত,অধিভুক্তি
64,অধীনস্তদের,Y,অধীনস্ত,অধীন
65,অধীস্থিত,Y,অধীস্থিত,অধীস্থন
66,অধ্যাপকদে,Y,অধ্যাপক,অধ্যাপক
67,অধ্যাপকে,Y,অধ্যাপক,অধ্যাপ
68,অধ্যাপনায়,Y,অধ্যাপনা,অধ্যাপনা
69,অধ্যায়গুলির,Y,অধ্যায়,অধ্যায়
70,অনতিদুরে,Y,অনতিদুর,অনতি
71,অনন্তবিজয়,Y,অনন্তবিজয়,অনন্তবি
72,অনন্তশয়ন,Y,অনন্তশয়ন,অনন্তশয়ত
73,অনবায়যোগ্য,Y,অনবায়যোগ্য,অনবায়
74,অনভিগম্য,Y,অনভিগম্য,অনভিগভ্য
75,অনমনীয়তার,Y,অনমনীয়,অনমনীয়তা
76,অনাকীয়দের,Y,অনাকীয়,অনাকীয়
77,অনাত্মবাদী,Y,অনাত্মবাদী,অনাত্ম
78,অনিষ্টকারক,Y,অনিষ্টকারক,অনিষ্ট
79,অনীষিফর,Y,অনীষিফর,অনীষিফ
80,অনুগতা,Y,অনুগত,অনুগতি
81,অনুগ্রহদাতা,Y,অনুগ্রহদাতা,অনুগ্রহ
82,অনুচরহীন,Y,অনুচরহীন,অনুচর
83,অনুজ্ঞাধারী,Y,অনুজ্ঞা,অনুজ্ঞা
84,অনুজ্ঞাসহ,Y,অনুজ্ঞা,অনুজ্ঞা
85,অনুদারচিত্ত,Y,অনুদারচিও,অনুদারচন
86,অনুধাবনগুলিকে,Y,অনুধাবন,অনুধা
87,অনুপ্রেরণা,Y,অনুপ্রেরণা,অনুপ্রমণা
88,অনুবিধিসমূহ,Y,অনুবিধি,অনুবিধি
89,অনুভুতিকেও,Y,অনুভুতি,অনুভুতি
90,অনুভূতিতেই,Y,অনুভূতি,অনুভূতি
91,অনুভূতিহীনতা,Y,অনুভূতিহীন,অনুভূতি
92,অনুমোদনপ্রাপ্ত,Y,অনুমোদন,অনুমোদন
93,অনুমোদনযোগ্যতা,Y,অনুমোদন,অনুমোদন
94,অনুরক্তিতে,Y,অনুরক্তি,অনুরক্তি
95,অনুরাগপ্রবণ,Y,অনুরাগ,অনুরাগ
96,অনুরোধক্রমে,Y,অনুরোধ,অনুরোধ
97,অনুল্লিখিত,Y,অনুল্লিখিত,অলুল্লিখ
98,অনুষ্টানিকভাবে,Y,অনুষ্টান,অনুষ্ট
99,অনুষ্ঠানমালা,Y,অনুষ্ঠান,অনুষ্ঠান
100,অনুসন্ধানপূর্বক,Y,অনুসন্ধান,অনুসন্ধান
101,অনুসন্ধানসাপেক্ষ,Y,অনুসন্ধান,অনুসন্ধান
102,অনুসরণকারীর,Y,অনুসরণ,অনুসরণ
103,অনুসারিদের,Y,অনুসারি,অনুসারি
104,অনৃতবাদী,Y,অনৃতবাদী,অনৃত
105,অনেকক্ষন,Y,অনেকক্ষন,অনেক্ষ
106,অনেকগুণ,Y,অনেক,অনেক
107,অনেকগুলারে,Y,অনেক,অনেক
108,অনেকগুলিকে,Y,অনেক,অনেক
109,অন্ডাল,Y,অন্ডাল,অন্ড
110,অন্ডালে,Y,অন্ডাল,অন্ডাল
111,অন্তদৃষ্টির,Y,অন্তদৃষ্টি,অন্তদৃষ্টি
112,অন্তরআত্নার,Y,অন্তরআত্না,অন্তরআত্না
113,অন্তরঙ্গতাই,Y,অন্তরঙ্গ,অন্তরঙ্গ
114,অন্তরঙ্গভাবেই,Y,অন্তরঙ্গ,অন্তরঙ্গ
115,অন্তরঙ্গরূপে,Y,অন্তরঙ্গ,অন্তরঙ্গ
116,অন্তরায়স্বরূপ,Y,অন্তরায়,অন্তরায়
117,অন্তরিক্ষে,Y,অন্তরিক্ষ,অন্তরিক্ষ
118,অন্তরীকরণযোগ্যতা,Y,অন্তরীকরণ,অন্তরীকরণ
119,অন্তরীপ,Y,অন্তরীপ,অন্তর
120,অন্তরেও,Y,অন্তর,অন্তর
121,অন্তর্কোন্দলে,Y,অন্তর্কোন্দল,অন্তর্কোন্দ
122,অন্তসত্তার,Y,অন্তসত্তা,অন্তসত্তা
123,অন্দরমহলটি,Y,অন্দরমহল,অন্দর
124,অন্ধ্রপ্রদেশে,Y,অন্ধ্রপ্রদেশ,অন্ধ্রপ্রদেশ
125,অন্নপূর্ণামূর্তি,Y,অন্নপূর্ণামূর্তি,অন্নপূর্ণা
126,অন্বয়জ্ঞ,Y,অন্বয়জ্ঞ,অন্বয়
127,অন্যগুলি,Y,অন্য,অন্য
128,অন্যতমও,Y,অন্যতম,অন্যত
129,অন্যত্রের,Y,অন্যত্র,অন্যত্র
130,অন্যদেশ,Y,অন্যদেশ,অন্য
131,অন্যসবার,Y,অন্যসব,অন্যসবা
132,অপটিক্যাল,Y,অপটিক্যাল,অপটি
133,অপটিক্সে,Y,অপটিক্স,অপটি
134,অপবিত্রের,Y,অপবিত্র,অপবিত্র
135,অপমানপূর্ণতা,Y,অপমান,অপমান
136,অপরাগতা,Y,অপরাগতা,অপরাগমা
137,অপরাজিতভাবে,Y,অপরাজিত,অপরাজিত
138,অপরাধগুলিকেও,Y,অপরাধ,অপরাধ
139,অপরাধতত্ত্বের,Y,অপরাধতত্ত্ব,অপরাধত্ত্র
140,অপরাধমুলক,Y,অপরাধ,অপরাধ
141,অপরিবর্তনীয়রূপে,Y,অপরিবর্তন,অপরিবর্তন্র
142,অপলকা,Y,অপলকা,অপল
143,অপলাপঅপহ্নব,ন,অপলাপি,অপলাপি
144,অপহ্নব,Y,অপহ্নব,অপহ্ন
145,অপারেন্ডে,Y,অপারেন্ড,অপারেন্ড
146,অপিওয়েডসএবং,Y,অপিওয়েডস,অপিওয়েড
147,অপুষ্যি,Y,অপুষ্য,অপুষ্য
148,অপৃথকীকৃত,Y,অপৃথক,অপৃথ
149,অপ্রতিকরণীয়,Y,অপ্রতিকরণ,অপ্রতি
150,অপ্রদর্শিত,Y,অপ্রদর্শন,অপ্রদর
151,অপ্রশংসিত,Y,অপ্রশংসা,অপ্রশংসন
152,অফে,Y,অফ,অফ
153,অবকাঠামোভিত্তিক,Y,অবকাঠামো,অবকাঠা
154,অবমূল্যায়ণপ্রবণ,Y,অবমূল্যায়ণ,অব
155,অবশিষ্টাংশদেরও,Y,অবশিষ্টাংশ,অবশিষ্টাংশ
156,অবসন্নভাবে,Y,অবসন্ন,অবসন্ন
157,অবসরকক্ষ,Y,অবসরকক্ষ,অবসর
158,অবসরপ্রাপ্তির,Y,অবসর,অবসরপ্রা
159,অবস্তার,Y,অবস্তা,অবস্তা
160,অবস্থাসকল,Y,অবস্থা,অবস্থাস
161,অবহেলাকরা,Y,অবহেলা,অবহেলা
162,অবাধ্যের,Y,অবাধ্য,অবাধ্য
163,অবিকার্যভাবে,Y,অবিকার্য,অবিকার্য
164,অবিদ্যাকেই,Y,অবিদ্যা,অবিদ্যা
165,অবোধদিগকে,Y,অবোধ,অবোধদি
166,অবরোধ,Y,অবরোধ,গুোরোধ
167,অব্নেরের,Y,অব্ন,অব্ন
168,অব্যবধানকারী,Y,অব্যবধান,অব্যবধান
169,অব্যাহতিজনিত,Y,অব্যাহতি,অব্যাহতিজন
170,অব্রাহামও,Y,অব্রাহাম,অব্রাহাম
171,অভঙ্গুরতত্ত্বের,Y,অভঙ্গুরতত্ত্ব,অভঙ্গুরত
172,অভাবটাই,Y,অভাব,অভাব
173,অভিনয়শিল্পীগণ,Y,অভিনয়শিল্পী,অভিনয়শিল্পী
174,অভিব্যক্তিমূলক,Y,অভিব্যক্ত,অভিব্যক্ত
175,অভিব্যাক্তিকে,Y,অভিব্যক্ত,অভিব্যাক্তি
176,অভিমতটি,Y,অভিমত,অভিমত
177,অভিযাত্রিগণ,Y,অভিযাত্রি,অভিযাত্রি
178,অভিযানেপয়েন্টে,Y,অভিযানেপয়েন্ট,অভিযানেপয়েন্ট
179,অভিলেখটি,Y,অভিলেখ,অভিলেখ
180,অভিলেখসমূহের,Y,অভিলেখ,অভিলেখ
181,অভিশাপগুলির,Y,অভিশাপ,অভিশাপ
182,অভিষেককরা,Y,অভিষেক,অভিষেক
183,অভ্যন্তরভাগও,Y,অভ্যন্তর,অভ্যন্তর
184,অভ্যর্থনাকারীরা,Y,অভ্যর্থনা,অভ্যর্থনা
185,অভ্যূত্থানটি,Y,অভ্যূত্থান,অভ্যূত্থান
186,অমানবিকতাকে,Y,অমানবিক,অমানবিক
187,অমার্জিতরুচি,Y,অমার্জিতরুচি,অমার্জিত্ুচি
188,অমালেকীয়েরা,Y,অমালেকী,অমালেকীয়
189,অমৃতভাষী,Y,অমৃতভাষী,অমৃতভাষ
190,অম্নরব,Y,অম্নরব,অম্নর
191,অম্বলে,Y,অম্বল,অম্বল
192,অম্মি,Y,অম্মি,ম্্মি
193,অরফিজম,Y,অরফিজম,অরফিজ
194,অরলিয়েন্সের,Y,অরলিয়েন্স,অরলিয়েন্স
195,অরাডেলের,Y,অরাডেল,অরাডেল
196,অরামে,Y,অরাম,অরাম
197,অরিয়েন্টেশনগুল,Y,অরিয়েন্টেশন,অরিয়েন্টেশন
198,অরুঠা,Y,অরুঠা,র্ুঠা
199,অরুনচল,Y,অরুনচল,অরুন
200,অর্গানাইজেশনের,Y,অর্গানাইজেশন,অর্গানাইজেশন
201,অর্থগ্রহণ,Y,অর্থগ্রহণ,অর্থ
202,অর্থডক্সদের,Y,অর্থডক্স,অর্থড
203,অর্থনাশ,Y,অর্থনাশ,অর্থ
204,অর্থনীতিসংক্রান্ত,Y,অর্থনীতি,অর্থনীতি
205,অর্থপ্রতিষ্ঠানগুলি,Y,অর্থপ্রতিষ্ঠান,অর্থপ্র
206,অর্থায়নকে,Y,অর্থায়ন,অর্থায়ন
207,অর্বুদযুক্ত,Y,অর্বুদ,অর্বুদ
208,অলংকরণাদির,Y,অলংকরণ,অলংকরণা
209,অলচিক,Y,অলচিক,চল্চক
210,অলিম্পিকেররাজনীতির,Y,অলিম্পিকেররাজনীতি,অলিম্পিকের্া
211,অলিম্পিক্সের,Y,অলিম্পিক্স,অলিম্পিক্স
212,অল্পপরিমাণে,Y,অল্পপরিমাণ,অল্পাবিমাণ
213,অল্পপরিমাণে,Y,অল্পপরিমাণ,অল্প
214,অশ্বচালনা,Y,অশ্বচালনা,অশ্ব
215,অশ্রুজলের,Y,অশ্রুজল,অশ্রুজল
216,অশ্রুবর্ষণ,Y,অশ্রুবর্ষণ,অশ্রু
217,অসদাচার,Y,অসদাচার,অসদাচাত
218,অসদুপায়ের,Y,অসদুপায়,অসদুপায়
219,অসনে,Y,অসন,অসন
220,অসম্মানকারী,Y,অসম্মান,অসম্মান
221,অসলারের,Y,অসলার,অসলার
222,অসদাচার,Y,অসদাচার,অসাদাচা
223,অসাধারণরূপে,Y,অসাধারণ,অসাধারণ
224,অসামরিকীকৃত,Y,অসামরিক,অসামরি
225,অসাম্যও,Y,অসাম্য,অসাম্য
226,অসাড়করণ,Y,অসাড়,অসাড়
227,অসাড়তাপূর্ণ,Y,অসাড়,অসাড়তা
228,অস্ট্রালোপিথেকাসের,Y,অস্ট্রালোপিথেকাস,অস্ট্রালোপিথেকাস্র
229,অস্ট্রিয়ানদের,Y,অস্ট্রিয়ান,অস্ট্রিয়ান
230,অস্ট্রেলিয়াে,Y,অস্ট্রেলিয়া,অস্ট্রেলিয়া
231,অস্ত্বিতের,Y,অস্ত্বিত,অস্ত্বিত
232,অস্ত্রটা,Y,অস্ত্র,অস্ত্র
233,অস্ত্রশস্ত্রকেও,Y,অস্ত্রশস্ত্র,অস্ত্র
234,অস্ত্রোপচারকারী,Y,অস্ত্রোপচার,অস্ত্রোপচার
235,অস্ত্রোপচারে,Y,অস্ত্রোপচার,অস্ত্রোপচার
236,অস্থিকে,Y,অস্থি,অস্থি
237,অস্থিফলক,Y,অস্থিফলক,অস্থিফল
238,অস্বিত্বের,Y,অস্বিত্ব,অস্বিত্ব
239,অস্বীকারমূলক,Y,অস্বীকার,অস্বীকার
240,অস্বীকারের,Y,অস্বীকার,অস্বীকার
241,অসৎকল্পিত,Y,অসৎকল্প,অসৎকল্পাত
242,অহংকারীভাবে,Y,অহংকার,অহংকার
243,অহংবোধকে,Y,অহংবোধ,অহংবোধ
244,অহমীয়রা,Y,অহমীয়,অহমীয়
245,অহিচছাত্রায়,ন,অহিচছাত্রা,অহিচছাত্রা
246,অহিতেচ্ছু,Y,অহিত,ইহিতেচ্ছু
247,অভিযোগের,Y,অভিযোগ,অ্ভিযোগ
248,অ্যাওয়ার্ডসের,Y,অ্যাওয়ার্ডস,অ্যাওয়ার্ডস
249,অ্যাকউন্টও,Y,অ্যাকউন্ট,অ্যাকউন্ট
250,অ্যাকাডেমিয়ার,Y,অ্যাকাডেমিয়া,অ্যাকাডেমিয়া
251,অ্যাকুয়াটিক,Y,অ্যাকুয়াটিক,অ্যাকুয়
252,অ্যাক্টিভিজম,Y,অ্যাক্টিভিজম,অ্যাক্টিভিজ
253,অ্যাক্রোবেটিক,Y,অ্যাক্রোবেটিক,অ্যাক্রোবেটি
254,অ্যাথলেটিকদের,Y,অ্যাথলেটিক,অ্যাথলেটিক
255,অ্যানও,Y,অ্যানও,অ্যান
256,অ্যানার্নিয়ার,Y,অ্যানার্নিয়ার,অ্যানার্নিয়া
257,অ্যানিমারিও,Y,অ্যানিমারিও,অ্যানিমারি
258,অ্যানিমেশনে,Y,অ্যানিমেশন,অ্যানি
259,অ্যানোনিমাসের,Y,অ্যানোনিমাস,অ্যানোনিমাস
260,অ্যান্টিফেমিনিস্টরা,Y,অ্যান্টিফেমিনিস্ট,অ্যান্টিফেমিনিস্টিম
261,অ্যান্ড্রয়েট,Y,অ্যান্ড্রয়েট,অ্যান্ড্রয়
262,অ্যান্ড্রয়েসমূহের,Y,অ্যান্ড্রয়,অ্যান্ড্রয়েস
263,অ্যাপলিকেশনটি,Y,অ্যাপলিকেশন,অ্যাপলিকেশন
264,অ্যাপোমরফিন,Y,অ্যাপোমরফিন,অ্যাপোমর
265,অ্যাপ্রোনের,Y,অ্যাপ্রোন,অ্যাপ্রোন
266,অ্যাপ্লিকেশনগুলি,Y,অ্যাপ্লিকেশন,অ্যাপ্লিকেশন
267,অ্যাবার্নেথির,Y,অ্যাবার্নেথি,অ্যাবার্ন
268,অ্যাভেঞ্জারদের,Y,অ্যাভেঞ্জার,অ্যাভেঞ্জার
269,অ্যাম্ব্রোইজ,Y,অ্যাম্ব্রোইজ,অ্যাম্ব্রো
270,অ্যালকটকে,Y,অ্যালকট,অ্যালক
271,অ্যালার্জিতে,Y,অ্যালার্জি,অ্যালার্জি
272,অ্যালির,Y,অ্যালি,অ্যালি
273,অ্যালে,Y,অ্যাল,অ্যাল
274,অ্যালোনসোদামিয়েন,Y,অ্যালোনসোদামিয়েন,অ্যালোনসোদামিয়
275,অ্যাসপারাজাইন,Y,অ্যাসপারাজাইন,অ্যাস
276,অ্যাসেম্ব্লিজ,Y,অ্যাসেম্ব্লি,অ্যাসেম্ব্লি
277,অ্যাসোসিয়েটসের,Y,অ্যাসোসিয়েটস,অ্যাসোসিয়েটস
278,অ্যাস্টেয়ারের,Y,অ্যাস্টেয়ার,অ্যাস্টেয়ার
279,আঁকাআঁকির,Y,আঁকাআঁকি,আঁকা
280,আঁকুতিতে,Y,আঁকুতি,আঁকুতি
281,আঁটকে,Y,আঁটক,আঁট
282,আঁটাও,Y,আঁটা,আঁটা
283,আঁতোয়া,Y,আঁতোয়া,আঁতা
284,আঁতোয়ানেৎ,Y,আঁতোয়ানেৎ,আঁতোয়ান
285,আইঅ্যাটএফআলীঃ,ন,আইঅ্যাটএফালী,আইঅ্যাটএফালী
286,আইআরপিটির,Y,আইআরপিটি,আইআরপি
287,আইএইচডির,Y,আইএইচডি,আইএইচডি
288,আইএনডিআগ্রুভ,ন,আইএন,আইএন
289,আইএমডিবিতে,Y,আইএমডিবি,আইএমডিবিত
290,আইএসআইকে,Y,আইএসআই,আইএসপই
291,আইএসপিআরের,Y,আইএসপিআর,আইএসপিআরে
292,আইওয়াইডি,Y,আইওয়াইডি,আইওয়া
293,আইক্লাউডের,Y,আইক্লাউড,আইক্লাউড
294,আইগ্যাগের,Y,আইগ্যাগ,আইগ্যাগ
295,আইজাকসের,Y,আইজাকস,আইজা
296,আইজাফজালাজকুল,Y,আইজাফজালাজকুল,আইজাফজালাজ
297,আইজিএলকে,Y,আইজিএল,আইজিএল
298,আইটিইর,Y,আইটিই,আইটি
299,আইডিতে,Y,আইডি,আইডি
300,আইডিভার,Y,আইডিভার,আইডিভা
301,ওইদিনে,Y,ওইদিন,আইদিন
302,আইনও,Y,আইন,আইন
303,আইনজীবীটিকে,Y,আইনজীবী,আইনজীবীটি
304,আইনপরিবর্তন,Y,আইনপরিবর্তন,আইনপর্বর্তন
305,আইনব্যবসায়ী,Y,আইনব্যবসায়ী,আইন
306,আইনাদির,Y,আইন,আইনি
307,আইবেরীয়,Y,আইবেরী,আইবের
308,আইশেয়ারে,Y,আইশেয়ার,আইশেয়ার
309,আইসিআইসিআইয়ের,Y,আইসিআইসিআই,আইসিআইসিআই
310,আইসিসের,Y,আইসিস,আইসিস
311,আইসোলেটসমূহের,Y,আইসোলেট,আইসোলেট
312,আউনের,Y,আউন,আউন
313,আউশের,Y,আউশ,আউশ
314,আওয়ামের,Y,আওয়াম,আওয়াম
315,আকলিমুন্নেসা,Y,আকলিমুন্নেসা,আকলিমুন্ন
316,আকাঙ্ক্ষাগুলি,Y,আকাঙ্ক্ষা,আকাঙ্ক্ষা
317,আকাঙ্খাগুলো,Y,আকাঙ্খা,আকাঙ্খা
318,আকানাটো,Y,আকানাটো,আকানা
319,আকারগুলোয়,Y,আকার,আকার
320,আকাশরাণীর,Y,আকাশরাণী,আকাশরাণী
321,আকোস্তার,Y,আকোস্তা,আকোস্তা
322,আক্রমণাক্তভঙ্গিতে,Y,আক্রমণাক্তভঙ্গি,আক্র
323,আখ্যাও,Y,আখ্যা,আখ্যা
324,আগনে,Y,আগন,আগন
325,আগলাবার,Y,আগলানো,আগলা
326,আগলিয়ে,Y,আগলানো,আগলিয়
327,আগাছামুক্ত,Y,আগাছামুক্ত,আগাছা
328,আগামদাসের,Y,আগামদাস,আগামদাস
329,আগেরই,Y,আগে,আগে
330,আগ্নেয়াস্ত্রগুলির,Y,আগ্নেয়াস্ত্র,আগ্নেয়াস্ত্র
331,আগ্রহতে,Y,আগ্রহ,আগ্রহ
332,আগ্রহপত্র,Y,আগ্রহপত্র,আগ্রহ
333,আগ্রাসক,Y,আগ্রাসক,আগ্রাস
334,আগ্রাসনও,Y,আগ্রাসন,আগ্রাসন
335,আঘাতটার,Y,আঘাত,আঘাত
336,আঘাতটিতে,Y,আঘাত,আঘাত
337,আঙ্করভাট,Y,আঙ্করভাট,আঙ্কর
338,আঙ্গিরসপুরাণ,Y,আঙ্গিরসপুরাণ,আঙ্গির
339,আঙ্গিলা,Y,আঙ্গিলা,আঙ্গিল
340,আচরণই,Y,আচরণ,আচরণ
341,আচরণানুসারে,Y,আচরণ,আচরণানু
342,আচ্ছা,Y,আচ্ছা,চ
343,আজদাবাইয়া,Y,আজদাবাইয়া,আজদাবাই
344,আজপাতালরেলেএকজনমানুষআমার,ন,আজপাতালরেলেএ,আজপাতালরেলেএ
345,আজরুতে,Y,আজরু,আজরু
346,আজারবাইজানিতে,Y,আজারবাইজান,আজারবাই
347,আজারবাইজানীয়দের,Y,আজারবাইজানীয়,আজারবাইজানীয়
348,আজিজাসামি,Y,আজিজাসামি,আজিজা
349,আজ্ঞাকে,Y,আজ্ঞা,আজ্ঞা
350,আজ্নর,Y,আজ্নর,আজ্ন
351,আজ্রাওতে,Y,আজ্রাও,আজ্রাও
352,আটচালা,Y,আটচালা,আলচালা
353,আটলান্টিকে,Y,আটলান্টিক,আটলান্টিক
354,আটাযুক্ত,Y,আটা,আটা
355,আঠাসহ,Y,আঠা,আঠা
356,আডেনের,Y,আডেন,আডেনে
357,আডেলসনের,Y,আডেলসন,আডেলসন
358,আতঙ্কস্বরুপ,Y,আতঙ্ক,আতঙ্ক
359,আতঙ্কিতভীতিবিহ্বল,Y,আতঙ্ক,আতঙ্কিত্র
360,আতীকুল্লাহ্,Y,আতীকুল্লাহ্,আতীকুল্লাহ্ল
361,আত্তিয়াকে,Y,আত্তিয়া,আত্তিয়
362,আত্নসমর্পণকারী,Y,আত্নসমর্পণ,আত্ন
363,আত্মজ্ঞামবাদ,Y,আত্মজ্ঞাম,আত্মজ্ঞা
364,আত্মনিয়োজনও,Y,আত্মনিয়োজন,আত্মনিয়োজন
365,আত্মপ্রকাশকালে,Y,আত্মপ্রকাশ,আত্মপ্রকাশ
366,আত্মর্যাদাবোধের,Y,আত্মর্যাদাবোধ,আত্মর্যাদাবোধ
367,আত্মসমর্পণকে,Y,আত্মসমর্পণ,আত্মসমর্পণ
368,আত্মসম্মানবোধের,Y,আত্মসম্মানবোধ,আত্মসম্মান
369,আত্মহননকারীর,Y,আত্মহনন,আত্মহন
370,আত্মীকরনের,Y,আত্মীকরন,আত্মীকরন
371,আত্মীয়স্বজনদেরকে,Y,আত্মীয়স্বজন,আত্মীয়
372,আত্মোন্নয়নের,Y,আত্মোন্নয়ন,আত্মোন্নয়ন
373,আদকপালে,Y,আদকপাল,আদকপাল
374,আদিবাসিদের,Y,আদিবাসি,আদবাসি
375,আদমও,Y,আদম,আদম
376,আদমশুমারের,Y,আদমশুমার,আদমশুমার
377,আদানপ্রদানগুলির,Y,আদানপ্রদান,আদানপ্রদান
378,আদালতভবন,Y,আদালতভবন,আদালত
379,আদায়কারীতে,Y,আদায়,আদায়
380,আদিগুরু,Y,আদিগুরু,আদি
381,আদিতমারী,Y,আদিতমারী,আদিত
382,আদিত্ববর্মণ,Y,আদিত্ববর্মণ,আদিত্ব
383,আদিবাসিদের,Y,আদিবাসি,আদিবাসি
384,আদিমতম,Y,আদিম,আদিমতি
385,আদিরূপের,Y,আদিরূপ,আদিরূপ
386,আদেশনামায়,Y,আদেশনামা,আদেশনামা
387,আদ্যাশক্তি,Y,আদ্যাশক্তি,আদ্যাশ
388,আধকোটিরও,Y,আধকোটি,আধকোটি
389,আধাঘণ্টার,Y,আধাঘণ্টা,আধাঘণ্টা
390,আধিকারক,Y,আধিকারক,আধিকার
391,আধিপত্যগুলির,Y,আধিপত্য,আধিপত্য
392,আধিপত্যের,Y,আধিপত্য,আধিপাত্য
393,আধুনিকবাদী,Y,আধুনিকবাদী,আধুনিক
394,আধুনিকমনা,Y,আধুনিকমনা,আধুনিক
395,আধুনিকী,Y,আধুনিক,আধুনিক
396,আনন্দকুঠি,Y,আনন্দকুঠি,আনন্দ
397,আনন্দপূর্ণভাবে,Y,আনন্দ,আনন্দপূর্ণ
398,আনন্দিতও,Y,আনন্দ,আনন্দিত
399,আনফরগিভেন,Y,আনফরগিভেন,আনফরগিভ
400,আনব্রোকেন,Y,আনব্রোকেন,আনব্রোক
401,আনাইতারা,Y,আনাইতারা,আনা
402,আনাসে,Y,আনাসে,আনাস
403,আনুষ্ঠানিকতায়ও,Y,আনুষ্ঠানিক,আনুষ্ঠানিক
404,আনোয়ারায়,Y,আনোয়ারা,আনোয়ারা
405,আন্ডারলেচের,Y,আন্ডারলেচ,আন্ডারলেচ
406,আন্ডারস্কোর,Y,আন্ডারস্কোর,আন্ডার
407,আন্ডেটিয়াবেল,Y,আন্ডেটিয়াবেল,আন্ডেটিয়াব
