,path,sentence,audio_length,wer_wav2vec
21,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1535).wav,কিন্তু যারা তোর ফড়াশুনার দিক থাকি এখটু সরিয়া আছে তারা এই জিনিসটা বুঝতো ছায় না এখন এমন এখটা গার্ডিয়ান আছে যে তোর,15.524,0.0454545454545454
22,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_chittagong (1121).wav,টু সিক্স টু সিক্স অ্যাঁ সেভেন সিক্স সেভেন সিক্স সিক্স ফাইভ সিক্স ফাইভ ফাইভ হুম জিরো ওয়ান এইট ওয়ান সেভেন হুম,18.112,0.0476190476190476
23,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (703).wav,ও দারুণ দারুণ পাস হ্যাঁ সুন্দর পাস হচ্ছে এ রকি রকি ও রকির উপর দিয়ে বল চলে গেলো মাঠের বাইরে,15.296,0.05
24,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_chittagong (226).wav,এই স্টেশনের চত্বরে হারিয়ে গেছি শেষ ট্রেনে ঘরে ফিরবো না না না না না না না না না,16.772,0.0555555555555555
25,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1558).wav,যার খারণে এখন মনো ওয় যে এখটা দিন যদি যাওয়া না ওয় তখন আসলে দিন খাটে না মনো ওয় মনো ওয় যেমন বালা লাগে না মানে কুন সময় যাইতাম বা কুন সময় তারার সাথে দেখা ওইতো,19.836,0.0555555555555555
26,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2573).wav,প্লে ফড়ছি কেজি ওয়ান ফড়ছি আর কেজি টুত গিয়া আমি বর্তি অইছি হিলসিটি একাডেমিত তো হিলসিটি একাডেমিত আমি কেজি টু ফড়ছি এর ফরে অইলো গিয়া স্ট্যান্ডার্ড ওয়ান স্ট্যান্ডার্ড টু স্ট্যান্ডার্ড টু ফর্যন্ত আমি হিলসিটিত ফড়ছি,15.228,0.0571428571428571
27,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (120).wav,শুনতে শুনতে অসাধারন লাগে গান শুনতে আমার অনেক ভাল্লাগে বেশিরভাগ ভাল্লাগে যেসব গানে গিটারের টুংটাং টুংটাং বেশি,16.128,0.0588235294117647
28,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2578).wav,তো এরফরে আমি বিভিন্ন জায়গাত বর্তি ফরিক্কা দিলাম ইউনিভার্সিটির লাগি ঢাখা ইউনিভার্সিটি শাহজালাল ইউনিভার্সিটি আরো বিভিন্ন জায়গাত,15.14,0.0588235294117647
29,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1541).wav,এখন তারার সাতে এমন এখটা খইতে গেলে সম্পর্ক অইছে যে তোর যদি এখদিন কুনু খারণে ছুটি দেওয়া অয় বা বন্দ দেওয়া অয় তখন দেখা গেছে যে মনো অয় যেমন সময় খাটের না বা,17.728,0.0606060606060606
30,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (250).wav,পাঁচ দশমিক চার শূন্য পার্সেন অইছে হিন্দু বৌদ্ধ আছে শূন্য দশমিক শূন্য এক পার্সেন খ্রিস্টানও আছে কিছু শূন্য দশমিক শূন্য তিন পার্সেন আর অন্যান্য কিছু ধর্মের অনুসারী আছে শূন্য দশমিক শূন্য ছয়,15.264,0.0625
31,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1530).wav,এই এখজনের সাতে কিলাখান কিতা কিরখম আচার আচরণ আরকি যেগুলা তো তখন প্রচুর ইয়ে বুঝা গেছে,15.168,0.0625
32,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_chittagong (217).wav,বোঝে না সে বোঝে না বোঝে না সে বোঝে না বোঝে না সে বোঝে না,17.856,0.0666666666666666
33,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (365).wav,ফরবর্তীতে যাতে বালা খরতাম ফারি ফরালেখার অবস্থা আছে মোটামুটি ভালোই আমার খলেজ নিয়া খইতে গেলে খলেজের স্মৃতি খুব বেশি নাই খলেজের বান্দব বন্দু বান্দবি খুব বেশি নাই এইজন্য খলেজের স্মৃতি,16.576,0.0666666666666666
34,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2879).wav,তো ইটা ওইলো গিয়া ইয়ো আরকি ফরে তো তিয়াত্তরো ইলেকশন ওইলো তিয়াত্তর ইলেকশনো সুনামগঞ্জ সদর আসোনো আব্দুর জহুর জিতলা আব্দুর জহুর ইলেকশন খরলা আরকি ফরে বঙ্গবন্ধু মারা যাওয়ার বাদে,15.936,0.0689655172413793
35,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (982).wav,আনন্দ লজ এই আনন্দ লজ সবচেয়ে আকর্ষণীয় ভবন এর সামনে রয়েছে বিশাল বাগান বাগানে বাঘ হরিণ আর বিভিন্ন পশু পাখির মূর্তিও আছে সে আমলে জমিদাররা পশু পাখি খুব পুষতেন,15.3,0.0689655172413793
36,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1220).wav,হেল্প খরোইন দেখা যায় অনেখ সময় তাইন যুদি বাসাত থাখোইন তাইন রান্দিলাইন অনেখ সময় আবার আমি বাসাত তাখলে আমি রান্দি তো আসলে ই জিনিসটাই খুব বেশি দরখার সংসারোর লাগি আমার খাছে লাগে আরকি এই ধরনের সাপোর্টটা যদি না তাখে যেমন আমারে যদি এখন প্রেশার দিতা আমি হয়তো খরলাম অনে বাট আসলে আমার যে মেন্টাল পিসটা দরখার আছলো,20.512,0.0701754385964912
37,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1616).wav,ফরে খইতে খইতে খইতে খইতে গিয়া ফরে তাইও খুবই অসুস্থ তাখে অসুস্থ ওই যায় ফরে শেষ ফর্যন্ত গিয়া রাজি ওইছে জামাই বিয়া খরার লাগি তখন খুবই খম বয়স্ক একটা ফুরির লগে বিয়া ওইছে বেটার তো বিয়া ওয়ার ফরে দেখা যায় প্রথম প্রথম তো বিয়া খরতে খুবই নারাজ আছিল তো বিয়া ওয়ার ফরে তখন দেখা যায়,21.916,0.0727272727272727
38,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (16).wav,আর পতিটা খাবারে তোমার টেস্টিং সল্ট ওরা ইউজ করবে পতিটা খাবার ডালের পানি খাও যা খাও সবকিছুতেই একেবারে টেস্টিং সল ইউজ করবে মানে খুবই বাজে অবস্থা ভাই,15.008,0.074074074074074
39,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (442).wav,ডালে তো বানছি ছালা এ এইডা কিন্তু রিয়াল কাহিনী আবার বাবিস না কোনো গপ্পো এক্কারে সত্যি গটনা গাছে বানলাম বান্দার পরে ওই বেল্লাল দুদুর পোলারে কই কি,17.376,0.074074074074074
40,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sandwip (774).wav,হড়ালেখা হেত হারে না আইচ্ছা হেগুনে চাষ বাস লই থাকে বেশি আইচ্ছা আমরা হড়ালেখা লই থাকি আর হেগুনে চাষ বাস লই চাষ বাসের কাম লই থাকে আইচ্ছা,15.584,0.074074074074074
41,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (968).wav,যখন মহকুমা সদর দপ্তর আটিয়া থিক্যা স্থানান্তর করা হয় টাঙ্গাইলের ইতিহাসপ্রণেতা খন্দকার আব্দুর রহিম সাহেবের মতে ইংরেজ আমলে দেশের লোকেরা উঁচু শব্দের পরিবর্তে টান শব্দ ব্যবহার করতো,15.776,0.074074074074074
42,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (969).wav,এখনো টাঙ্গাইলের অনেক অঞ্চলে টান শব্দের প্রচলন আছে এই টানের সাথেই আইল শব্দটা যুক্ত অইয়া অইছে টাঙ্গাইল আর সেই টান আর আইল রূপে টাঙ্গাইল পরিণত হয়েছে তবে,15.204,0.074074074074074
43,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (136).wav,নেকড়ে আর কী নেকড়ে আর ভুইল্লাই তো যাই নেকড়ে আর গাছপালা বরফাচ্ছাদিত গাছপালা,15.264,0.0769230769230769
44,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1503).wav,শেষ ফর্যন্ত গিয়া ভাবলাম যেন খই যে আমার নিজের সম্পর্কে অউ খই যেখটা,15.2,0.0769230769230769
45,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1556).wav,এখন দেখলাম যে প্রত্যেখটা বাচ্চায় তার নিজের বাসার মেডামরে হয়তো স্যারের খেত্রেও সেইম মেডামরে খুবই বালা ফায় মানে মনো খরে যে তাইন আমরার আমার কিতা খইতাম,15.2,0.0769230769230769
46,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1609).wav,গিয়া তোর এখটু এখটু অনুভব ওর মানে ওইযে হে যে খাজটা খরছে ই খাজটা তখনকার সময়ে তাইরে যে তোর প্রত্যাখ্যান খরছে তো তখন গিয়া তার ইটা,15.2,0.0769230769230769
47,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2596).wav,বাদে আর আর ক্রিকেটার ওইছি না ইবায়দি আর যাওয়া ওইছে না আর আমার ফুটবল খেলা দেখতে ফুটবল খেলা দেখি হারা বছর তো ক্লাব ক্লাব কম্পিটিশন ছলে,15.62,0.0769230769230769
48,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1014).wav,যারা এখনো ঐতিহ্যবাহী টাঙ্গাইল জেলায় ঘুরতে আসে নাই তারা অবশ্যই একবার হইলেও এই জেলা ঘুইরা যাবেন এই জেলার ঐতিহ্যবাহী নিদর্শনগুলো ঘুরে যাবেন আর যারা ইতিমধ্যেই আইছিলো,15.072,0.0769230769230769
49,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1049).wav,মসুর জি ভাই হইছে হ্যাঁ তারপর তারপর বলেন পুকুর পুকুর জি পুকুরের আঞ্চলিক,16.284,0.0769230769230769
50,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_rangpur (771).wav,জীবন তো পার করা লাগবে তাইনা জীবন তো সামনে আরো খুব দুঃসময়গুলে আইসপের লাগছে সামনে জিনিসের দাম আরো বাড়বে এখন যে দামগুলে বাড়ছে সামনে তো মনে করো তোমার আরো বাড়বে এই যে গরুর গোস্ত আগে কত আছিল,15.748,0.081081081081081
51,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (121).wav,হেইসব গান গান শুনা ছাড়াও আমার মুবি দ্যাকতে অনেক ভাল্লাগে মুবি দ্যাহাও আমার অনেক বড় একটা শখ মুবি দেখতে বেশি ভাল্লাগে মুবির মদ্দে আমি,15.616,0.0833333333333333
52,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (372).wav,অবসর সময়ে ক্রিকেট খেলা বাল্লাগে ক্রিকেট খেলা অনেক অনেক আনন্দের তারফর দরনের গল্ফের বই ফরা অতবা ভালো কুনু মুভি দেখা ইতা অবসর সময়ে সবসময়ই,15.168,0.0833333333333333
53,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_kishoreganj (1000).wav,কবির দেশ বীরের দেশ আমার দেশ স্বাধীন দেশ হ্যাঁ বাংলাদেশ ধানের দেশ গানের দেশ ধানের দেশ গানের দেশ তেরোশত নদীর দেশ বাংলাদেশ আমার ভাষা,15.264,0.0833333333333333
54,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (265).wav,পৌরসভা এডি মিলাইয়া একটা এডি মিলাইয়া নসুন্দি জেলাডা অইছে এরফরে তো অনোও ফর্যন্ত আমরা আলহামদুলিল্লাহ আছি আমরা যদি ইতিহাসেত্তে একটু ঘুইরা একটু অন্যদিকে যাই,15.708,0.0833333333333333
55,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sandwip (626).wav,এজন্য ব্যাক দূরেত্তে দূরেত্তে ব্যাকে মনে করে ব্যাকের খান ভালা এডিক্কা লাগে,20.452,0.0833333333333333
56,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sandwip (943).wav,জিনিসের দাম বাড়ি গেছে রুজির লগে রুজি বাড়ে ন রুজি আগেরমত রই গেছে আইচ্ছা ঘরের কে কিয়ারে ঘরের আছে বড় ভাইয়া গরু টরু হালে,15.456,0.0833333333333333
57,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1517).wav,তো হেরারেও কিভাবে কন্ট্রোল খরা লাগে বা কিলাখান তারারে ইয়ো খরা লাগে তখন তারার সাতে তাখতে তাখতে মোটামুটি বুঝতাম ফারছি কিন্তু দেখা গেছে যে,16.092,0.0833333333333333
58,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2456).wav,বিএসসিটা ফাশ খরতে ফারি এবং বালা খরি যেন আমার থিসিস টিসিস ডিফেন্স দিয়া এখটা বালা ছাখরি খরতে ফারি বিকজ এট দ্যাট মুমেন্ট দিস মুমেন্ট আমার ছাখরির খুব দরকার আর কিতা খইতাম আমি আফনারারে আর,15.748,0.088235294117647
59,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_chittagong (228).wav,করছি বারবার সাঁতরে পাড় খোঁজার তো দ্বিতীয় গান শেষ তো অনেরা,15.712,0.0909090909090909
60,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_kishoreganj (1055).wav,রাজু ওয়াজ দা ফায়ার ফাইট ফ্রম দা ইস্কুল ফ্রম দা ইস্কুল ইয়ার হি থট হি থট হি থট এবাউট দা ফায়ার এন্ড দা ফায়ার ফাইটারস ফর এ লং টাইম ফর এ লং টাইম,16.86,0.0909090909090909
61,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (221).wav,তো হেনো তুই তুই এডারে কেমনে দেহস আমার কাছে বিচ্ছেদ কিছুই না আমার বিচ্ছেদ হইসে না বাট যদি আমি চাই না বাট যদি কখনো হয় তাইলে এডা ভাবা মনে হয় খুব ভালা যে,17.12,0.0909090909090909
62,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_rangpur (219).wav,চলে মোটামুটি আল্লায় যেভাবে চালায় রাজনীতির সাথে সম্পৃক্ত হবু তাইলে হ চিন্তা ভাবনা আছে আল্লায় যদি ভালোভাবে চালায় তাইলে দেখি আল্লায় সামনেরবার,17.184,0.0909090909090909
63,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1553).wav,কিন্তু বুঝা যাইতো যে না বাইরে বাইরে এখজন ফরে গিয়া আস্তে আস্তে যখন সময় বাক্কা খয়েক মাস গেছে তখন দেখা যায় দুইজন,15.36,0.0909090909090909
64,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1624).wav,আর ওই যে যার খারণে আরেকটা জিনিস না আর কিচ্ছু নাই ওউত্তো তোর ফঞ্চাশ মিনিট নায় তোর চল্লিশ মিনিট ওই গেছে ডান,16.348,0.0909090909090909
65,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2575).wav,ব্লু বার্ডো বর্তি অইছি ব্লু বার্ড স্কুল এন্ড কলেজ তো আমি ব্লু বার্ডো আমার ক্লাস থ্রি তাকিয়া ক্লাস টেন ফর্যন্ত ব্লু বার্ডো আমার লেখাফড়া হিকান তাকি আমি এসএসসি দিছি আলহামদুলিল্লাহ এসএসসির মাজে আমি,15.644,0.0909090909090909
66,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2896).wav,কিন্তু এই সুযোগ তো নাই একাডেমিক বাদ দিলে কুডিং বাদ দেওয়া লাগে বা এই টেকনিক্যাল সাইডটা বাদ দেওয়া লাগে আবার একাডেমিকো ফোকাস খরতে গেলে টেকনিক্যাল টেকনিক্যালে ছাড় দেওয়া লাগের বুঝছি আইচ্চা তে অখন,15.456,0.0909090909090909
67,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (805).wav,নতুন জায়গাতে ইখানে হসপিটালে গেলে হসপিটালের মানুষে আরও কতো আঞ্চলিক ভাষায় যে কতা কয় এরার ভাষাও বুঝি না এরাও আমার ভাষা বুঝে না আমরার হবিগঞ্জো দর্মীয় উৎসব আর কিতা বাংলাদেশের সবার মতোনোই,17.66,0.09375
68,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1502).wav,তোরে খইছি যে কিচ্চু এখটা খইতাম তো এখন খই কিতা খইতাম আসলে ফরে গিয়া ভাবলাম যে খই যেখটা সম্পর্কে আমি জানি তো এখটু লম্বা সময় দরিয়াও মাতা যাইবো অরখম টাইপোর কিচ্চু এখটা,18.268,0.09375
69,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (964).wav,আসসালামু আলাইকুম আমি মোহাম্মদ হিমেল হোসেন বয়স বিশ বছর আমি ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটির একজন ছাত্র আমি আজকে কথা কমু আমার জেলা টাঙ্গাইল নিয়া টাঙ্গাইল বাংলাদেশের মধ্যাঞ্চলে অবস্থিত ঢাকা বিভাগের একটা প্রশাসনিক অঞ্চল,16.06,0.09375
70,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (984).wav,আছে ঝুলন্ত বারান্দা যা শুটিং স্পষ্ট হিসেবে ব্যবহার করা হয় আরও আছে মহারাজা লজ কাচারি লজ রানী লজ ইত্যাদি ইত্যাদি কালীচরণ লজের সামনে চেয়ে আছে পূজামণ্ডপ যার সামনে বইসা পূজা করতো জমিদাররা,15.712,0.09375
71,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (251).wav,পার্সেন এ আর আমরা এনো অনেক উল্লেখযোগ্য কয়েকটা ধর্মীয় স্থাপনা আছে এডার মইদ্যে অইছে আছে পারুলিয়া শাহী মসজিদ ফরে কুমারদী মসজিদ আশ্রাফপুর মসজিদ ফরে এই মসজিদগুলা অনেক বড় বড় আর সুন্দর,16.576,0.0967741935483871
72,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1528).wav,তো এখন খেউ খেউ আছে যে তোর টিচার মা ওইলো গিয়া মাস্টর বাবাও মাস্টর বা অনেখো আছে তোর বাবা ফুলিশোর চাখড়ি খরে অনেখে আছে তোর বাবা বিদেশি তো দেখা গেছে যে,16.96,0.0967741935483871
73,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1004).wav,বাগানের পতিড্যা পাতা থিক্যা বৃষ্টি ঝরে পড়ার অপরূপ সৌন্দর্য দেখলে মনটা ভইরা যায় মধুপুরে রাবার বাগানের পরেই আছে মধুপুরের বিখ্যাত আনারসের হাট জলছত্র হাট পুরা মধুপুর জুইড়া আনারসের চাষ করা হয়,15.74,0.0967741935483871
74,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (384).wav,তো তারফরে দা যে এক্সট্রা ছয় মিনিট দিছিলো ওই সয় মিনিটের সময় দেখা যায় ওই ছয় মিনিটের বিতরে এই নেইমারে দুইটা গোল দেলাইছলো ওই গোল দেওয়ার সময় দেখা যায় যে আমরা সবাই মিল্লা এতো আনন্দ খরছি এতো উল্লাস এতো মিছিল খরতাছিলাম,18.72,0.0975609756097561
75,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1217).wav,যেকুনু জাগাত যাওয়াটা এখটু ইজি আমার কাছে লাগের খরছো তুলনামূলক কম আর দুইজনে খুব এঞ্জয় খরি বাইক ইয়োটা ট্যুরটা আর আমার এমনিতে তো ফ্রেন্ড সার্কেল বেশ আছে ইউনিবার্সিটিত আমার মুটামুটি সবোর লগে আসলে মিশতেই বালা লাগে এমন নায় যে আমি খুব,17.308,0.0975609756097561
76,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1507).wav,ইলাখান তো থাখা ঠিক নায় তউ গিয়া ঠিক খইলা যে অতা তো ইয়ে আছে স্কুল আছে যেতা তো অতার মাঝে চেষ্টা খরিয়া দেখ যদি অয় তে তোর সময়ো বালা খাটলো আর ফড়াশোনাটাও চালু রইলো তউ বাদে গিয়া এখটা স্কুলো ফরীক্কা দিলাম,23.744,0.0975609756097561
77,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_rangpur (892).wav,ডাইল ভাত তাইলে ইয়া খাওয়া সবচাইতে কার বাড়িত ভালো হইচে,16.16,0.1
78,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1191).wav,ইগুলা ওখন মনেই ফড়ে না আর অবসর সময়ে আমি খইতে গেলে গুমাই আর কিচ্চু খরা চলে না আর গুমটা খইতে গেলে আমার জীবনের অর্দেক দিনই যায় গিয়া আমার গুমাইতে গুমাইতে,16.832,0.1
79,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1009).wav,শুরু হয় এবং নির্মাণ কাজ শেষ হয় এই যমুনা সেতু বাংলাদেশের পূর্ব ও পশ্চিম অঞ্চলের মধ্যে একটা কৌশলগত সংযোগ প্রতিষ্ঠিত করছে এটি অত্র অঞ্চলের জনগণের জন্য বহুবিধ সুবিধা বয়ে আনে,16.096,0.1
80,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1030).wav,নাড়াই হুম আপনের ইস্কোর টু নৌকা নৌকা হুম নৌকা হইছে,17.188,0.1
81,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (345).wav,খালি দুই একটা বিলাই দেখছি বিলাই তো থাকেই ঢাকায় ঢাকায়,15.524,0.1
82,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (602).wav,একবারে ফিওর রোরাল এরিয়া ওইটা ফিওর খারন একটা রোরাল এরিয়াতে যা যা থাকা প্রয়োজন সবকিছুই আমার এলাখাত আছে এবং আমি গ্রাম বলতে যা বুঝায় একবারে হান্ডেড পার্সেন্ট ওই সংসকিতি,15.996,0.1034482758620689
83,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (266).wav,ইতিহাসের ফরে আমরা কী সম্পর্কে জানতাম ফারি ইতিহাসের ফরে আয়েন আমরা আমরার যোগাযোগ সম্পর্কে জানি একটা জেলার যোগাযোগ ব্যবস্থা খুব দরকার আমরা জেলার যোগাযোগ ব্যবস্থার মইদ্যে যদি আমরা কই,15.36,0.1034482758620689
