,Inflected_Word,Lemma,POS
48,গলায়ই,গলা,বিশেষ্য
49,অবসাদগ্রস্ত,অবসাদ,বিশেষ্য
50,অভিমানটা,অভিমান,বিশেষ্য
51,আহ্বানই,আহ্বান,বিশেষ্য
52,বটেই,বটে,অব্যয়
53,বুঝাব,বুঝা,ক্রিয়া
54,কমিয়ে,কম,বিশেষণ
55,লেখা,লেখা,ক্রিয়া
56,ক্ষেত্রটি,ক্ষেত্র,বিশেষ্য
57,ফোটে,ফোটা,ক্রিয়া
58,অযৌক্তিক,অযৌক্তিক,বিশেষণ
59,ক্ষুধাতুর,ক্ষুধা,বিশেষ্য
60,ডাকই,ডাক,বিশেষ্য
61,শামুকভাঙ্গা,শামুক,বিশেষ্য
62,স্বর্গ,স্বর্গ,বিশেষ্য
63,রাজ্যটি,রাজ্য,বিশেষ্য
64,কাটিতেছিল,কাটা,ক্রিয়া
65,হারিয়ে,হারানো,ক্রিয়া
66,অভিভাবকত্বে,অভিভাবকত্ব,বিশেষ্য
67,বৃহৎ,বৃহৎ,বিশেষণ
68,তৎক্ষণাৎ,তৎক্ষণাৎ,সর্বনাম
69,গায়েহলুদের,গাহলুদ,বিশেষ্য
70,বইটা,বই,বিশেষ্য
71,বলার,বলা,বিশেষ্য
72,চরমপন্থাকে,চরমপন্থা,বিশেষ্য
73,ফেনা,ফেনা,বিশেষ্য
74,উপনির্বাচনও,উপনির্বাচন,বিশেষ্য
75,আত্মবলিদানকারী,আত্মবলি,বিশেষ্য
76,করতেম,করা,ক্রিয়া
77,পিপড়াটাকে,পিপড়া,বিশেষ্য
78,গুনগুনানি,গুনগুন,বিশেষ্য
79,চাকরে,চাকর,বিশেষ্য
80,অবতারণী,অবতার,বিশেষ্য
81,অপভ্রংশে,অপভ্রংশ,বিশেষ্য
82,কার্যালয়টি,কার্যালয়,বিশেষ্য
83,ভালোবাসেন,ভালোবাসা,বিশেষ্য
84,কাচাইলেন,কাচা,ক্রিয়া
85,প্রক্রিয়াকরণ,প্রক্রিয়াকরণ,বিশেষ্য
86,বাঁশটি,বাঁশ,বিশেষ্য
87,কাঁদছে,কাঁদা,ক্রিয়া
88,কঞ্চিটি,কঞ্চি,বিশেষ্য
89,গজব,গজব,বিশেষ্য
90,অনির্বাণেরই,অনির্বাণ,বিশেষণ
91,ব্যামো,ব্যামো,বিশেষ্য
92,আঁশগুলো,আঁশ,বিশেষ্য
93,রাষ্ট্র,রাষ্ট্র,বিশেষ্য
94,যাদবদের,যাদব,বিশেষ্য
95,মোহরই,মোহর,বিশেষ্য
96,মিশতে,মেশা,ক্রিয়া
97,দোকানে,দোকান,বিশেষ্য
98,গৌরবের,গৌরব,বিশেষ্য
99,খুশির,খুশি,বিশেষ্য
100,বর্তমানে,বর্তমান,বিশেষণ
101,বেলফুলের,বেলফুল,বিশেষ্য
102,বন্ধুহীন,বন্ধু,বিশেষ্য
103,চড়ুটা,চড়ুই,বিশেষ্য
104,খাঁচার,খাঁচা,বিশেষ্য
105,ভাগফলটা,ভাগফল,বিশেষ্য
106,ভগবান,ভগবান,বিশেষ্য
107,ঠিকাটি,ঠিকা,বিশেষ্য
108,আপ্যায়নটা,আপ্যায়ন,বিশেষ্য
109,খানা,খানা,বিশেষ্য
110,ক্ষিপ্রতায়,ক্ষিপ্রতা,বিশেষ্য
111,অন্তরীক্ষবাসিনী,অন্তরীক্ষ,বিশেষ্য
112,যৌগ,যৌগ,বিশেষণ
113,অনুরাগীদের,অনুরাগ,বিশেষ্য
114,পেয়েছিল,পাওয়া,ক্রিয়া
115,ডাইনোসর,ডাইনোসর,বিশেষ্য
116,হাতড়ানো,হাতড়ানো,ক্রিয়া
117,কীটপতঙ্গরাই,কীটপতঙ্গ,বিশেষ্য
118,রাগে,রাগে,বিশেষ্য
119,অনিশ্চয়তাটা,অনিশ্চয়তা,বিশেষ্য
120,যাহারা,যে,সর্বনাম
121,খেলা,খেলা,ক্রিয়া
122,পাইয়াছিলেন,পাওয়া,ক্রিয়া
123,অনুচ্চতা,অনুচ্চ,বিশেষণ
124,লাখো,লাখ,বিশেষ্য
125,অর্ধাঙ্গিনী,অর্ধাঙ্গ,বিশেষ্য
126,চতুরতা,চতুরতা,বিশেষ্য
127,মেথরকে,মেথর,বিশেষ্য
128,নয়নকে,নয়ন,বিশেষ্য
129,উপত্যকা,উপত্যকা,বিশেষ্য
130,চাকরিও,চাকরি,বিশেষ্য
131,অধ্যাপকেরা,অধ্যাপক,বিশেষ্য
132,শহরটা,শহর,বিশেষ্য
133,বইটি,বই,বিশেষ্য
134,ছিন্ন,ছিন্ন,বিশেষণ
135,অন্তরঙ্গালাপ,অন্তরঙ্গ,বিশেষণ
136,ভিসাটা,ভিসা,বিশেষ্য
137,অনুশীলনীগুলো,অনুশীলনী,বিশেষ্য
138,থাকছি,থাকা,ক্রিয়া
139,জিরাফরা,জিরাফ,বিশেষ্য
140,অপমৃত্যুতে,অপমৃত্যু,বিশেষ্য
141,অধ্যবসায়ী,অধ্যবসায়,বিশেষ্য
142,গগনতল,গগন,বিশেষ্য
143,খাটুনি,খাটুনি,বিশেষ্য
144,অপূর্ণতাই,অপূর্ণ,বিশেষণ
145,বকুলকে,বকুল,বিশেষ্য
146,পতাকাটি,পতাকা,বিশেষ্য
147,উন্নতিটা,উন্নতি,বিশেষ্য
148,ঋষি,ঋষি,বিশেষ্য
149,অভিবাদনের,অভিবাদন,বিশেষ্য
150,আমাদের,আমার,সর্বনাম
151,মুকুলই,মুকুল,বিশেষ্য
152,উপস্থাপকদের,উপস্থাপক,বিশেষ্য
153,যাতনাতেই,যাতনা,বিশেষ্য
154,সাধারণসমক্ষে,সাধারণসমক্ষ,ক্রিয়াবিশেষণ
155,উত্সাহও,উত্সাহ,বিশেষ্য
156,ঘাটকে,ঘাট,বিশেষ্য
157,তরুই,তরু,বিশেষ্য
158,অনির্দিষ্টতা,অনির্দিষ্ট,বিশেষণ
159,খসখস,খসখস,বিশেষ্য
160,অরাজকতার,অরাজকতা,বিশেষ্য
161,তৈরীর,তৈরী,ক্রিয়া
162,অশ্রুসেচনে,অশ্রুসেচন,বিশেষ্য
163,কাচিয়েছিলেম,কাচা,ক্রিয়া
164,যাইতেছি,যাওয়া,ক্রিয়া
165,পুরুষমানুষ,পুরুষমানুষ,বিশেষ্য
166,অত্যাবশ্যক,অত্যাবশ্যক,বিশেষণ
167,নাম্বার,নাম্বার,বিশেষ্য
168,অনর্থ,অনর্থ,বিশেষ্য
169,অধিনায়কটির,অধিনায়ক,বিশেষ্য
170,আদ্যক্ষর,আদ্য,বিশেষণ
171,অনশনও,অনশন,বিশেষ্য
172,অবতরণসহ,অবতরণ,বিশেষ্য
173,চিনিই,চিনি,বিশেষ্য
174,অক্ষরমালা,অক্ষর,বিশেষ্য
175,গবেষিত,গবেষণা,বিশেষ্য
176,খামারটি,খামার,বিশেষ্য
177,দোয়ার,দোয়া,বিশেষ্য
178,গির্জায়,গির্জা,বিশেষ্য
179,গুরুত্ব,গুরুত্ব,বিশেষ্য
180,গ্রন্থাগারই,গ্রন্থাগার,বিশেষ্য
181,উৎপাটনসহ,উৎপাটন,বিশেষ্য
182,অবাস্তবও,অবাস্তব,বিশেষণ
183,বিছানাটি,বিছানা,বিশেষ্য
184,তায়,তা,সর্বনাম
185,আর্জিসেনি,আর্জি,বিশেষ্য
186,আসিলেন,আসা,ক্রিয়া
187,উপকণ্ঠে,উপকণ্ঠ,বিশেষ্য
188,কৃষক,কৃষক,বিশেষ্য
189,সশস্ত্র,সশস্ত্র,বিশেষণ
190,বুড়াকে,বুড়া,বিশেষণ
191,পেয়ারাটার,পেয়ারা,বিশেষ্য
192,সৃষ্টিশীল,সৃষ্টি,বিশেষ্য
193,সেনাবাহিনী,সেনাবাহিনী,বিশেষ্য
194,খিচুড়ি,খিচুড়ি,বিশেষ্য
195,আহ্বায়ককে,আহ্বায়ক,বিশেষ্য
196,পিপড়া,পিপড়া,বিশেষ্য
197,মাকে,মা,বিশেষ্য
198,অনুসারী,অনুসারী,বিশেষণ
199,লোহাটি,লোহা,বিশেষ্য
200,বনবিভাগ,বনবিভাগ,বিশেষ্য
201,বড়তাতে,বড়তা,বিশেষ্য
202,ভাগই,ভাগ,বিশেষ্য
203,রতনচন্দ্র,রতনচন্দ্র,বিশেষ্য
204,ছাপের,ছাপ,বিশেষ্য
205,অভিসন্ধির,অভিসন্ধি,বিশেষ্য
206,কাটিবার,কাটা,ক্রিয়া
207,আহ্বানকারীরা,আহ্বানকারী,বিশেষ্য
208,শরীল,শরীল,বিশেষ্য
209,ইন্দুকেই,ইন্দু,বিশেষ্য
210,দুগ্ধবতী,দুগ্ধ,বিশেষ্য
211,গিয়েছিলই,যাওয়া,ক্রিয়া
212,জ্ঞানদ,জ্ঞান,বিশেষ্য
213,হাওড়ার,হাওড়া,বিশেষ্য
214,মশাটি,মশা,বিশেষ্য
215,কচকচির,কচকচ,অব্যয়
216,শুভই,শুভ,বিশেষণ
217,চাহিয়া,চাওয়া,ক্রিয়া
218,ইফতারে,ইফতার,বিশেষ্য
219,দেখছিলেম,দেখা,ক্রিয়া
220,উদ্যানকে,উদ্যান,বিশেষ্য
221,জবাব,জবাব,বিশেষ্য
222,শোনাচ্ছি,শোনা,ক্রিয়া
223,তেঁতুলের,তেঁতুল,বিশেষ্য
224,চতুর্থাংশকে,চতুর্থাংশ,বিশেষ্য
225,চলাচলকৃত,চলাচল,বিশেষ্য
226,দেখাইও,দেখা,ক্রিয়া
227,হৃৎপিণ্ড,হৃৎপিণ্ড,বিশেষ্য
228,পৌরোহিত্যে,পুরোহিত,বিশেষ্য
229,ঈগলকে,ঈগল,বিশেষ্য
230,গণিতের,গণিত,বিশেষ্য
231,অভূত,অভূত,বিশেষণ
232,অসুবিধা,সুবিধা,বিশেষ্য
233,উত্তরী,উত্তরী,বিশেষ্য
234,ময়লাতে,ময়লা,বিশেষ্য
235,ঝোপে,ঝোপ,বিশেষ্য
236,আবাসটি,আবাস,বিশেষ্য
237,আড়ষ্টের,আড়ষ্ট,বিশেষণ
238,অনিদ্রাজনিত,অনিদ্রা,বিশেষ্য
239,পোস্ট,পোস্ট,বিশেষ্য
240,অম্বর,অম্বর,বিশেষ্য
241,বাজেটে,বাজেট,বিশেষ্য
242,দ্বারের,দ্বার,বিশেষ্য
243,অতি,অতি,অব্যয়
244,পুলিশকে,পুলিশ,বিশেষ্য
245,বেল,বেল,বিশেষ্য
246,কাতরতা,কাতর,বিশেষণ
247,অর্থহীন,অর্থহীন,বিশেষণ
248,আদ্যপ্রান্ত,আদ্য,বিশেষণ
249,নবাঙ্কুরে,নবঅঙ্কুর,অব্যয়
250,গ্রন্থবিলাসী,গ্রন্থবিলাসী,বিশেষ্য
251,জেলেদের,জেলে,বিশেষ্য
252,বনপাল,বনপাল,বিশেষ্য
253,নগেন্দ্রকে,নগেন্দ্র,বিশেষ্য
254,লিচুটা,লিচু,বিশেষ্য
255,গিয়েছেন,যাওয়া,ক্রিয়া
256,যন্ত্রকৌশলকে,যন্ত্রকৌশল,বিশেষ্য
257,সুন্দর,সুন্দর,বিশেষণ
258,চিন্তাবিদ,চিন্তা,বিশেষ্য
259,শালিই,শালি,বিশেষ্য
260,উচ্ছাস,উচ্ছাস,বিশেষ্য
261,একান্ত,একান্ত,বিশেষণ
262,গুয়াহাটি,গুয়াহাটি,বিশেষ্য
263,শেয়ালদের,শেয়াল,বিশেষ্য
264,সাজব,সাজ,বিশেষ্য
265,সতেজ,সতেজ,বিশেষণ
266,গঠনের,গঠন,বিশেষ্য
267,জলখাবারের,জলখাবার,বিশেষ্য
268,কপটতাপূর্ণ,কপটতা,বিশেষ্য
269,শিক্ষার্থী,শিক্ষার্থী,বিশেষ্য
270,জগন্নাথদেবের,জগন্নাথদেব,বিশেষ্য
271,টিকায়,টিকা,ক্রিয়া
272,লড়ব,লড়া,বিশেষ্য
273,ডাইনোসরদের,ডাইনোসর,বিশেষ্য
274,আওয়াজই,আওয়াজ,বিশেষ্য
275,জাজিমটা,জাজিম,বিশেষ্য
276,ছাঁকা,ছাঁকা,বিশেষণ
277,ভাগকে,ভাগ,বিশেষ্য
278,কাঠিতে,কাঠি,বিশেষ্য
279,মরিতে,মরণ,বিশেষ্য
280,জনমে,জনম,বিশেষ্য
281,পাত্রীদেরতো,পাত্র্রী,বিশেষ্য
282,জমিন,জমি,বিশেষ্য
283,খেলনাতে,খেলনা,বিশেষ্য
284,তিনিই,সে,সর্বনাম
285,আচ্ছন্ন,আচ্ছন্ন,বিশেষণ
286,ডায়রির,ডায়রি,বিশেষ্য
287,চিন্তিত,চিন্তা,বিশেষ্য
288,শীশাটা,শীশা,বিশেষ্য
289,বিশ্বাসঘাতকই,বিশ্বাসঘাতক,বিশেষণ
290,ঘনফুট,ঘনফুট,বিশেষ্য
291,খুলিয়া,খোলা,ক্রিয়া
292,অপহরণে,অপহরণ,বিশেষ্য
293,বদল,বদলানো,ক্রিয়া
294,শালিকের,শালিক,বিশেষ্য
295,সামান্যতে,সামান্য,বিশেষণ
296,খলিফা,খলিফা,বিশেষ্য
297,রয়ে,রওয়া,ক্রিয়া
298,যথাক্রমিক,যথা,অব্যয়
299,জ্ঞানাকর,জ্ঞান,বিশেষ্য
300,অধিবেশনকালে,অধিবেশন,বিশেষ্য
301,অধিকমাত্রায়,অধিক,বিশেষণ
302,মাধবচন্দ্র,মাধবচন্দ্র,বিশেষ্য
303,পর,পর,বিশেষ্য
304,পশুটি,পশু,বিশেষ্য
305,পদ্দা,পদ্দা,বিশেষ্য
306,যন্ত্রণাই,যন্ত্রণা,বিশেষ্য
307,জেলেকে,জেলে,বিশেষ্য
308,খিলানই,খিলান,বিশেষ্য
309,অন্তর্নিহীত,অন্তর্নিহিত,বিশেষণ
310,খালারা,খালা,বিশেষ্য
311,সওদা,সওদা,বিশেষ্য
312,খাবে,খাওয়া,ক্রিয়া
313,খাইদ,খাওয়া,ক্রিয়া
314,ইন্ধনদাতারা,ইন্ধন,বিশেষ্য
315,দেওয়াইব,দেওয়া,ক্রিয়া
316,অপকারের,অপকার,বিশেষ্য
317,কবরস্থানই,কবরস্থান,বিশেষ্য
318,তাকে,তার,সর্বনাম
319,চাঞ্চল্যতায়,চাঞ্চল্য,বিশেষ্য
320,ভাইরাসকে,ভাইরাস,বিশেষ্য
321,সারিতে,সারি,বিশেষ্য
322,উদীচীতে,উদীচী,বিশেষ্য
323,চিহ্ন,চিহ্ন,বিশেষ্য
324,প্রফেসর,প্রফেসর,বিশেষণ
325,লইয়াছেন,লওয়া,ক্রিয়া
326,মাজারের,মাজার,বিশেষ্য
327,ভাব,ভাব,বিশেষ্য
328,ইতিমধ্যেই,ইতিমধ্যে,ক্রিয়াবিশেষণ
329,জমিটাই,জমি,বিশেষ্য
330,আমিও,আমি,সর্বনাম
331,খালিই,খালি,বিশেষণ
332,ট্রাকে,ট্রাক,বিশেষ্য
333,সমবায়,সমবায়,বিশেষ্য
334,কম্বুগ্রীব,কম্বু,বিশেষ্য
335,অভিধানগুলো,অভিধান,বিশেষ্য
336,আত্মপ্রচারের,আত্মপ্রচার,বিশেষ্য
337,সতেজতা,সতেজ,বিশেষণ
338,গন্তব্যই,গন্তব্য,বিশেষণ
339,পিসিমা,পিসিমা,বিশেষ্য
340,নহে,না,অব্যয়
341,ধমকাল,ধমক,বিশেষ্য
342,অস্তপ্রায়,অস্তপ্রায়,ক্রিয়াবিশেষণ
343,অধিষ্ঠাত্রী,অধিষ্ঠাত্রী,বিশেষ্য
344,উজ্জ্বলও,উজ্জ্বল,বিশেষণ
345,বহিষ্কারের,বহিষ্কার,বিশেষ্য
346,শতকটা,শতক,বিশেষ্য
347,বেনিয়াটোলা,বেনিয়াটোলা,বিশেষ্য
348,দয়া,দয়া,বিশেষ্য
349,কতোটা,কত,বিশেষণ
350,বাজিতেই,বাজি,বিশেষ্য
351,কাচাইয়াছিলি,কাচা,ক্রিয়া
352,দেখান,দেখা,ক্রিয়া
353,সতীমাহাত্ম্যে,সতীমাহাত্ম্য,ক্রিয়াবিশেষণ
354,পাঠকটা,পাঠক,বিশেষ্য
355,দেশটার,দেশ,বিশেষ্য
356,আমনচাষ,আমন,বিশেষণ
357,আগ্নেয়গিরি,আগ্নেয়গিরি,বিশেষ্য
358,ছাইয়ে,ছাই,বিশেষ্য
359,গোলমেলে,গোলমাল,বিশেষণ
360,টহলে,টহল,বিশেষ্য
361,আগ্নেয়গিরিগুলো,আগ্নেয়গিরি,বিশেষ্য
362,কাঁদবে,কাঁদা,ক্রিয়া
363,খাইতেন,খাওয়া,ক্রিয়া
364,পরিদর্শনকে,পরিদর্শন,ক্রিয়া
365,বাবাটা,বাবা,বিশেষ্য
366,রাখাই,রাখা,ক্রিয়া
367,করিয়ো,করা,ক্রিয়া
368,কুমারীরা,কুমারী,বিশেষ্য
369,কামড়াক,কামড়,বিশেষ্য
370,কর্তৃত্বও,কর্তৃত্ব,বিশেষ্য
371,উটকে,উট,বিশেষ্য
372,হলেন,হওয়া,ক্রিয়া
373,হাসবো,হাসা,ক্রিয়া
374,অদিতিনন্দন,অদিতি,বিশেষ্য
375,অঙ্ক,অঙ্ক,বিশেষ্য
376,তত্ত্বাবধান,তত্ত্বাবধান,বিশেষ্য
377,ইসলামকে,ইসলাম,বিশেষ্য
378,আকুল,আকুল,বিশেষণ
379,পতঙ্গে,পতঙ্গ,বিশেষ্য
380,সসংজ্ঞ,সংজ্ঞা,বিশেষ্য
381,দংশকের,দংশক,বিশেষণ
382,অবসরকালীন,অবসর,বিশেষ্য
383,সরাত,সরা,বিশেষ্য
384,বাতিলের,বাতিল,বিশেষ্য
385,বসতেন,বসা,ক্রিয়া
386,ভাবিতেন,ভাবা,ক্রিয়া
387,সরাচ্ছিলেম,সরা,বিশেষ্য
388,খোঁচা,খোঁচা,বিশেষ্য
389,দেশভক্তদের,দেশভক্ত,বিশেষ্য
390,মতোই,মতো,অব্যয়
391,নাচল,নাচ,বিশেষ্য
392,ছাগলই,ছাগল,বিশেষ্য
393,ইংরেজিজ্ঞান,ইংরেজি,বিশেষ্য
394,আফগানযুদ্ধের,আফগান,বিশেষ্য
395,গর্বের,গর্ব,বিশেষ্য
396,রাজ্যেই,রাজ্য,বিশেষ্য
397,ইঙ্গিতটা,ইঙ্গিত,বিশেষ্য
398,কাগজ,কাগজ,বিশেষ্য
399,শারীরটা,শরীর,বিশেষণ
400,গঠনমূলক,গঠন,বিশেষ্য
401,ছোঁড়ার,ছোঁড়া,বিশেষ্য
402,আয়াতে,আয়াত,বিশেষ্য
403,সংখ্যা,সংখ্যা,বিশেষ্য
404,কার্যটা,কার্য,বিশেষ্য
405,কর্মচারীদের,কর্মচারী,বিশেষ্য
406,আবাদও,আবাদ,বিশেষ্য
407,বাস্তবটাও,বাস্তব,বিশেষ্য
408,পাইলটই,পাইলট,বিশেষ্য
409,উপচারে,উপচার,বিশেষ্য
410,সক্রিয়ভাবে,সক্রিয়,বিশেষণ
411,টগরটা,টগর,বিশেষ্য
412,যায়ই,যায়,ক্রিয়া
413,ঘটকদের,ঘটক,বিশেষ্য
414,আনমন,আনমন,বিশেষণ
415,ঝুলাইয়া,ঝোলানো,ক্রিয়া
416,অনুলিপির,অনুলিপি,বিশেষ্য
417,আবর্তন,আবর্তন,বিশেষ্য
418,আপাতদৃষ্টিতে,আপাত,বিশেষ্য
419,বজ্রনাদ,বজ্রনাদ,বিশেষ্য
420,জমবে,জমা,ক্রিয়া
421,অপর্যাপ্ত,অপর্যাপ্ত,বিশেষণ
422,চিতাটি,চিতা,বিশেষ্য
423,টিকটিকি,টিকটিকি,বিশেষ্য
424,সঠিকডোজ,সঠিক,বিশেষণ
425,অমঙ্গলজনক,অমঙ্গল,বিশেষ্য
426,বর্ণনা,বর্ণনা,বিশেষ্য
427,গোয়েন্দার,গোয়েন্দা,বিশেষ্য
428,তামাশাকেই,তামাশা,বিশেষ্য
429,আরশিদ,আরশি,বিশেষ্য
430,বইকি,বইকি,অব্যয়
431,উত্সই,উত্স,বিশেষ্য
432,আত্মপ্রত্যয়ও,আত্মপ্রত্যয়,বিশেষ্য
433,অনুরাগী,অনুরাগী,বিশেষণ
434,অভ্যর্থনাকক্ষ,অভ্যর্থনা,বিশেষ্য
435,অন্তর্দৃষ্টিই,অন্তর্দৃষ্টি,বিশেষ্য
436,অলিগলিকে,অলিগলি,বিশেষ্য
437,উত্তপ্তই,উত্তপ্ত,বিশেষণ
438,জঙ্গলমহলে,জঙ্গলমহল,বিশেষ্য
439,কাঞ্চীনগরে,কাঞ্চীনগর,বিশেষ্য
440,জমিটি,জমি,বিশেষ্য
441,ঘরটি,ঘর,বিশেষ্য
442,প্রতারণার,প্রতারণা,ক্রিয়া
443,লোকারণ্য,লোকারণ্য,বিশেষ্য
444,অকর্মার,অকর্ম,বিশেষ্য
445,মানফ্রেডের,মানফ্রেড,বিশেষ্য
446,আতঙ্ককে,আতঙ্ক,বিশেষ্য
447,ফলও,ফল,বিশেষ্য
448,অবুঝকে,অবুঝ,বিশেষণ
449,গ্রহাণুগুলো,গ্রহঅণু,বিশেষ্য
450,গল্পও,গল্প,বিশেষ্য
451,সমাজে,সমাজ,বিশেষ্য
452,কাজলই,কাজল,বিশেষ্য
453,হয়ত,হওয়া,ক্রিয়া
454,আসক্তদের,আসক্ত,বিশেষণ
455,বাধাল,বাধা,বিশেষ্য
456,মামাই,মামা,বিশেষ্য
457,কুৎসিত,কুৎসিত,বিশেষণ
458,গাঁথুনিগুলো,গাঁথুনি,বিশেষ্য
459,অধাতুরই,অধাতু,বিশেষ্য
460,গাড়িটাতেই,গাড়ি,বিশেষ্য
461,আঠাকাটি,আঠা,বিশেষ্য
462,হটকাবে,হটকানো,ক্রিয়া
463,ছাঁচটা,ছাঁচ,বিশেষ্য
464,তটে,তট,বিশেষ্য
465,সৌরমণ্ডলেই,সৌরমণ্ডল,ক্রিয়া
466,তৈরীই,তৈরী,ক্রিয়া
467,অনাবিল,অনাবিল,বিশেষণ
468,ঐকমত্যকে,ঐকমত্য,বিশেষ্য
469,নানাই,নানা,বিশেষ্য
470,অধ্যাদেশই,অধ্যাদেশ,বিশেষ্য
471,যতিচিহ্নকে,যতিচিহ্ন,বিশেষ্য
472,কারবারও,কারবার,বিশেষ্য
473,অনপরাধিনীর,অনপরাধ,বিশেষ্য
474,খোপাতে,খোপা,বিশেষ্য
475,ছয়ে,ছয়,বিশেষ্য
476,তারাপদ,তারা,বিশেষ্য
477,টুলে,টুল,বিশেষ্য
478,সম্মতিক্রমে,সম্মতক্রম,ক্রিয়াবিশেষণ
479,অদ্বয়বাদী,অদ্বয়,বিশেষ্য
480,সুগোচর,গোচর,বিশেষণ
481,চর্মাবরণ,চর্মাবরণ,বিশেষ্য
482,লিখলেম,লেখা,ক্রিয়া
483,যামিনীভূষণ,যামিনী,বিশেষ্য
484,আনমনা,আনমন,বিশেষণ
485,অদক্ষতাপূর্ণ,অদক্ষ,বিশেষণ
486,উপমাও,উপমা,বিশেষ্য
487,নাচুন,নাচ,বিশেষ্য
488,পড়লেন,পড়া,ক্রিয়া
489,পক্ষের,পক্ষ,বিশেষ্য
490,টিকাই,টিকা,বিশেষ্য
491,আমগাছ,আমগাছ,বিশেষ্য
492,দোলনাটি,দোলনা,বিশেষ্য
493,কয়েকজনও,কয়েকজন,সর্বনাম
494,অঞ্চলের,অঞ্চল,বিশেষ্য
495,স্বাদেশিক,স্বদেশ,বিশেষ্য
496,গর্ভে,গর্ভ,বিশেষ্য
497,গলানো,গলা,বিশেষ্য
498,উন্মুক্তভাবে,উন্মুক্ত,বিশেষণ
499,দানই,দান,বিশেষ্য
500,খোরাকে,খোরাক,বিশেষ্য
501,জন্তু,জন্তু,বিশেষ্য
502,উত্তরদাতাও,উত্তরদাতা,বিশেষ্য
503,তরুণী,তরুণ,বিশেষ্য
504,উদ্ভাবনীমূলক,উদ্ভাবনী,বিশেষণ
505,কদবেলটি,কদবেল,বিশেষ্য
506,মৌলিকে,মৌলিক,বিশেষণ
507,রবিঠাকুরের,রবিঠাকুর,বিশেষ্য
508,সহ্য,সহ্য,বিশেষ্য
509,নজরদারি,নজর,বিশেষ্য
510,বিতরনে,বিতরন,বিশেষ্য
511,সহিয়া,সহন,বিশেষ্য
512,কাচাইলে,কাচা,ক্রিয়া
513,অয়েলপেপার,অয়েল,বিশেষ্য
514,আত্মা,আত্মা,বিশেষ্য
515,কাচিয়েছিলেন,কাচা,ক্রিয়া
516,কণিকার,কণিকা,বিশেষ্য
517,চরমপন্থাও,চরমপন্থা,বিশেষ্য
518,ভাবি,ভাবি,বিশেষ্য
519,অপদস্থ,অপদস্থ,বিশেষণ
520,আংশিকভাবেও,আংশিক,বিশেষণ
521,হর,হর,বিশেষ্য
522,ইঙ্গিতও,ইঙ্গিত,বিশেষ্য
523,ঘাসে,ঘাস,বিশেষ্য
524,আস্তেই,আস্তে,ক্রিয়াবিশেষণ
525,উচ্ছৃঙ্খলতার,উচ্ছৃঙ্খল,বিশেষণ
526,ঘটিতে,ঘটি,বিশেষ্য
527,লাগাচ্ছে,লাগানো,ক্রিয়া
528,আন্তরিকতাই,আন্তরিকতা,বিশেষ্য
529,কয়লায়,কয়লা,বিশেষ্য
530,হারা,হারা,ক্রিয়া
