,Inflected_sentences
17,২৩ অক্টোবর রাষ্ট্রপতি হামিদ জাপানের দ্বিতীয় বৃহত্তম নগরী ইয়োকোহামা সফর করবেন।
18,"একারণে শিল্প খাতের বিকাশ রুদ্ধ হবে, সেই সঙ্গে দেশের ক্ষুদ্র ও মাঝারি শিল্প সমস্যায় পড়বে।"
19,"প্রধানমন্ত্রীর প্রেস সচিব জানিয়েছেন, প্রধানমন্ত্রী শেখ হাসিনা ঈদের দিন গণভবনে সকাল ১০টা থেকে ১১টা পর্যন্ত প্রথমে দলীয় নেতাকর্মী, কবি, সাহিত্যিক, লেখক, সাংবাদিক, শিক্ষক, চিকিৎসক এবং বুদ্ধিজীবীদের সঙ্গে ঈদের শুভেচ্ছা বিনিময় করবেন।"
20,"সচিব বলেন, দ্বিতীয় পর্যায়ের নির্বাচনে পাঁচটি বিভাগের ১৭টি জেলার ১২৯টি উপজেলায় ভোট হবে।"
21,২৭ অক্টোবর রাত ১১টা ৪০ মিনিটে রাষ্ট্রপতি দেশে ফিরে আসবে বলে আশা করা হচ্ছে।
22,"একজন গ্রাহক সর্বোচ্চ দুই কেজি পেঁয়াজ, ৪ কেজি চিনি, ৪ কেজি ডাল ও ৫ লিটার সয়াবিন তেল কিনতে পারবেন।"
23,"তিনি বলেন, ১৯৭১ সালে জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান বাঙালি জনগণের মুক্তি এবং স্বাধীনতার পক্ষে দাঁড়াতে তাদের প্রতি জোরালো আহ্বান জানান।"
24,স্থায়ী ক্যাম্পাস ইস্যুতে কঠোর অবস্থান নিয়েছে শিক্ষা মন্ত্রণালয়।
25,তথ্য ও যোগাযোগ প্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদ পলক ও মন্ত্রণালয়ের জ্যেষ্ঠ সচিব এন এম জিয়াউল আলম প্রধানমন্ত্রীর কার্যালয়ে নিয়মিত মন্ত্রিসভা বৈঠকের আগে পুরস্কারগুলো হস্তান্তর করেন।
26,বেলা সাড়ে ১১টার দিকে চার ছাত্র নদীতে গোসল করতে নেমে নিখোঁজ হয়।
27,"এই শিক্ষা ব্যবস্থা দিয়ে, বর্তমান ও আগামীর চাহিদা পূরণ অসম্ভব।"
28,"প্রধানমন্ত্রী ভারতের জনগণের অব্যাহত সুখ শান্তি ও সমৃদ্ধি এবং নরেন্দ্র মোদির সুস্বাস্থ্য, অব্যাহত সাফল্য ও দীর্ঘায়ু কামনা করেন।"
29,প্রধানমন্ত্রী এ বছর ৮.১৩ শতাংশ জিডিপি প্রবৃদ্ধিসহ বিভিন্ন উন্নয়ন সূচক বর্ণনা করেছেন এবং ফিনল্যান্ডের বিনিয়োগকারীদের বাংলাদেশে বিনিয়োগের আহবান জানান।
30,বিমানবন্দরে আনুষ্ঠানিকতা শেষে একটি সুসজ্জিত মোটর শোভাযাত্রা সহকারে প্রধানমন্ত্রীকে মাদ্রিদের হোটেল ভিলা ম্যাগনায় নিয়ে যাওয়া হবে।
31,সন্ধ্যায় তিনি মক্কার সাফা প্রাসাদে ওআইসি শীর্ষ সম্মেলনের উদ্বোধনী অনুষ্ঠানে যোগদান করবেন।
32,সরকারি চিকিৎসকদের প্রাইভেট প্র্যাকটিস বন্ধে আইনি নোটিশ
33,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান বিষয়ক প্রতিমন্ত্রী ইমরান আহমেদ ও ব্রুনাই বিশ্ববিদ্যালয়ের ড. এ কে এম আহসান উল্লাহ অনুষ্ঠানে বক্তৃতা করেন এবং ব্রুনাইয়ে বাংলাদেশের হাইকমিশনার এয়ার ভাইস মার্শাল (অব.) মাহমুদ হোসাইন অনুষ্ঠানে সভাপতিত্ব করেন।
34,"শেখ হাসিনা বলেন, জাতির পিতা মানুষের অর্থনৈতিক স্বাচ্ছন্দ এনে দিতে চেয়েছিলেন।"
35,"আ হ ম মুস্তফা কামাল বলেন, বর্তমান শিক্ষা ব্যবস্থার পরিবর্তন করতে হবে।"
36,"বাংলাদেশ পুলিশ দ্বারা সংঘটিত অবসরপ্রাপ্ত সামরিক কর্মকর্তা, মেজর সিনহা রাশেদ খানের হত্যাকান্ড পরিশেষে নিরাপত্তা বাহিনীকে তাদের বিচারবহির্ভূত হত্যাকান্ডের সংস্কৃতির মুখোমুখি হতে বাধ্য করেছে।"
37,"ওবায়দুল কাদের বলেন, ""জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানকে হত্যার পর ছয় বছর আমরা অন্ধকারে ছিলাম।"""
38,কিন্তু বাংলাদেশে এখন পর্যন্ত এ ধরনের কোনো ঘটনা ঘটেনি।
39,"প্রধানমন্ত্রী বলেন, রোহিঙ্গাদের ব্যাপক উপস্থিতির কারণে কক্সবাজারের স্থানীয় জনগণের অনেক দুর্ভোগ পোহাতে হচ্ছে।"
40,তিন বছরের জন্য তাকে চুক্তিতে এই পদে নিয়োগ দেয়া হ‌য়ে‌ছে।
41,"তিনি বলেন, 'আমরা দারিদ্র্যের হার ২১ শতাংশে নামিয়ে এনেছি এবং আমাদের উন্নয়ন নীতিমালা হচ্ছে গ্রামকেন্দ্রিক।'"
42,"প্রধানমন্ত্রী শেখ হাসিনা বলেছেন, যদিও ক্ষমতাসীন দলের গ্রহণযোগ্যতা সাধারণত বিভিন্ন ক্ষেত্রে হ্রাস পায়, কিন্তু বাংলাদেশে আওয়ামী লীগের জনপ্রিয়তা বেড়েছে।"
43,এ নিয়ে লেখকের প্রকাশিত বইয়ের সংখ্যা দাঁড়ালো ৭টি।
44,জাতিসংঘের পর এটি বিশ্বব্যাপী রাষ্ট্রগুলোর বৃহত্তম সংগঠন।
45,রাষ্ট্রপতি আবদুল হামিদ দশম জাতীয় সংসদের ১৯তম অধিবেশনে পাশ হওয়া দুটি বিলে মঙ্গলবার সম্মতি জ্ঞাপন করেছেন।
46,বাংলাদেশ ব্যাংক মুদ্রানীতি ঘোষণা করবে বুধবার
47,শেরেবাংলা নগর থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) জানে আলম তথ্য নিশ্চিত করেছেন।
48,সংযুক্ত আরব আমিরাতে বাংলাদেশের রাষ্ট্রদূত মোহাম্মদ ইমরান বিমানবন্দরে প্রধানমন্ত্রীকে বিদায় জানান।
49,"এবার নতুন বছর শুরু হচ্ছে এমন সময়, যখন টানা তৃতীয় মেয়াদে দেশ পরিচালনার দায়িত্ব গ্রহণ করতে যাচ্ছে আওয়ামী লীগ নেতৃত্বাধীন মহাজোট সরকার।"
50,ডাক ও টেলিযোগাযোগ প্রতিমন্ত্রী তারানা হালিম স্থানীয় ও আন্তর্জাতিকভাবে পরিচালিত পর্নো সাইটগুলো বন্ধের উপায় খুঁজতে টেলিকম বিভাগ কর্তৃক গঠিত কারিগরি কমিটিকে নির্দেশনা দেন।
51,প্রধানমন্ত্রী ও তার সফরসঙ্গীদের বহনকারী ইতিহাদ এয়ারলাইন্সের একটি ফ্লাইট আজ সকালে আবুধাবি আন্তর্জাতিক বিমানবন্দরে অবতরণ করে।
52,ইরানের রাষ্ট্রদূত বৈঠকে ৩০ ডিসেম্বরের সাধারণ নির্বাচনে তার দলের বিপুল বিজয়ে ইরানের রাষ্ট্রপতির পক্ষ থেকে প্রধানমন্ত্রী শেখ হাসিনাকে অভিনন্দন জানান।
53,"পররাষ্ট্র সচিব বলেন, ব্যবসা-বাণিজ্য, যোগাযোগ এবং স্বাস্থ্য খাতের বিষয়ে আলোচনায় প্রাধান্য দেওয়া হয়।"
54,কিছুক্ষণ পর পুকুর থেকে তার মরদেহ উদ্ধার করা হয়।
55,প্রধানমন্ত্রীর ভুটান সফরের সময়ও বিষয়টি নিয়ে আলোচনা হয়েছিল বলে তিনি উল্লেখ করেন।
56,সংখ্যাগুরু ও সংখ্যালঘুর মানসিকতা থেকে আমাদের বেরিয়ে আসতে হবে।
57,রোহিঙ্গারা যেন পাসপোর্ট না পায় সে ব্যবস্থা নেয়া হচ্ছে।
58,"শেখ হাসিনা বলেন, বর্তমানে তাঁর সরকার কক্সবাজারকে একটি পর্যটন কেন্দ্র হিসেবে গড়ে তুলছে।"
59,এক্ষেত্রে কম্বোডিয়ার সরকার সব ধরনের সহযোগিতা করবে।
60,সব ষড়যন্ত্র উপেক্ষা করে দেশ গড়ার কাজে নিজেকে নিয়োজিত করেন জাতির পিতা।
61,"সূত্রমতে, ওয়ালটনের লক্ষ্য রয়েছে ভবিষ্যতে সিঙ্গাপুর, হংকং, বেইজিং, সাংহাইসহ বিশ্বের অন্যান্য দেশের শেয়ার মার্কেটে তালিকাভুক্ত হওয়ার।"
62,"এ প্রসঙ্গে প্রধানমন্ত্রী উল্লেখ করেন যে, আওয়ামী লীগ যখন বিরোধীদলে ছিল তখনও তার দল দেশের স্বার্থে বিভিন্ন ধরনের অর্থনৈতিক কর্মসূচি হাতে নিয়েছে।"
63,শেখ হাসিনা বিশ্বের অন্যতম ব্যস্ততম বাণিজ্যিক বন্দর পোর্ট অব সিঙ্গাপুর পরিদর্শন করেন।
64,প্রধানমন্ত্রী শেখ হাসিনা বৈঠকে বাংলাদেশের পক্ষে এবং সফররত ভুটানের প্রধানমন্ত্রী ডা. লোটে শেরিং ভুটানের প্রতিনিধিদলের নেতৃত্ব দেন।
65,"আমি ওয়ালটনকে একটি প্রাইভেট কোম্পানি নয়, বরং জাতীয় গর্ব বলে মনে করি।"
66,আমন্ত্রণপত্রে তিনি মিয়ানমারের সঙ্গে রোহিঙ্গা শরণার্থী সমস্যা সমাধানে বাংলাদেশকে সহায়তা করতে তার দেশের আগ্রহের কথা প্রকাশ করেছেন।
67,"ভিয়েতনামের নবনিযুক্ত রাষ্ট্রদূত ট্রান ভান খোয়া বলেছেন, ভিয়েতনাম থেকে চালের প্রথম চালান আগামী ১৫ দিনের মধ্যে চট্টগ্রাম বন্দরে পৌঁছানোর কথা রয়েছে।"
68,ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে ডেঙ্গু জ্বরে আক্রান্ত এক কলেজ ছাত্রের মৃত্যু হয়েছে।
69,এবছর বাংলাদেশ থেকে এক হাজারের অধিক শিক্ষার্থী উচ্চশিক্ষার জন্য জার্মানিতে পাড়ি দিয়েছে।
70,জাপান রোহিঙ্গা সমস্যার সমাধানে বাংলাদেশকে সহায়তা দিতে প্রস্তুত
71,"এ সময়ে কৃষিপণ্য রপ্তানিতে আয় হয়েছে ৫১ কোটি ৭৬ লাখ ডলার, যা আগের বছরের একই সময়ের তুলনায় প্রায় ৬৭ শতাংশ বেশি।"
72,গত ২৬ মে আইন মন্ত্রনালয়ের প্রজ্ঞাপনের বৈধতা চ্যালেঞ্জ করে রিট করেন খালেদা জিয়া।
73,এরপর প্রধানমন্ত্রী প্রতিনিধিদলের প্রধানদের সঙ্গে ওয়ার্কিং লাঞ্চন ও পূর্ণাঙ্গ অধিবেশনে যোগ দেন।
74,"রাষ্ট্রপতি আশা প্রকাশ করেন, বাংলাদেশের এই ক্রিকেট দলটি আগামী দিনগুলিতেও তাদের এই জয়ের ধারা অব্যাহত রাখবে।"
75,৭ আগস্ট নয়াদিল্লিতে এই বৈঠক অনুষ্ঠিত হবে।
76,প্রশাসনকে বায়ুদূষণ রোধে এর মূল কারণগুলো খুঁজে বের করতে ফলপ্রসূ পদক্ষেপ নিতে হবে।
77,সবার সঙ্গে বন্ধুত্ব কারো সঙ্গে বৈরিতা নয়- বাংলাদেশ এই বৈদেশিক নীতি অনুসরণ করে এবং বাংলাদেশ প্রতিবেশীদের সাথে খুব ভাল সম্পর্ক বজায় রাখে।
78,রাষ্ট্রপতি মো. আবদুল হামিদ তার নিয়মিত স্বাস্থ্য পরীক্ষা ও চোখের চিকিৎসার জন্য যুক্তরাজ্য ও জার্মানিতে ১১ দিনের সফর শেষে আজ সকালে দেশে ফিরেছেন।
79,ঢাকায় অপরিকল্পিতভাবে স্থাপনা নির্মাণের কাজ চলে।
80,"এ প্রসঙ্গে মনে রাখা দরকার, কেবল উচ্চবিত্তের মানুষই নন, সমাজের নিম্নবিত্তের মানুষও গ্যাস ও বিদ্যুতের গ্রাহক।"
81,"এই মারধরের ঘটনাটি ঘটে যখন বাংলাদেশ সরকার দ্বীপের আবাসস্থল নিয়ে ব্যাপক উদ্বেগ থাকা সত্ত্বেও ভাসান চরে ১০,০০০ রোহিঙ্গা শরণার্থীকে স্থানান্তরিত করার জন্য একটি কমিটি গঠন করেছিল।"
82,"প্রধানমন্ত্রীর কার্যালয় সূত্র জানায়, দুই প্রধানমন্ত্রী ভারত সরকারের অনুদান অর্থায়নের আওতায় জামালপুর, শেরপুর, হবিগঞ্জ, সুনামগঞ্জ ও ব্রাহ্মণবাড়িয়ায় ৩৬টি কমিউনিটি ক্লিনিক উদ্বোধন করবেন।"
83,নতুন করে মহাসড়ক নির্মাণ না করে রেলপথ ও নদীপথের দিকে নজর দিতে নির্দেশনা দিয়েছেন প্রধানমন্ত্রী শেখ হাসিনা।
84,"সচিব জানান, মনোনয়নপত্র দাখিলের শেষ সময় ১৮ ফেব্রুয়ারি, যাচাই-বাছাই ২০ ফেব্রুয়ারি, প্রত্যাহারের শেষ তারিখ ২৭ ফেব্রুয়ারি এবং ভোট গ্রহণ ১৮ মার্চ।"
85,তিন দিনের সরকারি সফর শেষে মঙ্গলবার স্থানীয় সময় সকাল ৯টায় প্রধানমন্ত্রী বাংলাদেশ এয়ারলাইন্সের একটি বিমানে মাদ্রিদ থেকে ঢাকার উদ্দেশে রওনা হবেন।
86,এই দৃষ্টিভঙ্গি আমাদেরকে সকল দেশের সঙ্গে সুসম্পর্ক রাখতে সহায়তা করছে।
87,শুক্রবার শেখ হাসিনা ১৮তম ন্যাম সম্মেলনের উদ্বোধনী অনুষ্ঠানে যোগ দেন এবং বাকু কংগ্রেস সেন্টারে সমসাময়িক বিশ্বের চ্যালেঞ্জ মোকাবেলায় সমন্বিত ও পর্যাপ্ত পদক্ষেপ নিশ্চিতে বান্দুং নীতিমালা সমুন্নত রাখার বিষয়ে এক সাধারণ আলোচনায় অংশগহণ করেন।
88,সুমন ছিল গ্রামের মৃত সামসু মিয়ার ছেলে।
89,"প্রধানমন্ত্রী বলেন, জাপান, চীন, ভারত এবং কোরিয়াসহ বিভিন্ন দেশ ইতোমধ্যেই মাতারবাড়িতে তাদের বিনিয়োগের জন্য আগ্রহ প্রকাশ করেছে।"
90,"জেলা শিক্ষা কর্মকর্তা সৈয়দ সিদ্দিকুর রহমান জানান, বন্যার কারণে বিদ্যালয়গুলোতে পাঠদান কার্যক্রম ব্যাহত হচ্ছিল।"
91,"শেখ হাসিনা ব্যবসা, বাণিজ্য এবং বিনিয়োগের ক্ষেত্রেও জাপান-বাংলাদেশ সম্পর্কের উল্লেখ করেন।"
92,"""একটি বহুমুখী সমুদ্রবন্দর, বিশেষ অর্থনৈতিক অঞ্চল, সড়ক, রেল এবং এ সংক্রান্ত আরো বিভিন্ন প্রকল্পসহ মোট ৩৭টি প্রকল্প বাস্তবায়ন করা হচ্ছে,"" তিনি যোগ করেন।"
93,"ত্রুটিপূর্ণ বাস, রিকন্ডিশন্ড গাড়ি এবং বিভিন্ন কারখানা থেকে কালো ধোঁয়া ও বিষাক্ত রাসায়নিক বাতাসে ছড়িয়ে পড়ছে।"
94,এ পর্যন্ত উদ্ধার করা হয়েছে এক কিলোমিটারেরও বেশি এলাকা।
95,প্রধানমন্ত্রী ও তার সফরসঙ্গীদের বহনকারী বিমান বাংলাদেশ এয়ারলাইন্সের একটি বিশেষ ফ্লাইট স্থানীয় সময় ৭টা ২০ মিনিটে ঢাকার হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দরে অবতরণ করে।
96,"ভারতের প্রধানমন্ত্রী উল্লেখ করেন, প্রধানমন্ত্রী শেখ হাসিনার দূরদর্শী নেতৃত্বে বাংলাদেশ ও ভারতের মধ্যে অংশিদারিত্ব বিকশিত হয়েছে।"
97,গবেষকরা তথ্য শ্রেণিবদ্ধকরণের পুঞ্জিভূত সমস্যার সমাধান অনুসন্ধান করার চেষ্টা করছেন।
98,বাংলাদেশে বিশেষ করে রাজধানী ঢাকায় বায়ুদূষণ বেড়েই চলেছে।
99,তারা দেশের অর্থনীতিতে গুরুত্বপূর্ণ অবদান রাখছে।
100,"কর্তৃপক্ষ তাদেরকে মারধর করার পর, শরনার্থীরা তাদের অনশন প্রতিবাদ বন্ধ করে দিয়েছিল"
101,নবম জাতীয় সংসদের আগে যেই ধরনের সুষ্ঠু ও নিরপেক্ষ নির্বাচন হয়েছে সে ধরনের নির্বাচনের আয়োজন করতে নির্বাচন কমিশনারের কাছে দাবি জানিয়েছে বিএনপি।
102,এ পরিতস্থিতিতে নিম্নবিত্ত মানুষের সামর্থের বিষয়টিও বিবেচনায় রাখতে হবে।
103,দক্ষিণ এশিয়া শ্লথ প্রবৃদ্ধির প্রবণতা কাটিয়ে ২০১৯ সালে ৬ দশমিক ৮ শতাংশ ও ২০২০ সালে ৬ দশমিক ৯ শতাংশ প্রবৃদ্ধি অর্জন করবে।
104,পরে প্রক্টরিয়াল টিমের সাহায্যে অভিযুক্তদের শাহবাগ থানায় সোপর্দ করা হয়েছে।
105,"দুইভিত্তিক এই কাঠামোটি সহজ এবং সহজাত, কিন্তু পৃথিবী আরো বেশি জটিল।"
106,"চ্যানমেতা জানান, আগামী ২০ থেকে ২২ মার্চ কম্বোডিয়ায় অনুষ্ঠিত হতে যাচ্ছে ডিজিটাল মেলা।"
107,"তিনি বলেন, যখনই আমরা কোন উন্নয়ন প্রকল্প গ্রহণ করবো তখন আমাদের অবশ্যই খেয়াল রাখতে হবে যাতে দরিদ্র জনগণের জীবন এবং জীবিকা কোনভাবেই থেমে না যায়।"
108,শেখ হাসিনা এ সংকট মোকাবিলায় উদার সমর্থন এবং মিয়ানমার থেকে জোরপূর্বক বাস্তুচ্যুত লোকদের দ্রুত প্রত্যাবাসনে সমর্থন দেওয়ার ক্ষেত্রে তাদের প্রচেষ্টার জন্য জাপান সরকারকে ধন্যবাদ জানান।
109,প্রধানমন্ত্রী শেখ হাসিনা বলেছেন তার সরকার সব ধর্মের মানুষের কল্যাণে কাজ করছে।
110,মঙ্গলবার বিকেলে জনপ্রশাসন মন্ত্রণালয় সিদ্ধান্তটি তাৎক্ষণিকভাবে কয়ার্যকর করার জন্য আদেশ জারি করে।
111,"বস্তুত: পোপ বোঝাতে চেয়েছেন যে, সৃষ্টির সেরা হিসেবে মানুষের মধ্যে কোনো ভেদাভেদ নেই।"
112,আরও এক ছাত্রকে উদ্ধার করে হাসপাতালে ভর্তি করা হয়েছে।
113,"মুসলিম উম্মার মধ্যে দ্বন্দ্বের কথা উল্লেখ করে প্রধানমন্ত্রী বলেন, আলোচনা ও সমঝোতার মাধ্যমে ভ্রাতৃত্বের দ্বন্দ্বের অবসান করা উচিৎ।"
114,"লিয়াকত আলী বলেন, ইতোমধ্যেই ওয়ালটন বাংলাদেশের বাজারে শীর্ষে রয়েছে এবং এখন তাদের লক্ষ্য বৈশ্বিক বাজার।"
115,প্রধানমন্ত্রী এবং তার সফরসঙ্গীদের নিয়ে বিমান বাংলাদেশ এয়ারলাইন্সের একটি বিশেষ ফ্লাইট রোববার সকালে মাদ্রিদের উদ্দেশে হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর ত্যাগ করবে।
116,স্থানীয় সময় সন্ধ্যা ৭টা ৩০ মিনিটে বিমানটি সিঙ্গাপুরের চাঙ্গী আন্তর্জাতিক বিমানবন্দরে অবতরণ করবে।
117,শেখ হাসিনার গতিশীল নেতৃত্বে চলমান অগ্রগতির ধারা অব্যাহত থাকলে খুব সহসাই বাংলাদেশ বিশ্ব অর্থনীতিতে জোরালো দৃষ্টান্ত স্থাপন করবে।
118,বিমানবন্দরে যুক্তরাষ্ট্রে নিযুক্ত বাংলাদেশের রাষ্ট্রদূত মোহাম্মদ জিয়াউদ্দিন এবং জাতিসংঘে বাংলাদেশের রাষ্ট্রদূত ও স্থায়ী প্রতিনিধি মাসুদ বিন মোমেন প্রধানমন্ত্রীকে স্বাগত জানাবেন।
119,"জ্ঞান সম্পর্কিত বিজ্ঞানীরা শ্রেণিবিন্যাসের গুরুত্ব দেখিয়েছেন, তাদের কেউ কেউ যুক্তি দিয়েছেন ""চিনতে পারার মানেই হলো আলাদা করতে পারা।"""
120,"ঢাকা সফরকালে পোপ ফ্রান্সিস বলেছেন, তিনি নির্যাতিত রোহিঙ্গা জনগোষ্ঠীর মধ্যে ঈশ্বরের উপস্থিতি টের পেয়েছেন।"
121,"তারা প্রতিবাদকারী মহিলা এবং পুরুষদের, এমনকি তাদের বাচ্চাদের যারা তাদের মায়ের সাথে দাঁড়িয়ে ছিল, তাদের মারধর করেছিল।"
122,এ মন্ত্রণালয়ের তথ্য ও যোগাযোগ প্রযুক্তি বিভাগের দায়িত্ব দেওয়া হয়েছে প্রতিমন্ত্রী জুনাইদ আহমেদ পলককে।
123,কারণ ঘরে থাকা অনেক মূল্যবান জিনিসপত্র নেয়নি হত্যাকারীরা।
124,বিজয় দিবসে মুক্তিযোদ্ধাদের শুভেচ্ছা জানিয়েছেন প্রধানমন্ত্রী
125,প্রধানমন্ত্রী মোদির এ মাসের শেষ নাগাদ কৌশলগত অংশীদারিত্ব প্রসারিত করার লক্ষ্যে বার্ষিক অনুষ্ঠান ভারত-ইইউ সামিটে যোগ দিতে ব্রাসেলস যাওয়ার কথা ছিল।
126,রোববার বিচারপতি মইনুল ইসলাম চৌধুরী ও বিচারপতি মো. আশরাফুল কামাল সমন্বয়ে গঠিত হাইকোর্ট বেঞ্চ এই আদেশ দেন।
127,মরিয়ম খাতুন গ্রামের শেখ ইমরান হোসেনের মেয়ে।
128,খানজাহান আলী থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) শফিকুল ইসলাম ঘটনার সত্যতা নিশ্চিত করেন।
129,অ্যামাজনের সঙ্গে এই এই চুক্তির ফলে আমেরিকার বাজারে আমাদের পণ্য উন্মুক্ত হচ্ছে যা ২০৩০ সালের মধ্যে বিশ্বের অন্যতম শীর্ষ ব্র্যান্ডে পরিণত হওয়ার লক্ষ্যে ওয়ালটনের পথ সুগম করবে।
130,"বাংলাদেশে ডিজিটাল বই প্রকাশ অনেক কারণেই গড়ে উঠেনি, যার মধ্যে রয়েছে ই-বুক রিডারের উচ্চ মূল্য এবং চাহিদার অভাব।"
131,ওয়ালটনের লক্ষ্য ২০৩০ সালের মধ্যে বিশ্বের শীর্ষ ৫টি ব্র্যান্ডের কাতারে যাওয়া।
132,প্রধানমন্ত্রী লন্ডন থেকে আগামী ৫ আগস্ট দেশে ফিরবেন।
133,প্রধানমন্ত্রী অতিথিদের জন্য নির্ধারিত বিভিন্ন টেবিলে ঘুরে ঘুরে তাদের সঙ্গে শুভেচ্ছা বিনিময় করেন এবং তাদের সম্পর্কে খোঁজ-খবর নেন।
134,"বাংলাদেশে বিরাজমান ধর্মীয় সম্প্রীতির উল্লেখ করে প্রধানমন্ত্রী বলেন, এখানে সব ধর্মের মানুষ একত্রে যেকোনো ধর্মীয় উৎসবে অংশগ্রহণ করে।"
135,"ব-দ্বীপ হিসেবে বাংলাদেশের জন্য চ্যালেঞ্জ এবং সম্ভবনাকে তুলে ধরে প্রধানমন্ত্রী বলেন, নেদারল্যান্ডস এর সহযোগিতায় বাংলাদেশ ডেল্টা পরিকল্পনা ২১০০ প্রণয়ন করেছে।"
136,বাংলাদেশকে উন্নয়নের রোল মডেল হিসেবে প্রতিষ্ঠা করেছেন শেখ হাসিনা।
137,রাজধানীর বনানীর এফআর টাওয়ারে অগ্নিকাণ্ডের ঘটনায় একটি মামলা হয়েছে।
138,"প্রধানমন্ত্রী বলেন, ""আমরা ২০১৮ সালে আপনার বাংলাদেশ সফরের কথা আন্তরিকভাবে স্মরণ করছি।"""
139,"তিনি আরো বলেন, বাংলাদেশের জাতীয় চার নেতাও যদি বেঁচে থাকতো, তাহলে এতো পিছিয়ে থাকতো না।"
140,দেশের প্রধান রপ্তানি পণ্য এখন পর্যন্ত তৈরি পোশাক হলেও অন্যান্য পণ্যের রপ্তানিও দ্রুত বাড়ছে।
