,word,ipa
156,সের্গিও,seɾgɪo̯
157,লেওন।,leo̯n।
158,আবেদি,ɐbed̪ɪ
159,অ্যারিনায়,ɛɾɪnɐe̯
160,ব্রাসেলসের,bɾɐselseɾ
161,সি-ট্রাক,sɪ-tɾɐk
162,বিআইডব্লিউটিসিকে।,bɪɐ̯ɪ̯dɔblɪu̯tɪʃɪke।
163,রুহীর,ɾuhɪɾ
164,প্রেসারে,pɾeʃɐɾe
165,সাজ্জাদ।,ʃɐɟɟɐd̪।
166,ছাড়ারও,cʰɐɽɐɾo
167,নবজাতকরা,nɔboɟɐt̪kɾɐ
168,জিয়াবাগ,ɟɪʲɐbɐg
169,শর্করাজাতীয়,ʃɔɾkoɾɐɟɐt̪ɪʲo
170,আধিক্য,ɐd̪ʱɪkko
171,পরিত্যাগ,poɾɪt̪t̪ɛg
172,"হাউস,","hɐu̯ʃ,"
173,প্রডাকশন,pɾodɐkʃon
174,হাউসগুলো,hɐu̯ʃgulo
175,বইপত্র,boɪ̯pɔt̪ɾo
176,সিভিলে,sɪbʱɪle
177,ভয়ানক,bʱɔʲɐnok
178,মালিবাগ,mɐlɪbɐg
179,মৌচাকের,mou̯cɐkeɾ
180,উত্তরণের,ut̪t̪ɔɾoneɾ
181,পাহারার,pɐhɐɾɐɾ
182,পাইকপাড়া,pɐɪ̯kpɐɽɐ
183,সাহাপুর,ʃɐhɐpuɾ
184,বন্দরকে,bɔnd̪oɾke
185,মাইনমুক্ত,mɐɪ̯nmukt̪o
186,বিসর্জন,bɪʃɔɾɟon
187,ভরোনেজ,bʱɔɾoneɟ
188,স্তেপ,st̪ep
189,এলাকাগুলোতেও,elɐkɐgulot̪eo̯
190,প্রেসিডেন্সিকালে,pɾesɪdensɪkɐle
191,টেনেটুনে,tenetune
192,গুপ্তছড়া,gupt̪ocʰɔɽɐ
193,নিখোঁজদের,nɪkʰeɐ̯̃ɟd̪eɾ
194,শর্করার,ʃɔɾkoɾɐɾ
195,অণু,onu
196,‘অতীতের,‘ot̪ɪt̪eɾ
197,সুখী-সমৃদ্ধ,ʃukʰɪ-ʃɔmɾɪd̪d̪ʱo
198,টেলিছবিটির,telɪcʰbɪtɪɾ
199,বন্যাকে,bonnɐke
200,ঘিরেই,gʱɪɾeɪ
201,অতিভারী,ot̪ɪbʱɐɾɪ
202,কৌতূহল,kou̯t̪uhɔl
203,প্যাকেটটি,pɛkettɪ
204,খোলেন।,kʰolen।
205,স্বামী-সংসার,ʃɐmɪ-ʃɔŋʃɐɾ
206,জেবু,ɟebu
207,"এসেছেন,","eʃecʰen,"
208,করছেন?,koɾcʰen?
209,গীতার।,gɪt̪ɐɾ।
210,অহিদ,ohɪd̪
211,খুলিটি,kʰulɪtɪ
212,বাদলের,bɐd̪oleɾ
213,নেপিদোতে,nepɪd̪ot̪e
214,কোনোরকম,konoɾɔkom
215,ঘিওর,gʱɪo̯ɾ
216,প্রাধান্যটাও,pɾɐd̪ʱɐnnotɐo̯
217,পাশপাশি,পাশাপাশি
218,কার্তুজ,kɐɾt̪uɟ
219,আরেকজনের,ɐɾekɟɔneɾ
220,গাধা।,gɐd̪ʱɐ।
221,মঘাইছড়ি,mɔgʱɐɪ̯cʰoɽɪ
222,বরবিল,boɾobɪl
223,মফিজুর,mopʰɪɟuɾ
224,কোক,kok
225,পুষ্টি,puʃtɪ
226,পায়ই,pɐe̯ɪ
227,অনেকটা।,ɔnektɐ।
228,ভাঙাচোরা।,bʱɐŋɐcoɾɐ।
229,ব্যক্তিজীবনে,bɛkt̪ɪɟɪbone
230,জনক।,ɟɔnok।
231,মাহিলারা,mɐhɪlɐɾɐ
232,অমিয়ার,ɔmɪʲɐɾ
233,ভেলকিবাজির,bʱelokɪbɐɟɪɾ
234,স্বাস্থ্যক্যাম্পলক্ষ্মীপুর,ʃɐst̪ʰokɛmplokkʰɪpuɾ
235,প্রতিনিধিলক্ষ্মীপুরে,pɾot̪ɪnɪd̪ʱɪlokkʰɪpuɾe
236,ল্যাককেটিং,ল্যাকটেটিং
237,স্বাস্থ্যক্যাম্প,ʃɐst̪ʰokɛmp
238,সেনাসার্জেন্ট,ʃenɐʃɐɾɟent
239,নায়েফ,nɐʲepʰ
240,চালাচ্ছেন,cɐlɐccʰen
241,প্রযুক্তিতেও,pɾoɟukt̪ɪt̪eo
242,ঢোলে,dʱole
243,অনুলিপি,onulɪpɪ
244,বুচিদং,bucɪd̪ɔŋ
245,হরমুড়া,hoɾmuɽɐ
246,মৃদুলের।,mɾɪd̪uleɾ।
247,নির্যাতনে,nɪɾɟɐt̪one
248,পারফরমেন্সের,pɐɾfɔɾmenseɾ
249,কর্দোভা,kɔɾd̪eɐ̯bʱɐ
250,ইবিতে,ɪbɪt̪e
251,জ্ঞান-বিজ্ঞান,gɛnbɪ-ggɐn
252,অবদানমূলক,ɔbod̪ɐnmulok
253,উভয়দিকে,ubʱɔʲd̪ɪke
254,ডিএনডি,dɪe̯ndɪ
255,বন্ধুবান্ধব,bond̪ʱubɐnd̪ʱob
256,বিত্তবানদের,bɪt̪t̪obɐnd̪eɾ
257,পাইকারদের,pɐɪ̯kɐɾd̪eɾ
258,খিনওয়ান,kʰɪnoʷɐn
259,নু।,nu।
260,স্বরাষ্ট্রমন্ত্রীর,ʃɔɾɐʃtɾomɔnt̪ɾɪɾ
261,"কংগ্রেস,","kɔŋgɾes,"
262,"তৃণমূল,","t̪ɾɪnomul,"
263,বামপন্থীসহ,bɐmpont̪ʰɪʃɔho
264,নেতা-মন্ত্রীদের।,net̪ɐ-mont̪ɾɪd̪eɾ।
265,রাজনীতিও,ɾɐɟnɪ̯t̪ɪo
266,রাজীবুল,ɾɐɟɪbul
267,বাবুর্চি।,bɐbuɾcɪ।
268,পশ্চিমা,poʃcɪmɐ
269,শুরুসিলেট,শুরু
270,ব্যুরোসিলেট,sɪlet
271,কম্পাউন্ড,kɔmpɐu̯nd
272,পানিচক্র,pɐnɪcɔkɾo
273,চিত্রসহ,cɪt̪ɾoʃɔho
274,পরীক্ষার্থীর,poɾɪkkʰɐɾt̪ʰɪɾ
275,পুষ্টিগুণে,puʃtɪgune
276,শানজি,ʃɐnɟɪ
277,প্রদেশে।,pɾod̪eʃe।
278,অধিকারকর্মীরা,od̪ʱɪkɐɾkoɾmɪɾɐ
279,বোঝাচ্ছেন,boɟʱɐccʰen
280,ডাকেন।,dɐken।
281,ক্যামেরন।,kɛmeɾon।
282,গ্যাটিং,gɛtɪŋ
283,‘কমিটিতে,‘kɔmɪtɪt̪e
284,নীতিনির্ধারক।,nɪt̪ɪnɪɾd̪ʱɐɾok।
285,ব্লগ,blɔg
286,‘ছোট্ট,‘cʰotto
287,মেয়েটার,meʲetɐɾ
288,ডাকলেই,dɐkleɪ̯
289,অবান্তর,ɔbɐnt̪ɔɾ
290,আশাগুলো,ɐʃɐgulo
291,প্রক্রিয়াদি,pɾokɾɪʲɐd̪ɪ
292,ইরি,ɪɾɪ
293,ধানক্ষেতের,d̪ʱɐnkʰet̪eɾ
294,নিনটেনডো,nɪntendo
295,প্লে,ple
296,স্টোরে,stoɾe
297,দুজন।,d̪uɟon।
298,স্থিতিবস্থা,st̪ʰɪt̪ɪbɔst̪ʰɐ
299,বহিঃপ্রকাশ,bohɪʃpɾokɐʃ
300,মসলেম,mɔʃolem
301,রথবাড়িতে,ɾɔt̪ʰbɐɽɪt̪e
302,শ্বশুরবাড়িতে,ʃoʃuɾbɐɽɪt̪e
303,আঁখিকে,ɐ̃kʰɪke
304,"থাকত,","t̪ʰɐkt̪o,"
305,মায়াসহ,mɐʲɐʃɔho
306,শেফাক,ʃefɐk
307,দৈর্ঘ্য,d̪oɪ̯ɾgʱo
308,কিলোমিটারের,kɪlomɪtɐɾeɾ
309,পূর্বাঞ্চলীয়,puɾbɐncolɪʲo
310,পাড়াগাঁও,pɐɽɐgɐ̃o
311,সেলফিটি,ʃelpʰɪtɪ
312,ব্রেন,bɾen
313,আইকিউ,ɐɪ̯kɪu̯
314,প্রতিক্রিয়া।,pɾot̪ɪkɾɪʲɐ।
315,ছায়াটি,cʰɐʲɐtɪ
316,পে-স্কেল,pe-skel
317,হয়েছে-,hoʲecʰe-
318,বেতন-ফি,bet̪on-pʰɪ
319,নৈরাজ্য।,noɪ̯ɾɐɟɟo।
320,ইয়াজিদের,ɪʲɐɟɪd̪eɾ
321,মতাদর্শ,mɔt̪ɐd̪ɔɾʃo
322,প্রচার-প্রসারে,pɾocɐɾ-pɾoʃɐɾe
323,হুশিয়ার,huʃɪʲɐɾ
324,"সবুর,","ʃobuɾ,"
325,সামূল,ʃɐmul
326,"জুলফিকার,","ɟulpʰɪkɐɾ,"
327,পছন্দ।,pɔcʰond̪o।
328,আচার,ɐcɐɾ
329,দাদনের,d̪ɐd̪oneɾ
330,আফগানদেরই,ɐfgɐnd̪eɾɪ
331,মেডেন,মেইডেন
332,সৌরভায়া।,d̪eʲɐ
333,ছয়টার,cʰɔʲtɐɾ
334,আশেদ,ɐʃed̪
335,ব্যয়বহুল,bɛe̯bohul
336,তকমা,t̪ɔkmɐ
337,নাড়ছে,nɐɽcʰe
338,অপকর্মের,ɔpokɔɾmeɾ
339,হোতারা।,hot̪ɐɾɐ।
340,কান্টার,kɐntɐɾ
341,মিলওয়ার্ড,mɪloʷɐɾd
342,ব্রাউনের,bɾɐu̯neɾ
343,"হারুন,","hɐɾun,"
344,তারিকউজ্জামান,t̪ɐɾɪkuɟɟɐmɐn
345,"নান্নু,","nɐnnu,"
346,যাত্রীবোঝাই,ɟɐt̪ɾɪboɟʱɐɪ̯
347,মিনিবাসসহ,mɪnɪbɐsʃɔho
348,জামালকেও,ɟɐmɐlkeo̯
349,মোস্তাফিজের,most̪ɐfɪzeɾ
350,দলটাও,d̪ɔltɐo̯
351,পোড়াদহ,poɽɐd̪ɔho
352,আইসি,ɐɪ̯sɪ
353,সাহেরা,ʃɐheɾɐ
354,উম্মত,ummɔt̪ɔ
355,প্যারালাইসড।,pɛɾɐlɐɪ̯zd।
356,ক্লিপে,klɪpe
357,"জিদান,","ɟɪd̪ɐn,"
358,‘মৌসুমের,‘mo͡u̯ʃumeɾ
359,বাহাত্তরের,bɐhɐt̪t̪ɔɾeɾ
360,"নেতাকর্মী,","net̪ɐkoɾmɪ,"
361,"মৌলভীবাজার,","mou̯lobʱɪbɐɟɐɾ,"
362,চট্টগ্রামসহ,cɔttogɾɐmʃɔho
363,শিল্পাঞ্চলে,ʃɪlpɐncɔle
364,মেধাভিত্তিক,med̪ʱɐbʱɪt̪t̪ɪk
365,"গঠন,","gɔtʰon,"
366,বলিষ্ঠ,bolɪʃtʰo
367,চেকপয়েন্ট,cekpɔʲent
368,"গ্রেফতার,","gɾepʰt̪ɐɾ,"
369,ছাড়িয়েছে।,cʰɐɽɪʲecʰe।
370,ছাড়াও,cʰɐɽɐo̯
371,ওয়ালেস।,oʷɐleʃ।
372,দ্বার,d̪ɐɾ
373,উদ্যোক্তাকে,ud̪d̪okt̪ɐke
374,"ইনকিলাব,","ɪnkɪlɐb,"
375,অ্যাকাউন্টস,ɛkɐu̯nts
376,কুমুদিনী,kumud̪ɪnɪ
377,বিচারধীন।,bɪcɐɾd̪ʱɪn।
378,মোস্তাকুর,most̪ɐkuɾ
379,মফুর,mopʰuɾ
380,আনহার,ɐnhɐɾ
381,তাঁতীবাজারের,t̪ɐ̃t̪ɪbɐɟɐɾeɾ
382,‘তিন,‘t̪ɪn
383,বাদীসহ,bɐd̪ɪʃɔho
384,কোন্দলকে,kond̪ɔlke
385,মামলা-মোকদ্দমাও,mɐmlɐ-mokɔd̪d̪omɐo̯
386,দায়বদ্ধতা,d̪ɐʲbɔd̪d̪ʱot̪ɐ
387,পুত্রদের,put̪ɾod̪eɾ
388,নয়ীম,noʲɪm
389,গহরের,gɔhoɾeɾ
390,কর্ম,kɔɾmo
391,বিক্রমপুর,bɪkɾompuɾ
392,সন্দেহমূলক,ʃɔnd̪ehomulok
393,পেনিসিলিন,penɪsɪlɪn
394,মডুলাসের,modulɐʃeɾ
395,রায়রা।,ɾɐe̯ɾɐ।
396,মেরা,meɾɐ
397,পাংসাত,pɐŋʃɐt̪
398,নাইনেভেহ,nɐɪ̯nebʱeho
399,প্রদেশটি,pɾod̪eʃtɪ
400,ইরাকের,ɪɾɐkeɾ
401,"খ্রিস্টান,","kʰɾɪʃtɐn,"
402,"কুর্দি,","kuɾd̪ɪ,"
403,"ইয়াজেদি,","ɪʲɐɟed̪ɪ,"
404,"তুর্কমেন,","t̪uɾkomen,"
405,সম্পাদকমণ্ডলীর,ʃɔmpɐd̪okmɔndolɪɾ
406,স্মৃতিবিজড়িত,sɾɪt̪ɪbɪɟoɽɪt̪o
407,সদনের,ʃɔd̪oneɾ
408,রংপুরে,ɾɔŋpuɾe
409,জাপানি,ɟɐpɐnɪ
410,বিস্ফোরণকে,bɪʃpʰoɾonke
411,পাইপলাইন,pɐɪ̯plɐɪ̯n
412,খলিলকে,kʰolɪlke
413,পচনশীল,pɔconʃɪl
414,ত্রুটিটি,t̪ɾutɪtɪ
415,ইতালীয়দের,ɪt̪ɐlɪʲod̪eɾ
416,মনোবল।,monobol।
417,গুণগ্রাহীকে,gunogɾɐhɪke
418,রাজপাট,ɾɐɟpɐt
419,আওলাদ,ɐo̯lɐd̪
420,রাজাখালীর,ɾɐɟɐkʰɐlɪɾ
421,বকশিয়াঘোনার,bokʃɪʲɐgʱonɐɾ
422,শের,ʃeɾ
423,শ্রীলংকাতেও,শ্রীলঙ্কাতেও
424,দোকানেও,d̪okɐneo̯
425,হলুদ-সবুজ-খয়েরি,holud̪-ʃobuɟ-kʰɔʲeɾɪ
426,সালোয়ার।,sɐloʷɐɾ।
427,নৈতিকতা,noɪ̯t̪ɪkɔt̪ɐ
428,জঙ্গিসংশ্লিষ্ট,ɟɔŋgɪʃɔŋslɪʃto
429,"পরিবার,","poɾɪbɐɾ,"
430,লেখালেন,lekʰɐlen
431,একসময়ের,ɛkʃɔmɔʲeɾ
432,ইরফান,ɪɾpʰɐn
433,আনিসুরকে,ɐnɪsuɾke
434,জাঙ্গালিয়ার,ɟɐŋgɐlɪʲɐɾ
435,স্টাইলটাও,stɐɪ̯ltɐo̯
436,অ্যানেস্থেশিয়া,ɛnest̪ʰeʃɪʲɐ
437,"জলজট,","ɟɔlɟɔt,"
438,নাড়াতে,nɐɽɐt̪e
439,ব্যথায়।,bɛt̪ʰɐe̯।
440,রেণুু,ɾenu
441,নিধনে।,nɪd̪ʱɔne।
442,সন্তানকে।,ʃɔnt̪ɐnke।
443,সর্বসম্মতভাবে,ʃɔɾboʃɔmmot̪obʱɐbe
444,মুলদিবস।,মূল
445,মাহফুজের,mɐhpʰuɟeɾ
446,আসা-না,ɐʃɐ-nɐ
447,সারছেন,ʃɐɾcʰen
448,পুকুরে।,pukuɾe।
449,সোয়াবের,ʃoʷɐbeɾ
450,রথযাত্রার,ɾɔt̪ʰɟɐt̪ɾɐɾ
451,ডিফেন্ডাররা।,dɪpʰendɐɾoɾɐ।
452,আফ্রিদির,ɐfɾɪd̪ɪɾ
453,বিদায়ে,bɪd̪ɐʲe
454,ক্রীড়াসুলভ,kɾɪɽɐʃulɔbʱ
455,"মন্ত্রিপরিষদ,","mɔnt̪ɾɪpoɾɪʃɔd̪,"
456,"ইংরেজি,","ɪŋɾeɟɪ,"
457,"গণিত,","gonɪt̪,"
458,‘সনি,‘ʃonɪ
459,উদগ্রীব,ud̪ɔgɾɪb
460,ম্যাককেইন।,mɛkkeɪn।
461,কর্মস্থলমুখী।,kɔɾmost̪ʰɔlmukʰɪ।
462,তরমুজ,t̪oɾmuɟ
463,স্থলপথে,st̪ʰɔlpɔt̪ʰe
464,আড়তদাররা।,ɐɽot̪d̪ɐɾɾɐ।
465,বছর;,bɔcʰoɾ;
466,কুণ্ডলির,kundolɪɾ
467,সাইজে,sɐɪ̯ɟe
468,আÍহত্যায়,আত্মহত্যায়
469,করেতি,koɾet̪ɪ
470,জানাজানির,ɟɐnɐɟɐnɪɾ
471,অস্ট্রেলিয়াতে,ɔstɾelɪɐt̪e
472,আশ্রয়ের,ɐsɾɔʲeɾ
473,মানুস,mɐnuʃ
474,নাউরুর,nɐu̯ɾuɾ
475,ওয়াটারবোর্ডিংয়ের,oʷɐtɐɾboɾdɪŋʲeɾ
476,রেকর্ডগুলো,ɾekoɾdgulo
477,মারাঠি,mɐɾɐtʰɪ
478,গল্পকার,gɔlpokɐɾ
479,প্রেমচাঁদের,pɾemcɐ̃d̪eɾ
480,অবলম্বনে,ɔbolɔmbone
481,নাট্যরূপ,nɐttoɾup
482,গোলদাতাদের,gold̪ɐt̪ɐd̪eɾ
483,স্থানই,st̪ʰɐnɪ
484,দখলে।,d̪ɔkʰle।
485,দুনিয়া,d̪unɪʲɐ
486,আখিরাতের,ɐkʰɪɾɐt̪eɾ
487,ভুগতেই,bʱugt̪eɪ̯
488,মিরপুর-ভেড়ামারায়,mɪɾpuɾ-bʱeɽɐmɐɾɐe̯
489,জিয়াদ,ɟɪʲɐd̪
490,মঠের,mɔtʰeɾ
491,পরিতাপের,poɾɪt̪ɐpeɾ
492,পাইরেটেড,pɐɪ̯ɾeted
493,ক্রয়ে,kɾoʲe
494,ক্রেতাদেরও,kɾet̪ɐd̪eɾo
495,তায়ালার,t̪ɐʲɐlɐɾ
496,দোয়া,d̪eɐ̯ʲɐ
497,দেশনেত্রীকে,d̪eʃonet̪ɾɪke
498,কাঁচামরিচ,kɐ̃cɐmoɾɪc
499,শিল্পসহ,ʃɪlpoʃɔho
500,উদ্ভাবনের,ud̪bʱɐboneɾ
501,নথিপত্রে,not̪ʰɪpɔt̪ɾe
502,মাহবুবুজ্জামান,mɐhobubuɟɟɐmɐn
503,পারবেন?রোনাল্ডো,pɐɾben?রোনাল্ডো
504,বেঁধেছে।,bẽd̪ʱecʰe।
505,অটোরিকশাকে,ɔtoɾɪkʃɐke
506,রেঞ্চ,ɾenc
507,"স্পিনাক,","spɪnɐk,"
508,বাঁধাকপি,bɐ̃d̪ʱɐkpɪ
509,আশুতোষকে,ɐʃut̪oʃoke
510,আল-কুদস,ɐl-kud̪ʃ
511,মুসলিমকে,muslɪmke
512,জেনেটিক,ɟenetɪk
513,কোডের,kodeɾ
514,প্রটোকল,pɾotokɔl
515,গুরিয়ন,guɾɪʲon
516,নেতানিয়াহু।,net̪ɐnɪʲɐhu।
517,কোরিওগ্রাফার,koɾɪo̯gɾɐpʰɐɾ
518,ইভান,ɪbʱɐn
519,সামান্য।,ʃɐmɐnno।
520,সাহায্যকারী,ʃɐhɐɟɟokɐɾɪ
521,পাথফাইন্ডার,pɐt̪ʰfɐɪ̯ndɐɾ
522,বোধশক্তিহীন।,bod̪ʱʃokt̪ɪhɪn।
523,ক্রেতা-বিক্রেতারা।,kɾet̪ɐ-bɪkɾet̪ɐɾɐ।
524,খানেকে,kʰɐneke
525,ঢাকা-লক্ষ্মীপুর,dʱɐkɐ-lɔkʰɪpuɾ
526,পৌঁছা,poũ̯cʰɐ
527,যশোর-বেনাপোল,ɟɔʃoɾ-benɐpol
528,সমর্থনকারীরা,ʃɔmɔɾt̪ʰonkɐɾɪɾɐ
529,গণপরিবহনও,gɔnopoɾɪbɔhono
530,বদৌলতে,bɔd̪ou̯lɔt̪e
531,জেনেছে,ɟenecʰe
532,বিশ্ব।,bɪʃʃo।
533,দাউদকান্দির,d̪ɐu̯d̪kɐnd̪ɪɾ
534,নৃশংসতম,nɾɪʃɔŋʃot̪ɔmo
535,আরোপকারী,ɐɾopokɐɾɪ
536,মোনাকোকে,monɐkoke
537,গাড়িযোগে,gɐɽɪɟoge
538,লেমুয়াতে,lemuʲɐt̪e
539,টাঙ্গালের,tɐŋgɐleɾ
540,বনাঞ্চালের,bɔnɐncɐleɾ
541,গারো,gɐɾo
542,ওয়ানগালা,oʷɐngɐlɐ
