,sentence_main,sentence_lemma
25,হঠাৎ পাশ দিয়ে চলে যাওয়া শিকারার চালকের সঙ্গে আমাদের এই ছেলেটিকে স্পষ্ট সুন্দর ইংরেজিতে কথা বলতে শুনে অবাক হলাম,হঠাৎ পাশ দেওয়া চলা যাওয়া শিকারা চালক সঙ্গ আমি এই ছেলে স্পষ্ট সুন্দর ইংরাজি কথা বলা শোনা অবাক হওয়া
26,পরিচারিকা গম্ভীরস্বরে কহিল বৌঠাকরুন তোমাকে পিসিমা ডাকছেন,পরিচারিকা গম্ভীরস্বর কহা বৌঠাকরুন তুমি পিসিমা ডাকা
27,হার্ট রেট ও রক্তচাপ নিয়ন্ত্রণে রাখে পটাশিয়াম,হার্ট রেট ও রক্তচাপ নিয়ন্ত্রণ রাখা পটাশিয়াম
28,পুরনো দিনের মিষ্টি নতুন প্রজন্মের মন ভোলাতে পারবে কি না সেটা বলবে সময়,পুরনো দিন মিষ্টি নতুন প্রজন্ম মন ভোলানো পারা কি না সে বলা সময়
29,পোস্তর আরও অনেক ব্যবহার আছে,পোস্ত আর অনেক ব্যবহার আছে
30,পাড়েও ওঠেনি,পাড় ওঠা
31,এই স্ত্রীলোকটির প্রকৃতির মধ্যে বহুল পরিমাণে পৌরুষের অংশ থাকাতে তাঁহার যথার্থ সঙ্গী কেহ ছিল না,এই স্ত্রীলোক প্রকৃত মধ্যে বহুল পরিমাণ পৌরুষ অংশ থাকা তিনি যথার্থ সঙ্গী কেউ থাকা না
32,তেলঙ্গানা এখন তম রাজ্য হতে চলেছে,তেলঙ্গানা এখন তম রাজ্য হতে চলা
33,রাজ্য দুটিতে দেশের মধ্যে সর্বাধিক পোলিয়ো পাওয়া যেত,রাজ্য দুই দেশ মধ্যে সর্বঅধিক পোলিয়ো পাওয়া যাওয়া
34,এ কথা আমরা বারবার বলেছি,এ কথা আমি বারবার বলা
35,সহসা প্রাঙ্গণের মধ্যে একটা পদশব্দ শোনা গেল,সহসা প্রাঙ্গণ মধ্যে এক পদশব্দ শোনা গেল
36,এই বিগ্রহটির নিকট তিনি একান্তরূপে জননী পত্নী দাসী ইহার কাছে তিনি সতর্ক সুকোমল সুন্দর এবং সম্পূর্ণ অবনম্র,এই বিগ্রহ নিকট তিনি একান্তরূপ জননী পত্নী দাসী ইহা কাছ তিনি সতর্ক সুকোমল সুন্দর এবং সম্পূর্ণ অবনম্র
37,তারা দেশের বিভিন্ন প্রান্ত থেকে আসা পোলিয়ো সংক্রান্ত রিপোর্ট খুঁটিয়ে দেখবে,তারা দেশ বিভিন্ন প্রান্ত থেকে আসা পোলিয়ো সংক্রান্ত রিপোর্ট খুঁটিয়ে দেখা
38,রাজ্যে বাঘ না থাকায় গ্রামবাসীরা ডোরাকাটা বাঘের কথা বললেও পাত্তা দেয়নি বনবিভাগ বা আসাম রাইফেলস,রাজ্য বাঘ না থাকা গ্রামবাসা ডোরাকাটা বাঘ কথা বলা পাত্তা দেওয়া বনবিভাগ বা আসাম রাইফেলস
39,পরে কী করতে চায় জানতে চাইলে ভারী করুণ হেসে বলল কী আর করবে এ ভাবেই চলবে আপনাদের ইন্ডিয়ায় আমাদের তো কেউ কাজ দেয় না থাকতেও দেয় না,পর কী করা চাওয়া জানা চাওয়া ভারী করুণ হাসা বলা কী আর করা এ ভাব চলা আপনি ইন্ডিয়া আমি তো কে কাজ দেওয়া না থাকা দেওয়া না
40,বৈদ্যনাথ যখন অন্নের মধ্যে বসিয়া ভাবিতেছিলেন আমার অন্ন কে খাইবে তখন সমস্ত উপবাসী দেশ আপন রিক্তস্থালীর দিকে চাহিয়া ভাবিতেছিল কী খাইব,বৈদ্যনাথ যখন অন্ন মধ্যে বসা ভাবা আমি অন্ন কে খাওয়া তখন সমস্ত উপবাস দেশ আপন রিক্তথালী দিক চাহন ভাবা কী খাওয়া
41,এক শিক্ষামন্ত্রী বলে দিয়েছেন মাইনে যেখান থেকে আসে গলানোর মতো নাকও সেখান থেকেই,এক শিক্ষামন্ত্রী বলে দেওয়া মাইনে যেখান থেকে আসা গলানো মতো নাক সেখান থেকে
42,যেমন নিয়োগের শর্তে বলা ছিল বন্দুক দেখাতে হবে,যেমন নিয়োগ শর্ত বলা থাকা বন্দুক দেখা হওয়া
43,কারণ পূজক ঠাকুরের আর-একটি পূজার প্রতিমা গোপন মন্দিরে ছিল তাহার নাম ছিল নিস্তারিণী,কারণ পূজক ঠাকুর আরএক পূজা প্রতিমা গোপন মন্দির থাকা তিনি নাম থাকা নিস্তারিণী
44,বড়োঘরের ছেলের মতো তাহার চেহারা বটে এবং গলার সুরটিও তো দিব্য,বড়োঘর ছেলে মতো তিনি চেহারা বটে এবং গলা সুর তো দিব্য
45,আমি ডাক্তারও বটে দারোগার বন্ধুও বটে কোনোমতে উদ্ধার করিতে হইবে,আমি ডাক্তার বটে দারোগা বন্ধু বটে কোনোমত উদ্ধার করা হওয়া
46,কাজের অবকাশে যখন একলা ঘরে আসিয়া বসিয়া থাকি তখন মাঝে মাঝে কানে সেই করুণ কণ্ঠের প্রশ্ন বাজিতে থাকে বাবা ঐ বুড়ো তোমার পায়ে ধরিয়া কেন অমন করিয়া কাঁদিতেছিল,কাজ অবকাশ যখন এক ঘর আসা বসা থাকা তখন মাঝে মাঝে কান সেই করুণ কণ্ঠ প্রশ্ন বাজানো থাকা বাবা ঐ বুড়ো তুমি পা ধরা কেন অমন করা কাঁদা
47,শিবনাথ পণ্ডিত বিশ্রামগৃহে জলযোগ করিয়া নিশ্চিন্তমনে তামাক খাইতে লাগিলেন ছেলেরা পরমাহ্লাদে আশুকে ঘিরিয়া গিন্নি গিন্নি করিয়া চীৎকার করিতে লাগিল,শিবনাথ পণ্ডিত বিশ্রামগৃহ জলযোগ করা নিশ্চিন্তমন তামাক খাওয়া লাগা ছেলে পরমআহ্লাদ আশু ঘেরা গিন্নি গিন্নি করা চীৎকার করা লাগা
48,ওই গ্যাসের মেঘই সৌরমণ্ডলের পাঁচিল,ও গ্যাস মেঘ সৌরমণ্ডল পাঁচিল
49,তাহার রুদ্ধ শয়নঘরটার দিকে তাকাইয়া ভাবিতেছিলাম যে লোক পরের দুঃখকে কিছুই মনে করে না তাহার সুখের জন্য ভগবান ঘরের মধ্যে এত স্নেহের আয়োজন কেন রাখিবেন,তিনি রুদ্ধ শয়নঘর দিক তাকানো ভাবা যে লোক পর দুঃখ কিছু মন করা না তিনি সুখ জন্য ভগবান ঘর মধ্যে এত স্নেহ আয়োজন কেন রাখা
50,মাঝে মাঝে এক একদিন হঠাৎ অসময়ে তিনি আদালত হইতে বাড়িতে আসিয়া উপস্থিত হইতেন,মাঝে মাঝে এক একদিন হঠাৎ অসময় তিনি আদালত হওয়া বাড়ি আসা উপস্থিত হওয়া
51,সহসা পুরুষকণ্ঠের জয়ধ্বনি এবং বামাকণ্ঠের হুলুধ্বনি একত্র মিশ্রিত হইয়া অভ্রভেদ করিয়া নির্নিমেষ নক্ষত্রলোকের দিকে উত্থিত হইল,সহসা পুরুষকণ্ঠ জয়ধ্বনি এবং বামাকণ্ঠ হুলুধ্বনি এক মিশ্র হওয়া অভ্রভেদ করা নির্নিমেষ নক্ষত্রলোক দিক উত্থান হয়
52,মানবিকতার দায়ে কেউ যদি আত্মত্যাগ করেও ভিতরে ভিতরে আফশোস হবে না তো যে অমূল্য মি টাইম হেলায় নষ্ট হল,মানব দায়ে কে যদি আত্মত্যাগ করা ভিতর ভিতর আফশোস হওয়া না তো যে মূল্য মি টাইম হেলা নষ্ট হওয়া
53,স্ত্রী কহিল কেহ আসে নাই আমি গুরুদেবের গৃহে গিয়াছিলাম,স্ত্রী কহা কেউ আসা না আমি গুরুদেব গৃহ যাওয়া
54,স্বামী পরেশ হীনাবস্থা হইতে সম্প্রতি নিজের উপার্জনে কিঞ্চিৎ অবস্থার উন্নতি করিয়াছে,স্বামী পরেশ হীনঅবস্থা হওয়া সম্প্রতি নিজ উপার্জন কিঞ্চিৎ অবস্থা উন্নতি করা
55,সংসারের বাহিরে যদি কোথাও মিলন হইয়া থাকে তো আজ উভয়ের অপরাধ উভয়ে বোধ করি মার্জনা করিয়াছে,সংসার বাহিরে যদি কোথা মিলন হওয়া থাকা তো আজ উভয় অপরাধ উভয় বোধ করা মার্জনা করা
56,আরও বিড়ম্বনায় বৃদ্ধাশ্রম বিধবাশ্রম সংশোধনাগার বা আশ্রমের আবাসিকেরা,আর বিড়ম্বনা বৃদ্ধাশ্রম বিধবাআশ্রম সংশোধনঅগার বা আশ্রম আবাসন
57,খ্যাতি যশ জনতার উপযোগী করিয়া আমার গাত্রে কঠিন চর্মাবরণ দিয়া দেন নাই তাঁহার এই বিধান ছিল যে যদি তুমি আত্মরক্ষা করিতে চাও তো একটু নিরালার মধ্যে বাস করিয়ো,খ্যাত যশ জনতা উপযোগী করা আমি গাত্র কঠিন চর্মাবরণ দেওয়া দেওয়া না তিনি এই বিধান থাকা যে যদি তুমি আত্মরক্ষা করা চাওয়া তো এক নিরালা মধ্যে বাস করা
58,তাই বলাই যায় বৃহস্পতি শনি যদি না থাকত তা হলে পৃথিবীকে বাসযোগ্য গ্রহ বলে কি চিনত লোকে,তা বলা যায় বৃহস্পতি শনি যদি না থাকা তা হওয়া পৃথিবী বাসযোগ্য গ্রহ বলে কি চেনা লোক
59,বেশ কিছু ক্ষণ লড়াই চালিয়ে ঢলে পড়ে বাঘিনী,বেশ কিছু ক্ষণ লড়াই চালানো ঢলা পড়া বাঘ
60,এই যে প্রবল লাথি লাঠি বন্দুক বাহিনীর দেশ সেই দেশের জন্য প্রেমসুধারসের মধ্যে অন্য মানুষের মুক্তির কথা কেন কবে কোথায়,এ যে প্রবল লাথি লাঠি বন্দুক বাহিনী দেশ সেই দেশ জন্য প্রেমসুধারস মধ্যে অন্য মানুষ মুক্ত কথা কেন কবে কোথা
61,তার ফলে সূর্যের আলো আর পৃথিবীতে পৌঁছতে পারতো না,তার ফল সূর্য আলো আর পৃথিবী পৌঁছানো পারা না
62,কর্নাটকে আবার সাদা পোস্ত গুড় নারকেল আর দুধ দিয়ে এক রকমের পায়েস হয়,কর্নাটক আবার সাদা পোস্ত গুড় নারকেল আর দুধ দেওয়া এক রকম পায়েস হয়
63,প্রতিটা গোল আলাদা করে খুলে রাখুন,প্রতি গোল আলাদা করা খোলা রাখা
64,অরণ্যপথ দিয়া যখন তৃষ্ণাতুর পথিক সরোবরের দিকে ধাবিত হয় তখন শুষ্ক পত্ররাশি তাঁহার মাথার উপর ঝরিতে থাকিলে তিনি কি ভ্রূক্ষেপ করেন,অরণ্যপথ দেওয়া যখন তৃষ্ণা পথিক সরোবর দিক ধাওয়া হয় তখন শুষ্ক পত্ররাশি তিনি মাথা উপর ঝরা থাকা তিনি কি ভ্রূক্ষেপ করা
65,পরেশ গৃহে আসিয়া মুক্তদ্বার দেখিয়া স্ত্রীকে জিজ্ঞাসা করিলেন এখানে কে আসিয়াছিল,পরেশ গৃহ আসা মুক্তদ্বার দেখা স্ত্রী জিজ্ঞাসা করা এখান কে আসা
66,তারা নথিপত্র পরীক্ষা করে চূড়ান্ত ঘোষণা করবে,তারা নথিপত্র পরীক্ষা করা চূড়ান্ত ঘোষণা করা
67,পাশাপাশি দুই কুঠুরিতে দুই চেনা লোক রবীন্দ্রনাথ আর মাইকেল মধুসূদন,পাশাপাশি দুই কুঠুরি দুই চেনা লোক রবীন্দ্রনাথ আর মাইকেল মধুসূদন
68,ঘোর শীতে বরফঘেরা ডাল লেকে আমাদের শিকারা চালাচ্ছিল সেই বছর কুড়ির ছেলে গান গাইতে গাইতে,ঘোর শীত বরফঘেরা ডাল লেক আমি শিকারা চালানো সেই বছর কুড়ি ছেলে গান গাওয়া গাওয়া
69,প্রদীপবাবুদের লড়াই সফল হয়েছে,প্রদীপবাবু লড়াই সফল হওয়া
70,বাজেটের প্রস্তুতি পর্বে সব রাজ্যের অর্থদের সঙ্গে বৈঠকে বসেছিলেন অরুণ জেটলি,বাজেট প্রস্তুত পর্ব সব রাজ্য অর্থ সঙ্গ বৈঠক বসা অরুণ জেটলি
71,থেকে প্রশাসনের আচরণে একটা পরিবর্তন আসে,থেকে প্রশাসন আচরণ এক পরিবর্তন আসা
72,তোমরা এ গল্পের মধ্যে মাথামুণ্ডু অর্থ কী আছে বুঝিতে পার নাই,তুমি এ গল্প মধ্যে মাথামুণ্ডু অর্থ কী আছে বোঝা পারা না
73,জঙ্গলে নিয়ে যাওয়ার মতো মিষ্টি পাওয়ার বাসনাটা সেই সময়ের,জঙ্গল নেওয়া যাওয়া মতো মিষ্টি পাওয়া বাসনা সেই সময়
74,অতএব কোকিল যখন ধরাতলে নব নব বসন্তসমাগম পঞ্চম স্বরে ঘোষণা করিতে লাগিল এবং শ্যামা যখন অরণ্যে নব নব প্রভাতোদয় কীর্তন করিতে নিযুক্ত রহিল তখন এই দুই ক্ষুধিত অসন্তুষ্ট মূক পক্ষী অশ্রান্ত উৎসাহে আপন প্রতিজ্ঞা পালন করিতে লাগিল,অতএব কোকিল যখন ধরাতল নব নব বসন্তসমাগম পঞ্চম স্বর ঘোষণা করা লাগা এবং শ্যামা যখন অরণ্য নব নব প্রভাতউদয় কীর্তন করা নিযুক্ত রওয়া তখন এই দুই ক্ষুধা সন্তুষ্ট মূক পক্ষী শ্রান্ত উৎসাহ আপন প্রতিজ্ঞা পালন করা লাগা
75,আজও কলিকা বলে তোমার সঙ্গে বেরতে আমার লজ্জা করে,আজ কলিকা বলে তুমি সঙ্গ বেরানো আমি লজ্জা করা
76,এত ভাল রেজাল্ট যে অক্সফোর্ড বিশ্ববিদ্যালয় কর্তৃপক্ষই মেধাবী শতপর্ণার বিলেতে থাকা ও পড়াশোনার সব খরচ বহন করবে,এত ভাল রেজাল্ট যে অক্সফোর্ড বিশ্ববিদ্যালয় কর্তৃপক্ষ মেধা শতপর্ণা বিলেত থাকা ও পড়াশোনা সব খরচ বহন করা
77,রাজা জিজ্ঞাসা করিলেন ও কী পড়িতেছ,রাজা জিজ্ঞাসা করা ও কী পড়া
78,বিরিঞ্চিবাবার কথায় সবই আপেক্ষিক কিনা,বিরিঞ্চিবাবা কথা সব অপেক্ষা কিনা
79,পূর্বপুরুষদের কীর্তিস্বরূপ তিনটি প্রাচীন শিব মন্দির মাথা তুলে দাঁড়িয়ে,পূর্বপুরুষ কীর্তিস্বরূপ তিন প্রাচীন শিব মন্দির মাথা তোলা দাঁড়ানো
80,আহার বন্ধ হইল শুনিয়া দাসী মোক্ষদা কাতরকণ্ঠে ছলছলনেত্রে বালককে ক্ষমা করিতে অনুনয় করিল,আহার বন্ধ হয় শোনা দাসী মোক্ষদা কাতরকণ্ঠ ছলছলনেত্র বালক ক্ষমা করা অনুনয় করা
81,পাশ কাটিয়ে গেলে কি ওর মানহানি হত,পাশ কাটানো যাওয়া কি ও মানহানি হওয়া
82,আশির দশকের মাঝামাঝি ভারতে প্রতি বছর দু তিন লাখ পোলিয়ো কেস পাওয়া যেত নানা দেশে সাল থেকে পোলিয়ো নির্মূল কর্মসূচি শুরু হয়ে যায়,আশি দশক মাঝ ভারত প্রতি বছর দুই তিন লাখ পোলিয়ো কেস পাওয়া যাওয়া নানা দেশ সাল থেকে পোলিয়ো নির্মূল কর্মসূচনা শুরু হয়ে যায়
83,দস্যুপতি নিকটে আসিয়া জানু পাতিয়া নত হইয়া আহতের মুখের দিকে নিরীক্ষণ করিলেন,দস্যুপতি নিকট আসা জানু পাতা নত হওয়া আহত মুখ দিক নিরীক্ষণ করা
84,জঙ্গলে মশার কামড় জলকষ্ট যদিও বা সহ্য হয় কিন্তু মিষ্টিপ্রিয় রাজার রসনা যেন বশ মানে না কিছুতেই,জঙ্গল মশা কামড় জলকষ্ট যদি বা সহ্য হয় কিন্তু মিষ্টিপ্রিয় রাজা রসনা যে বশ মানে না কিছু
85,মননের চেয়ে মাননেই তাদের আরাম,মনন চেয়ে মানন তারা আরাম
86,এমন দৃশ্য পূর্বেও অনেকবার দেখিয়াছি কখনো কিছুই মনে হয় নাই,এমন দৃশ্য পূর্ব অনেকবার দেখা কখন কিছু মন হয় না
87,এই প্রথম নাগাল্যান্ডে রয়্যাল বেঙ্গল মেলায় নড়েচড়ে বসেছেন বিশেষজ্ঞরা,এই প্রথম নাগাল্যান্ড রয়্যাল বেঙ্গল মেলা নড়াচড়া বসা বিশেষজ্ঞ
88,এই গল্পটা যে পুরাতন তাহাও তোমাদের মনে হইতেছে না,এই গল্প যে পুরাতন তাহা তুমি মন হওয়া না
89,ছুটির মরসুম মানে তাঁদের কাছে হারিয়ে ফেলা সময়ের যন্ত্রণা নিয়ে মনের অ্যালবাম উল্টে চলা,ছুটি মরসুম মানে তিনি কাছ হারানো ফেলা সময় যন্ত্রণা নেওয়া মন অ্যালবাম উল্টো চলা
90,কিন্তু ইহার সর্বাপেক্ষা মহৎ গুণ এই যে পাঁচ সাত প্যারাগ্রাফেই সম্পূর্ণ,কিন্তু ইহা সর্বউপেক্ষা মহৎ গুণ এই যে পাঁচ সাত প্যারাগ্রাফ সম্পূর্ণ
91,প্রথমে বুথে তার পর বাড়ি বাড়ি,প্রথম বুথ তার পর বাড়ি বাড়ি
92,সেই পরীক্ষার ফলও প্রকাশিত হয়েছে,সেই পরীক্ষা ফল প্রকাশ হওয়া
93,আজ কোনোমতেই সহ্য করিতে পারিলাম না,আজ কোনোমত সহ্য করা পারা না
94,প্রথমে পেঁয়াজগুলোকে গোল গোল করে কেটে নিন,প্রথম পেঁয়াজ গোল গোল করা কাটা নেওয়া
95,কলিকা রেগে অস্থির হয়ে উঠল,কলিকা রাগ অস্থির হয়ে ওঠা
96,পাঠানকোট কেলেঙ্কারির পর ভারতীয় সেনার আত্মত্যাগ গাথার ধুম লেগেছে ফেসবুক কমলে,পাঠানকোট কেলেঙ্কারি পর ভারত সেনা আত্মত্যাগ গাথা ধুম লাগা ফেসবুক কমল
97,অল্প আদা বাটা পেঁয়াজ কুচি আর টোম্যাটোর টুকরো ও কড়াইশুঁটি দিয়ে নাড়তে থাকুন,অল্প আদা বাটা পেঁয়াজ কুচি আর টোম্যাটো টুকরো ও কড়াইশুঁটি দেওয়া নাড়া থাকা
98,অর্থাৎ প্রদেশের আয়তনের উপরই তার অর্থনৈতিক ও সামাজিক সাফল্য নির্ভর করে এই যুক্তি দাঁড় করানো যায় না,অর্থাৎ প্রদেশ আয়তন উপর তার অর্থনীতি ও সমাজ সফল নির্ভর করা এই যুক্তি দাঁড়ানো করা যায় না
99,বড়োমানুষের ছেলে হইয়াও নিয়মিত সময়ে এমন কি নির্দিষ্ট স্থানেই শয়ন ভোজন করিতেন,বড়োমানুষ ছেলে হওয়া নিয়ম সময় এমন কি নির্দিষ্ট স্থান শয়ন ভোজ করা
100,বোবার শত্রু নেই যে পুরুষ বলেছিল সে নিশ্চয় ছিল অবিবাহিত,বোবা শত্রু না যে পুরুষ বলা তিনি নিশ্চয় থাকা বিবাহ
101,কিন্তু হে পাঠক সে প্রশ্নের উত্তর আমি দিব না,কিন্তু হে পাঠক তিনি প্রশ্ন উত্তর আমি দেওয়া না
102,প্রাণের টিঁকে থাকার পক্ষে সহায়ক হয়েছে,প্রাণ টেকা থাকা পক্ষ সহায়ক হওয়া
103,প্রবলরূপে ঘৃণা করিবার এবং সে ঘৃণা প্রবলরূপে প্রকাশ করিবার অসাধারণ ক্ষমতা এই প্রৌঢ়া বিধবাটির ছিল,প্রবলরূপ ঘৃণা করা এবং তিনি ঘৃণা প্রবলরূপ প্রকাশ করা সাধারণ ক্ষমতা এই প্রৌঢ়া বিধবা থাকা
104,আসলে কলা বিষয়টাই গোলমেলে,আসল কলা বিষয় গোলমাল
105,ঐ দেখো একটি দীর্ঘনিশ্বাস পূজার সুগন্ধি ধূপধূমের ন্যায় সন্ধ্যার বাতাসে মিশাইয়া গেল এবং দুইফোঁটা অশ্রুজল দুটি সুকোমল কুসুমকোরকের মতো অজ্ঞাত দেবতার চরণের উদ্দেশে খসিয়া পড়িল,ঐ দেখা এক দীর্ঘনিশ্বাস পূজা গন্ধ ধূপধূম ন্যায় সন্ধ্যা বাতাস মেশানো গেল এবং দুইফোঁটা অশ্রুজল দুই সুকোমল কুসুমকোরক মতো অজ্ঞাত দেবতা চরণ উদ্দেশ্য খসা পড়া
106,পুঁচকি যে বিহার থেকেই এসেছে তাও মানতে নারাজ অনেকে,পুঁচকি যে বিহার থেকে আসা তা মানা নারাজ অনেক
