id,model,language,code,source,link,rating
13,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, val;
    cin>> n;
    vector<int> v;
    int arr[n+1];
    memset(arr, 0, sizeof(arr));
    for (i = 1; i <= n; i++) {
        cin>> val;
        if (val <= n)
            arr[val] += 1;
    }
    int hop[n+1], start, len;
    memset(hop, 0, sizeof(hop));
    for (i = 1; i <= n; i++) {
        if (arr[i] > 0) {
            for (j = i; j <= n; j += i)
                hop[j] += arr[i];
        }
    }
    int mx = -1;
    for (i = 1; i <= n; i++)
        mx = max(mx, hop[i]);
    cout<< mx << ""\n"";
}

int main()
{
    ios_base::sync_with_stdio(0);
    cin.tie(0);
    int t = 1, i;
    cin>> t;
    while (t--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1850/problem/F,1300
14,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    string s, t, tmp;
    int i, j, n, cnt = 0, cnt_r = 0, ans1, ans2;
    cin>> n >> s >> t;
    if (s == t) {
        cout<< 0 << ""\n"";
        return;
    }
    tmp = s;
    reverse(tmp.begin(), tmp.end());
    for (i = 0; i < n; i++) {
        if (s[i] != t[i]) cnt++;
        if (tmp[i] != t[i]) cnt_r++;
    }

    ans1 = 2*cnt - cnt%2;
    ans2 = 2*cnt_r - (1-cnt_r%2);
    if (cnt_r == 0) {
        ans2 = 2;
    }
    cout<< min(ans1, ans2) << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}
 ",author,https://codeforces.com/contest/1834/problem/C,1200
15,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, k;
    string s, s2, a, b;
    cin>> n >> s >> s2;

    a = s;
    b = s2;
    sort(a.begin(), a.end());
    sort(b.begin(), b.end());
    if (a != b) {
        cout<< -1 << ""\n"";
        return;
    }

    if (s == s2) {
        cout<< 0 << ""\n"";
        return;
    }

    vector<int> v;
    char ch;
    for (i = 0; i < n; i++) {
        if (s[i] == s2[i])
            continue;

        for (j = i+1; j < n; j++) {
            if (s2[i] == s[j] && s2[j] != s[j]) {
                for (k = j; k > i; k--) {
                    ch = s[k-1];
                    s[k-1] = s[k];
                    s[k] = ch;
                    v.push_back(k);
                }
            }
        }
    }

    cout<< v.size() << ""\n"";
    for (i = 0; i < v.size(); i++)
        cout<< v[i] << "" "";
    cout<< ""\n"";
}

int main()
{
    int t = 1;
    //cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1015/problem/B,1200
16,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, k, i, j, arr[2005], val;
    vector<int> v;
    cin>> n >> k;

    for (i = 1; i <= n; i++) {
        cin>> arr[i];
        v.push_back(arr[i]);
    }

    sort(v.begin(), v.end(), greater<int>());
    map<int, int> mp;
    ll sum = 0;
    for (i = 0; i < k; i++)
    {
        val = v[i];
        mp[val]++;
        sum += ll(val);
    }

    cout<< sum << ""\n"";
    int prev = 0;
    int cnt = 0;

    for (i = 1; i <= n; i++) {
        val = arr[i];
        if (mp[val] > 0) {
            cnt++;
            if (cnt == k)
                cout<< n-prev << ""\n"";
            else
                cout<< i-prev << "" "";
            prev = i;
            mp[val]--;
        }
    }
}

int main()
{
    int t = 1;
    //cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1006/problem/B,1200
17,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, k, i, j, arr[200005];
    cin>> n >> k;

    for (i = 0; i < n; i++)
        cin>> arr[i];

    sort(arr, arr+n);
    if (k == n) {
        cout<< arr[n-1] << ""\n"";
        return;
    } else if (k == 0) {
        if (arr[0] == 1)
            cout<< ""-1"" << ""\n"";
        else
            cout<< arr[0]-1 << ""\n"";
        return;
    }

    if (arr[k-1] != arr[k]) {
        cout<< arr[k-1] << ""\n"";
    }
    else
        cout<< ""-1"" << ""\n"";
}

int main()
{
    int t = 1;
    //cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/977/problem/C,1200
18,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

ll gcd(ll a, ll b)
{
    ll tmp;
    while (b != 0)
    {
        tmp = a;
        a = b;
        b = tmp%b;
    }
    return a;
}

void solve()
{
    int n, i, j;
    ll arr[100005], num, lcm, g, b[100005];
    cin>> n;

    for (i = 1; i <= n; i++)
        cin>> arr[i];

    arr[0] = arr[n+1] = 1;
    for (i = 1; i <= n+1; i++) {
        g = gcd(arr[i-1], arr[i]);
        b[i] = (arr[i-1]*arr[i])/g;
    }

    bool found = true;
    for (i = 1; i <= n; i++) {
        g = gcd(b[i], b[i+1]);
        if (g != arr[i]) {
            found = false;
            break;
        }
    }

    if (found)
        cout<< ""YES"" << ""\n"";
    else
        cout<< ""NO"" << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1736/problem/B,1200
19,human,c++,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;
int arr[27];

void solve()
{
    int n, i, j, m, sz;
    string str;
    set<char> s;
    cin>> n >> str;

    int ans = 0;
    for (i = 0; i < n; i++) {
        char ch = str[i];
        if (s.find(ch) == s.end()) {
            s.insert(ch);
        }
        sz = s.size();
        ans += sz;
    }
    cout<< ans << ""\n"";
    //return ans;
}

int main()
{
    int t = 1, i, j;
    arr[0] = 0;
    for (i = 1; i <= 26; i++) {
        arr[i] = arr[i-1] + i;
    }
    arr[2] = 2;
//    for (i = 1; i <= 26; i++)
//        cout<< i << "" "" << arr[i] << ""\n"";
    cin>> t;
    while (t--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1917/problem/B,1100
20,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int deg[100005], i, j, u, v, n;
    memset(deg, 0, sizeof(deg));
    cin>> n;
    for (i = 0; i < n-1; i++) {
        cin>> u >> v;
        deg[u] += 1;
        deg[v] += 1;
    }
    int cnt = 0;
    for (i = 1; i <= n; i++) {
       // cout<< deg[i] << "" "";
        if (deg[i] == 1)
            cnt++;
    }
    //cout<< ""\n"";
    cout<< int(ceil(cnt/2.0)) << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;
    while (t--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1905/problem/B,1100
21,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    const int N = 200005;
    int n, i, j, p[N], pos1, pos2, posn, mn, mx;
    cin>> n;
    for (i = 1; i <= n; i++) {
        cin>> p[i];
        if (p[i] == 1) pos1 = i;
        if (p[i] == 2) pos2 = i;
        if (p[i] == n) posn = i;
    }
    mn = min(pos1, pos2);
    mx = max(pos1, pos2);
    if (posn > mn && posn < mx)
        printf(""1 1\n"");
    else {
        if (posn < mn) printf(""%d %d\n"", posn, mn);
        else printf(""%d %d\n"", mx, posn);
    }
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1838/problem/B,1100
22,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    ll n, k, g, upper, total1, total2, r, bonus;
    int i, j;
    cin>> n >> k >> g;

    upper = ll(ceil(g/2.0)) - 1;
    total1 = n*upper;
    total2 = k*g;

    if (n*upper == k*g)
        cout<< n*upper << ""\n"";
    else if (total1 < total2)
    {
        r = total2 - (n-1)*upper;
        bonus = (n-1)*upper;
        r %= g;
        if (r > upper)
            bonus -= (g-r);
        else
            bonus += r;

        cout<< bonus << ""\n"";
    }
    else
        cout<< total2 << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    for (i = 0; i < T; i++)
        solve();
    return 0;
}
 ",author,https://codeforces.com/contest/1836/problem/B,1100
23,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve(int t)
{
    int n, i, j;
    int x, arr[3][100005];
    cin>> n >> x;

    for (i = 0; i < 3; i++)
        for (j = 0; j < n; j++)
            cin>> arr[i][j];

    ll global = 0;
    for (i = 0; i < 3; i++) {
        for (j = 0; j < n; j++) {
            if (ll(arr[i][j] | x) == ll(x))
                global |= arr[i][j];
            else
                break;
        }
    }

    if (global == x)
        cout<< ""YES"" << ""\n"";
    else
        cout<< ""NO"" << ""\n"";
}

int main()
{
    int test_case = 1, t;
    cin>> test_case;

    for (t = 1; t <= test_case; t++)
        solve(t);

    return 0;
}
 ",author,https://codeforces.com/contest/1842/problem/B,1100
24,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
   int n, k, i, j;
   cin>> n >> k;

   k = min(k, 30);
   cout<< min((1<<k), n+1) << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1840/problem/B,1100
25,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    ll a, b, ans;
    cin>> a >> b;

    ans = (a + b) / 3;
    if (a > ans && b > ans)
        cout<< ans << ""\n"";
    else
        cout<< min(a, b) << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1366/problem/A,1100
26,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, arr[200005], score[200005], mx = -1, idx;
    cin>> n;

    for (i = 1; i <= n; i++)
        cin>> arr[i];

    for (j = n; j >= 1; j--) {
        idx = j + arr[j];
        if (idx <= n) {
            score[j] = score[j+arr[j]] + arr[j];
        }
        else
            score[j] = arr[j];

        mx = max(mx, score[j]);
    }

    cout<< mx << ""\n"";

}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1472/problem/C,1100
27,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

int main()
{
    map<ll, ll> mp;
    ll n, num, val, rem;
    int t, i, j;
    bool found;
    cin>> t;

    for (num = 1; num <= 10000; num++) {
        val = num*num*num;
        mp[val] = num;
    }

    for (i = 0; i < t; i++) {
        cin>> n;

        found = false;
        map<ll, ll>::iterator it;

        for (it = mp.begin(); it != mp.end(); it++) {
            val = it->first;
            if (val > n) {
                break;
            }

            rem = n - val;
            if (mp.count(rem)) {
                found = true;
                break;
            }
        }

        if (found)
            cout<< ""YES"" << ""\n"";
        else
            cout<< ""NO"" << ""\n"";
    }

    return 0;
}",author,https://codeforces.com/contest/1490/problem/C,1100
28,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, arr[200005], i, j, k, last_1 = -1, first_0 = -1;
    ll ans1 = 0, ans2 = 0, ans3 = 0;
    cin>> n;

    for (i = 1; i <= n; i++) {
        cin>> arr[i];
        if (arr[i] == 1) 
            last_1 = i;
    }

    for (i = 1; i <= n; i++) {
        if (arr[i] == 0) {
            first_0 = i;
            break;
        }
    }

    ans1 = 0;
    k = 0;
    for (i = 1; i <= n; i++) {
        if (arr[i] == 1)
            k++;
        else
            ans1 += k;
    }

    if (first_0 != -1) {
        arr[first_0] = 1;
        k = 0;
        ans2 = 0;

        for (i = 1; i <= n; i++) {
            if (arr[i] == 1)
                k++;
            else
                ans2 += k;
        }
        arr[first_0] = 0;
    }

    if (last_1 != -1) {
        arr[last_1] = 0;
        k = 0;
        ans3 = 0;

        for (i = 1; i <= n; i++) {
            if (arr[i] == 1)
                k++;
            else
                ans3 += k;
        }

        arr[last_1] = 1;
    }

    ll tmp = max(ans1, ans2);
    cout<< max(tmp, ans3) << ""\n"";

}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1760/problem/E,1100
29,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, m, num;
    set<int> s;
    cin>> n;

    for (i = 0; i < n; i++) {
        cin>> num;
        s.insert(num);
    }

    if (s.size() <= 2)
        cout<< n/2 + 1 << ""\n"";
    else
        cout<< n << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1761/problem/B,1100
30,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    const int N = 200005;
    int n, k, q, arr[N], pos[N], i, j, one = 0, zero = 0, cnt;
    ll tmp, ans;
    cin>> n >> k >> q;

    for (i = 1; i <= n; i++) {
        cin>> arr[i];
        if (arr[i] <= q) {
            pos[i] = 1;
            one++;
        }
        else {
            pos[i] = 0;
            zero++;
        }
    }

    if (one == n) {
        tmp = ll(n-k+1);
        ans = (tmp*(tmp+1))/2;
        cout<< ans << ""\n"";
        return;
    } else if (zero == n) {
        cout<< 0 << ""\n"";
        return;
    }

    vector<int> v;
    for (i = 1; i <= n; ) {
        if (pos[i] == 1) {
            cnt = 0;
            while (i <= n && pos[i] == 1) {
                cnt++;
                i++;
            }
            if (cnt >= k) v.push_back(cnt);
        }
        else
            i++;
    }

    if (v.size() == 0) {
        cout<< 0 << ""\n"";
        return;
    }

    ans = 0;
    for (i = 0; i < v.size(); i++) {
        tmp = ll(v[i]-k+1);
        ans += (tmp*(tmp+1))/2;
    }
    cout<< ans << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1840/problem/C,1000
31,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, num;
    vector<int> v;
    cin>> n;
    bool found = false;
    for (i = 0; i < n; i++) {
        cin>> num;
        if (v.size() == 0) {
            v.push_back(num);
            cout<< 1;
            continue;
        }
        else if (!found) {
            if (v.back() <= num) {
                v.push_back(num);
                cout<< 1;
            } else {
                if (num <= v.front()) {
                    v.push_back(num);
                    cout<< 1;
                    found = true;
                } else {
                    cout<< 0;
                }
            }
        }
        else {
            if (num >= v.back() && num <= v.front()) {
                cout<< 1;
                v.push_back(num);
            }
            else cout<< 0;
        }
    }
    cout<< ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}
 ",author,https://codeforces.com/contest/1841/problem/B,1000
